#size	rtt
1	3.065000
1	3.059500
1	3.014500
1	3.005000
1	2.930000
1	2.915000
1	2.999500
1	2.925500
1	2.985000
1	2.925000
1	2.885000
1	2.875000
1	2.980500
1	3.205000
1	3.205000
1	3.010500
1	2.935000
1	2.940500
1	2.940000
1	2.975500
1	3.010000
1	2.965000
1	2.969500
1	3.050000
1	3.020000
1	3.074500
1	2.975000
1	2.970000
1	3.054500
1	3.014500
1	2.940000
1	3.044500
1	2.950000
1	3.105000
1	3.064500
1	2.895000
1	3.005000
1	3.085000
1	2.899500
1	2.964500
1	3.045000
1	2.919500
1	3.020000
1	3.089500
1	3.095000
1	3.000000
1	2.940000
1	2.954500
1	2.874500
1	2.995000
1	2.869500
1	3.039500
1	2.924500
1	2.940000
1	2.965000
1	2.979500
1	2.999500
1	3.000000
1	2.935000
1	3.020000
1	2.995000
1	3.045000
1	3.020000
1	2.870000
1	2.904500
1	2.924500
1	2.900000
1	2.985000
1	2.869500
1	2.865000
1	2.900000
1	3.014500
1	3.044500
1	3.024500
1	3.045000
1	2.965000
1	3.040000
1	2.875000
1	2.900500
1	2.880500
1	2.970000
1	3.010500
1	3.075500
1	3.010500
1	3.020500
1	3.020500
1	2.945500
1	2.975500
1	2.960000
1	2.930000
1	2.924500
1	3.014500
1	2.950000
1	2.890000
1	2.859500
1	3.864500
1	2.969500
1	2.919500
1	2.989500
1	3.024500
1	3.000000
1	3.030000
1	5.179500
1	3.150000
1	2.965000
1	2.929500
1	3.054500
1	2.904500
1	3.044500
1	3.005000
1	2.940000
1	2.895000
1	2.950000
1	2.930000
1	2.994500
1	2.934500
1	2.869500
1	2.904500
1	3.024500
1	2.940000
1	2.999500
1	2.984500
1	2.940000
1	2.940000
1	2.985000
1	3.030500
1	2.899500
1	2.924500
1	2.955000
1	3.079500
1	2.949500
1	3.054500
1	3.059500
1	2.920000
1	2.939500
1	2.894500
1	2.990000
1	2.974500
1	2.965000
1	2.944500
1	2.914500
1	2.940000
1	2.940000
1	3.020000
1	2.875000
1	2.905000
1	2.934500
1	2.950000
1	3.040000
1	2.895000
1	2.944500
1	2.995000
1	2.999500
1	2.969500
1	2.934500
1	2.885000
1	2.995000
1	2.910500
1	2.995000
1	3.090000
1	3.045500
1	3.045500
1	3.270000
1	3.040000
1	3.010500
1	2.984500
1	3.044500
1	2.969500
1	3.069500
1	2.885000
1	2.969500
1	3.005000
1	2.919500
1	2.914500
1	2.920000
1	2.950000
1	2.900000
1	3.044500
1	3.030000
1	3.055000
1	3.084500
1	2.859500
1	3.000000
1	2.879500
1	2.895000
1	2.944500
1	3.029500
1	2.874500
1	2.935000
1	3.024500
1	2.879500
1	2.875000
1	3.120000
1	2.899500
1	2.950000
1	2.980000
1	2.920000
1	2.955000
1	2.985000
1	3.030000
1	3.005000
1	2.979500
1	3.065000
1	2.979500
1	2.954500
1	2.979500
1	2.969500
1	3.219500
1	3.150000
1	3.040000
1	3.024500
1	2.980000
1	3.150000
1	2.910000
1	3.005000
1	3.009500
1	2.934500
1	2.924500
1	2.940000
1	3.054500
1	2.990000
1	2.975000
1	3.015000
1	2.930000
1	2.855500
1	2.930000
1	2.970500
1	3.075500
1	2.960000
1	2.990500
1	2.875000
1	3.155000
1	2.920000
1	2.944500
1	2.965000
1	2.909500
1	3.134500
1	3.030000
1	3.020000
1	3.095000
1	3.040000
1	3.010000
1	2.950000
1	2.895000
1	5.120000
1	3.114500
1	2.979500
1	2.885000
1	3.084500
1	2.914500
1	2.999500
1	3.005000
1	3.024500
1	2.999500
1	3.019500
1	3.040000
1	2.910000
1	2.974500
1	2.955000
1	2.895000
1	2.974500
1	2.859500
1	3.005000
1	2.985000
1	3.000000
1	2.845000
1	3.010000
1	3.034500
1	3.050000
1	2.974500
1	2.924500
1	3.070000
1	3.024500
1	2.975000
1	2.894500
1	2.969500
1	2.954500
1	2.889500
1	3.194500
1	2.965000
1	2.969500
1	2.885000
1	2.895000
1	2.899500
1	3.005000
1	2.965000
1	2.940000
1	2.925000
1	2.844500
1	2.944500
1	2.965500
1	2.934500
1	2.914500
1	3.075000
1	2.989500
1	2.875000
1	2.959500
1	3.014500
1	2.895000
1	2.955500
1	2.940000
1	3.025000
1	2.940000
1	2.910500
1	2.935000
1	2.990000
1	2.944500
1	2.950000
1	2.995000
1	3.079500
1	2.929500
1	3.054500
1	2.999500
1	3.045000
1	2.954500
1	2.899500
1	3.014500
1	2.895000
1	2.900000
1	2.899500
1	2.879500
1	3.019500
1	2.999500
1	3.234500
1	2.975000
1	2.859500
1	2.889500
1	3.014500
1	3.079500
1	2.985000
1	2.979500
1	2.969500
1	3.040000
1	2.985000
1	2.855000
1	2.904500
1	2.974500
1	2.889500
1	3.044500
1	2.925000
1	3.005000
1	2.920000
1	3.030000
1	2.899500
1	2.955000
1	2.864500
1	3.000000
1	3.000000
1	2.904500
1	2.849500
1	2.969500
1	2.999500
1	3.054500
1	3.014500
1	2.979500
1	2.904500
1	2.859500
1	3.025000
1	2.930000
1	2.855000
1	3.014500
1	2.990000
1	2.940000
1	2.924500
1	2.960000
1	2.870000
1	2.855000
1	2.969500
1	2.875000
1	3.059500
1	2.900000
1	3.075000
1	2.989500
1	2.975500
1	3.085000
1	2.970500
1	2.950000
1	2.830000
1	2.940000
1	2.910500
1	2.935500
1	2.845500
1	2.895000
1	3.030000
1	2.944500
1	2.885000
1	3.079500
1	3.169500
1	3.095000
1	2.874500
1	3.009500
1	2.870000
1	2.944500
1	2.920000
1	2.880000
1	3.625000
1	3.065000
1	2.895000
1	2.890000
1	2.909500
1	2.979500
1	2.940000
1	3.040000
1	3.020000
1	2.854500
1	3.034500
1	2.915000
1	2.924500
1	2.845000
1	2.979500
1	2.944500
1	3.030000
1	2.964500
1	2.999500
1	2.959500
1	2.945000
1	2.940000
1	3.010000
1	2.985000
1	2.959500
1	2.989500
1	2.885000
1	3.059500
1	2.984500
1	2.964500
1	2.869500
1	2.989500
1	2.840000
1	2.984500
1	3.005000
1	2.865000
1	3.035000
1	2.865000
1	2.984500
1	2.895000
1	2.959500
1	2.975000
1	2.880500
1	2.915000
1	2.930000
1	3.065500
1	3.069500
1	2.959500
1	2.995000
1	2.920500
1	3.015000
1	3.070000
1	3.165000
1	2.920500
1	3.035000
1	2.875000
1	2.965500
1	2.865500
1	2.990000
1	2.890000
1	2.864500
1	2.895000
1	2.979500
1	2.895000
1	3.014500
1	2.965000
1	2.844500
1	3.050000
1	2.924500
1	2.940000
1	2.964500
1	2.895000
1	2.864500
1	2.865000
1	3.019500
1	2.910000
1	2.934500
1	2.899500
1	2.969500
1	3.029500
1	2.895000
1	2.895000
1	2.889500
1	2.969500
1	2.885000
1	2.969500
1	2.934500
1	2.985000
1	2.975000
1	2.944500
1	3.025000
1	2.944500
1	2.935000
1	2.920000
1	2.940000
1	3.145000
1	3.085000
1	3.035000
1	2.965000
1	3.014500
1	3.030000
1	3.000000
1	2.859500
1	2.890000
1	2.865000
1	3.035000
1	3.005000
1	2.984500
1	3.019500
1	2.950000
1	2.969500
1	3.069500
1	3.019500
1	3.014500
1	2.985000
1	3.079500
1	2.945000
1	3.020500
1	2.904500
1	2.979500
1	2.969500
1	2.865500
1	3.735000
1	3.075500
1	2.910500
1	2.960000
1	2.965500
1	2.950000
1	2.875000
1	2.944500
1	3.079500
1	2.995000
1	2.979500
1	2.950000
1	2.944500
1	2.910000
1	2.900000
1	2.955000
1	2.874500
1	2.879500
1	2.969500
1	2.979500
1	3.005000
1	3.085000
1	2.920000
1	2.969500
1	2.924500
1	2.970000
1	3.020000
1	3.040000
1	3.754500
1	2.989500
1	2.940000
1	2.859500
1	2.914500
1	3.059500
1	2.910000
1	2.950000
1	2.904500
1	2.895000
1	2.970000
1	2.904500
1	2.840000
1	3.055000
1	2.945000
1	2.900000
1	2.950000
1	2.969500
1	2.855000
1	2.979500
1	3.019500
1	2.959500
1	3.020000
1	2.924500
1	2.969500
1	2.864500
1	2.970000
1	3.140000
1	2.870000
1	2.900000
1	2.940000
1	2.975000
1	2.895000
1	2.970000
1	2.965500
1	2.985000
1	2.915000
1	2.885000
1	2.910500
1	3.070000
1	2.980000
1	2.910000
1	2.930000
1	2.920000
1	2.865000
1	2.995000
1	3.000500
1	2.990500
1	2.880500
1	3.065000
1	2.909500
1	12.200500
1	2.895000
1	2.945000
1	3.014500
1	2.975000
1	2.840000
1	2.895000
1	2.889500
1	3.065000
1	2.875000
1	2.979500
1	3.044500
1	2.940000
1	2.945000
1	3.055000
1	2.930000
1	2.975000
1	3.044500
1	3.024500
1	2.964500
1	2.975000
1	2.885000
1	2.999500
1	2.950000
1	2.969500
1	2.924500
1	3.020000
1	2.989500
1	2.975000
1	2.940000
1	2.930000
1	3.085000
1	3.035000
1	2.975000
1	2.989500
1	2.914500
1	2.969500
1	3.009500
1	3.020000
1	2.895000
1	3.024500
1	2.950000
1	2.950000
1	2.945000
1	2.999500
1	3.054500
1	2.920000
1	2.930000
1	3.040000
1	2.854500
1	2.889500
1	2.869500
1	2.855000
1	3.005000
1	2.955500
1	2.954500
1	2.985000
1	2.950000
1	2.885000
1	2.830000
1	2.955000
1	2.950000
1	2.935500
1	3.020000
1	2.985000
1	2.990500
1	2.930000
1	2.845000
1	3.014500
1	2.910000
1	2.955500
1	2.955500
1	2.904500
1	2.950000
1	2.925000
1	2.985000
1	2.984500
1	2.859500
1	3.024500
1	3.059500
1	3.040000
1	2.899500
1	2.875000
1	2.940000
1	2.915000
1	2.875000
1	2.965000
1	3.019500
1	2.975000
1	2.855000
1	3.005000
1	3.175000
1	3.024500
1	3.040000
1	2.984500
1	2.959500
1	2.984500
1	2.975000
1	3.040000
1	3.874500
1	3.050000
1	2.975000
1	2.975000
1	2.895000
1	2.859500
1	3.030000
1	2.904500
1	2.890000
1	2.940000
1	3.034500
1	2.950000
1	2.934500
1	2.999500
1	3.035000
1	2.995000
1	2.895000
1	3.010000
1	2.874500
1	2.904500
1	3.019500
1	2.985000
1	3.150000
1	3.084500
1	2.834500
1	2.979500
1	2.959500
1	3.009500
1	2.975000
1	3.005000
1	2.970000
1	2.999500
1	2.969500
1	2.895000
1	2.940000
1	2.980500
1	2.980500
1	3.065500
1	2.980500
1	2.890500
1	2.925000
1	2.960000
1	2.860000
1	2.979500
1	3.014500
1	2.879500
1	2.905000
1	2.955500
1	2.959500
1	2.914500
1	2.869500
1	3.065000
1	3.020000
1	3.114500
1	2.869500
1	3.054500
1	2.955000
1	3.014500
1	2.904500
1	2.944500
1	2.930000
1	3.000000
1	3.024500
1	2.955000
1	2.970000
1	2.975000
1	2.944500
1	3.030000
1	2.940000
1	2.975000
1	3.095000
1	3.059500
1	3.079500
1	2.944500
1	2.895000
1	2.995000
1	2.940000
1	3.799500
1	2.979500
1	2.909500
1	3.045000
1	2.900000
1	3.110000
1	3.029500
1	3.064500
1	2.879500
1	2.899500
1	2.840000
1	3.075000
1	3.030000
1	2.964500
1	3.015000
1	2.940000
1	3.134500
1	2.929500
1	2.975000
1	2.954500
1	3.024500
1	2.965000
1	2.900500
1	3.035500
1	2.885000
1	2.870500
1	2.950500
1	2.965500
1	2.940000
1	2.995000
1	2.905000
1	2.980000
1	2.975500
1	3.010500
1	2.970000
1	3.000000
1	3.040000
1	3.005000
1	2.950000
1	3.000000
1	2.995000
1	2.970000
1	2.979500
1	2.945000
1	2.950000
1	2.914500
1	2.965000
1	2.925000
1	2.965000
1	2.895000
1	2.834500
1	3.019500
1	3.000000
1	2.859500
1	2.930000
1	3.040000
1	2.985000
1	2.925000
1	3.065000
1	3.015000
1	3.024500
1	2.909500
1	2.975000
1	3.075000
1	2.955000
1	2.964500
1	2.930000
1	3.010000
1	2.895000
1	2.845000
1	3.014500
1	2.959500
1	3.044500
1	2.979500
1	3.315000
1	3.005000
1	2.999500
1	2.959500
1	2.899500
1	2.904500
1	2.900000
1	3.010000
1	3.069500
1	2.979500
1	3.059500
1	2.969500
1	3.045000
