# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn1086.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 38.998552 
# Number of iterations (recorded+unrecorded): 981791405 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	3479.87
999849.88	3271.88
1277668.56	370.99
1278908.52	430.98
1999762.75	2870.89
2999772.62	1671.94
3999765.50	2730.90
4999726.37	2799.90
5999728.24	28520.94
6999600.12	2640.90
7999690.99	1740.94
8999552.86	4470.83
9999482.74	9592.64
10999475.61	2340.91
11999407.49	23430.13
12999378.36	7870.71
13999559.22	2371.91
14999280.11	2291.91
15999322.98	3090.89
16999303.85	1350.95
17999285.72	4180.84
18999157.60	4470.83
19999168.47	3490.87
20999140.34	10920.59
21999051.22	3520.87
22152900.51	380.99
22999103.09	2870.89
23998993.97	2221.92
24499040.40	340.99
24502870.26	350.99
24998925.84	4020.85
25998937.71	4010.85
26998888.59	1600.94
27998790.46	1410.95
28998821.33	1680.94
29998813.20	1530.94
30998684.08	3861.86
31998654.95	5610.79
32998727.82	2009.93
33998718.70	1600.94
34998630.57	1770.93
35276678.25	22799.15
35314997.82	4260.84
35345717.68	3670.86
35998571.45	9791.64
36998593.32	6989.74
37998624.19	7111.74
38998445.07	3161.88
39998417.94	2530.91
40998438.81	2599.90
41998299.69	2621.90
42998351.56	4580.83
43998332.43	3390.87
44998215.31	1969.93
45258702.63	12040.55
45998145.18	2301.91
46998118.05	3020.89
47998168.92	1539.94
48998140.80	3179.88
49997952.68	1959.93
50998032.55	2001.93
51997885.42	1520.94
52997886.29	1490.94
53997868.17	15380.43
54997790.04	3250.88
55997749.92	2761.90
56997862.78	1860.93
57997753.66	1620.94
58997675.53	1339.95
59997635.41	1370.95
60997628.28	2050.92
61997659.15	1681.94
62997611.02	2689.90
63075929.12	9102.66
63997492.90	3119.88
64997463.77	2070.92
65997425.65	1709.94
66997405.52	1471.95
67997358.39	1590.94
68997389.26	1361.95
69997231.14	1320.95
70997323.01	2100.92
71997273.89	1709.94
72997155.76	1410.95
73997186.63	1330.95
74997138.51	1289.95
75997050.38	1310.95
76996991.26	1580.94
77997042.13	6811.75
78997203.99	2411.91
79996965.87	2380.91
80996877.75	2620.90
81996828.62	2030.92
82531373.78	330.99
82996750.50	1470.95
83996700.37	2561.90
84996753.24	1769.93
85163022.07	320.99
85996694.11	1421.95
86996595.99	2480.91
87996607.86	1320.95
88996498.74	1310.95
89996580.61	1300.95
90996501.48	1260.95
91787684.11	15791.41
91996413.36	6100.77
92996504.23	2461.91
93996456.10	2640.90
94996397.97	1510.94
95996368.85	1630.94
96944440.65	5121.81
96996529.71	162269.98
97996261.59	2931.89
98996263.47	4430.84
99996225.34	2239.92
100996175.21	2821.90
101996158.09	2250.92
102996028.96	1710.94
103996040.83	2740.90
104995981.71	3701.86
105995933.58	3080.89
106995884.46	1351.95
107995856.33	1330.95
108384502.90	330.99
108995798.20	1550.94
109995839.07	2690.90
110995700.95	1230.95
111995731.82	1331.95
112995673.70	1310.95
113995605.57	1330.95
114995556.44	1760.93
115995628.31	2700.90
116995540.19	1280.95
117995571.06	1439.95
118995492.94	1520.94
119995502.81	8201.70
120995565.68	1930.93
121995346.56	2400.91
122995237.43	1731.94
123995269.30	1461.95
124995211.18	1840.93
125995173.05	2850.89
126995143.92	2430.91
127995055.80	1980.93
128995016.67	1670.94
129994988.55	2450.91
130995060.42	2440.91
131994941.29	1530.94
132994933.16	1320.95
133994884.04	1270.95
134994955.91	2830.89
135994816.78	1340.95
136994778.66	1310.95
137994720.53	1250.95
138952671.97	19351.28
138994741.40	5810.78
139976152.97	5410.80
139994713.28	2360.91
140994674.15	1911.93
141994536.03	1570.94
142994587.90	1360.95
143994568.77	1380.95
144994570.64	2770.90
145994551.51	2510.91
146994373.39	1570.94
147994424.26	1311.95
148994346.14	1320.95
149994298.01	4300.84
150994228.89	1480.95
151994190.76	2460.91
152994181.63	3380.87
153994233.50	3020.89
154994115.38	2890.89
155994036.25	2570.90
156994138.12	3010.89
157993999.00	4010.85
158994040.87	2730.90
159994032.74	2450.91
160675976.42	11470.57
160993993.62	4680.83
161994115.48	6450.76
162994056.36	4960.82
163287374.47	17100.37
163993818.24	3500.87
164993839.11	3060.89
165388636.45	330.99
165993790.98	4540.83
166416727.28	390.99
166418037.23	370.99
166993652.86	2930.89
167993613.73	3830.86
168993705.60	3070.89
169049694.52	390.99
169050914.48	420.98
169993496.48	3650.86
170993508.35	3520.87
171993509.22	3020.89
172993381.10	2670.90
173993392.97	2920.89
174993353.85	2580.90
175993275.72	3180.88
176993306.59	3280.88
177993338.46	2630.90
178993209.34	3141.88
179784782.95	370.99
179788542.81	320.99
179993171.21	2200.92
180993183.09	5810.78
181993293.95	5560.79
182993065.83	3620.87
183993036.71	2800.90
184992998.58	2600.90
185992940.45	3290.88
186203658.63	13730.49
186992971.32	3120.88
187196619.76	4370.84
187992963.20	5920.78
188992814.07	3710.86
189992865.94	3080.89
190992876.82	2681.90
191992718.69	1290.95
192992790.56	1330.95
193992741.44	1300.95
194992663.31	2160.92
195992634.19	2480.91
196249722.64	1750.93
196992496.06	24191.10
197992546.93	2241.92
198992458.81	2190.92
199992490.68	2170.92
200992481.55	1770.93
201992423.43	2670.90
202992304.30	1421.95
203992336.17	8460.69
204992528.04	3180.88
205992248.92	4710.83
206992220.79	3030.89
207992111.67	2670.90
208992123.54	1840.93
209992125.41	3050.89
210992026.29	3630.87
211992008.16	2220.92
212991989.03	1770.93
213991930.91	1390.95
