# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
129635178,1000000000,1
364381,1000000000,1
130913,1000000000,1
212786,1000000000,1
139764,1000000000,1
134953,1000000000,1
207965,1000000000,1
128402,1000000000,1
138373,1000000000,1
208305,1000000000,1
131673,1000000000,1
128962,1000000000,1
137704,1000000000,1
208186,1000000000,1
135004,1000000000,1
133033,1000000000,1
137924,1000000000,1
131803,1000000000,1
130294,1000000000,1
209066,1000000000,1
138833,1000000000,1
132192,1000000000,1
131744,1000000000,1
132063,1000000000,1
135973,1000000000,1
131583,1000000000,1
129052,1000000000,1
217565,1000000000,1
141643,1000000000,1
132583,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
139951103,800000000,1
363110,800000000,1
128923,800000000,1
131623,800000000,1
134963,800000000,1
207296,800000000,1
127234,800000000,1
130533,800000000,1
135444,800000000,1
135774,800000000,1
127353,800000000,1
207446,800000000,1
138964,800000000,1
136853,800000000,1
127953,800000000,1
129753,800000000,1
136303,800000000,1
206026,800000000,1
129924,800000000,1
135814,800000000,1
134464,800000000,1
132822,800000000,1
132284,800000000,1
134953,800000000,1
138083,800000000,1
146383,800000000,1
190285,800000000,1
135703,800000000,1
137424,800000000,1
135613,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
134375684,600000000,1
141224,600000000,1
209686,600000000,1
125582,600000000,1
139683,600000000,1
128423,600000000,1
207025,600000000,1
128033,600000000,1
139764,600000000,1
133343,600000000,1
134123,600000000,1
124922,600000000,1
208266,600000000,1
134383,600000000,1
137824,600000000,1
127894,600000000,1
134173,600000000,1
128033,600000000,1
206165,600000000,1
129862,600000000,1
140074,600000000,1
130093,600000000,1
125432,600000000,1
130503,600000000,1
139633,600000000,1
131793,600000000,1
127243,600000000,1
205475,600000000,1
137303,600000000,1
127603,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
135247378,400000000,1
155813,400000000,1
116274,400000000,1
202614,400000000,1
141463,400000000,1
131654,400000000,1
127163,400000000,1
135863,400000000,1
132273,400000000,1
204885,400000000,1
125152,400000000,1
129444,400000000,1
139764,400000000,1
130854,400000000,1
128594,400000000,1
124753,400000000,1
203185,400000000,1
130514,400000000,1
128602,400000000,1
129863,400000000,1
142804,400000000,1
131153,400000000,1
126622,400000000,1
130213,400000000,1
141843,400000000,1
130463,400000000,1
128564,400000000,1
200815,400000000,1
138253,400000000,1
127453,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
129428002,200000000,1
156114,200000000,1
126194,200000000,1
181484,200000000,1
138304,200000000,1
128672,200000000,1
125094,200000000,1
125853,200000000,1
134263,200000000,1
129693,200000000,1
124713,200000000,1
126873,200000000,1
132123,200000000,1
170344,200000000,1
127584,200000000,1
126223,200000000,1
132993,200000000,1
127634,200000000,1
126693,200000000,1
125702,200000000,1
135264,200000000,1
131243,200000000,1
126024,200000000,1
125714,200000000,1
133103,200000000,1
120972,200000000,1
166554,200000000,1
123292,200000000,1
135174,200000000,1
129593,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
133050586,0,1
117513,0,1
101803,0,1
101572,0,1
100803,0,1
101142,0,1
101621,0,1
100822,0,1
101362,0,1
101173,0,1
101573,0,1
101042,0,1
101982,0,1
101453,0,1
100913,0,1
100361,0,1
101153,0,1
101233,0,1
101233,0,1
100913,0,1
101252,0,1
101682,0,1
100923,0,1
101222,0,1
100802,0,1
101252,0,1
101002,0,1
100913,0,1
101223,0,1
101622,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
137549144,200000001,1
156123,200000001,1
126012,200000001,1
177885,200000001,1
134243,200000001,1
126974,200000001,1
126834,200000001,1
123904,200000001,1
131142,200000001,1
124663,200000001,1
122302,200000001,1
126593,200000001,1
135824,200000001,1
172094,200000001,1
126643,200000001,1
125093,200000001,1
133493,200000001,1
127123,200000001,1
125973,200000001,1
128494,200000001,1
133064,200000001,1
127492,200000001,1
123344,200000001,1
130503,200000001,1
135743,200000001,1
127682,200000001,1
165674,200000001,1
129824,200000001,1
135514,200000001,1
133424,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
134994241,400000001,1
150855,400000001,1
201775,400000001,1
127562,400000001,1
135714,400000001,1
129483,400000001,1
126844,400000001,1
130224,400000001,1
198965,400000001,1
133304,400000001,1
122413,400000001,1
125362,400000001,1
136143,400000001,1
126363,400000001,1
128702,400000001,1
126284,400000001,1
204135,400000001,1
132323,400000001,1
131324,400000001,1
132004,400000001,1
131644,400000001,1
128703,400000001,1
123623,400000001,1
126382,400000001,1
135003,400000001,1
132303,400000001,1
198344,400000001,1
128593,400000001,1
134213,400000001,1
130214,400000001,1
# Hoverboard test (1048576 1 600000001)
# time(ns),sleep_time(ns),repetitions
139014346,600000001,1
357159,600000001,1
125002,600000001,1
127344,600000001,1
135753,600000001,1
130534,600000001,1
207765,600000001,1
131864,600000001,1
136853,600000001,1
131033,600000001,1
124833,600000001,1
200286,600000001,1
134194,600000001,1
131513,600000001,1
124573,600000001,1
127133,600000001,1
134634,600000001,1
131954,600000001,1
