# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 4.829000 6.829000 49.211000 2.414500 0.102333 0.227667 -nan -nan -nan
1025 10 12.250000 43.780000 152.765000 2.414500 3.362778 3.463444 0.219018 0.003204 inf
2049 10 12.530000 44.271000 155.726000 2.414500 3.380667 3.505556 0.763553 0.001614 1.329937
3073 10 14.720000 47.251000 178.216000 2.414500 3.446222 3.590111 1.185659 0.000996 1.245217
4097 10 16.511000 49.022000 196.006000 2.414500 3.432889 3.621111 1.516883 0.000673 1.182663
5121 10 16.770000 49.092000 198.498000 2.414500 3.422000 3.616667 1.778397 0.000482 1.128315
6145 10 16.801000 49.361000 199.048000 2.414500 3.448667 3.642333 1.978517 0.000364 1.073722
7169 10 16.370000 49.382000 195.078000 2.414500 3.486444 3.634556 2.132414 0.000289 1.021542
8193 10 16.521000 50.151000 196.797000 2.414500 3.509667 3.700111 2.251612 0.000239 0.972943
9217 10 16.941000 50.032000 200.627000 2.414500 3.468556 3.713444 2.365350 0.000198 0.937167
10241 10 17.111000 51.121000 202.377000 2.414500 3.474111 3.802333 2.448839 0.000171 0.899486
11265 10 17.260000 51.352000 203.798000 2.414500 3.466444 3.828889 2.523595 0.000149 0.867253
12289 10 17.240000 51.722000 203.428000 2.414500 3.447556 3.865667 2.586469 0.000132 0.837604
13313 10 18.490000 54.242000 215.537000 2.414500 3.404111 4.033444 2.628901 0.000122 0.807245
14337 10 18.300000 54.621000 214.508000 2.414500 3.500889 4.067889 2.665425 0.000113 0.779837
15361 10 18.601000 55.322000 216.838000 2.414500 3.425333 4.140000 2.699123 0.000106 0.755390
16385 10 18.580000 56.442000 216.947000 2.414500 3.460778 4.276667 2.722149 0.000102 0.731749
17409 10 19.200000 58.863000 223.248000 2.414500 3.472000 4.473333 2.730418 0.000100 0.708787
18433 10 19.121000 58.842000 222.798000 2.414500 3.509778 4.476778 2.745324 0.000098 0.688579
19457 10 19.281000 59.253000 224.728000 2.414500 3.546444 4.487778 2.763016 0.000095 0.670617
20481 10 19.390000 60.382000 225.517000 2.414500 3.513000 4.607889 2.775511 0.000093 0.653495
