#size	rtt
8	2.985000
8	3.330500
8	3.406000
8	4.450000
8	4.774500
8	3.921500
8	5.476000
8	3.525500
8	3.321000
8	3.350500
8	3.115500
8	5.065000
8	3.836000
8	3.091000
8	3.491500
8	4.271500
8	3.751000
8	3.211000
8	3.175500
8	3.420500
8	3.246000
8	3.135500
8	3.206000
8	3.396500
8	3.441000
8	11.116000
8	3.220500
8	3.311000
8	3.426000
8	3.055500
8	3.325500
8	3.276000
8	3.135500
8	3.600000
8	3.130000
8	2.964500
8	3.010500
8	3.245500
8	3.370500
8	3.165000
8	3.380500
8	3.236000
8	3.251000
8	3.231000
8	3.516000
8	3.306000
8	3.225000
8	3.430500
8	3.300500
8	3.075500
8	3.126000
8	3.420500
8	2.971000
8	3.246000
8	3.201000
8	3.550500
8	3.325000
8	3.125500
8	3.171000
8	3.590500
8	3.061000
8	3.165500
8	3.331000
8	3.389500
8	3.151000
8	2.996000
8	3.150000
8	3.336000
8	3.165500
8	3.455500
8	3.195000
8	3.170500
8	3.120500
8	3.395500
8	3.400500
8	3.366000
8	3.180500
8	2.980500
8	3.300500
8	3.435500
8	3.180500
8	3.355500
8	3.596000
8	3.310500
8	3.431000
8	3.171000
8	3.385500
8	3.115500
8	3.195500
8	3.180500
8	3.336000
8	3.256000
8	3.236000
8	3.161000
8	3.216000
8	3.286000
8	3.111500
8	3.261000
8	5.355500
8	3.579500
8	3.351000
8	3.265000
8	3.775000
8	2.925500
8	3.300000
8	3.350500
8	3.085500
8	3.160500
8	3.125500
8	3.106000
8	3.160500
8	3.240500
8	3.111000
8	3.476500
8	3.110500
8	3.291500
8	3.235500
8	3.150500
8	3.210500
8	3.240500
8	3.621500
8	3.260500
8	3.686000
8	3.371000
8	3.190500
8	3.170500
8	3.400500
8	3.241000
8	3.935500
8	3.160000
8	3.200000
8	3.281000
8	3.105500
8	3.525500
8	3.176000
8	3.225500
8	3.190500
8	3.285500
8	3.270500
8	3.270000
8	2.971000
8	3.405500
8	3.270500
8	3.431000
8	3.321000
8	3.186500
8	3.131500
8	3.171500
8	3.261500
