#size	rtt
8	3.540000
8	3.265500
8	5.910500
8	5.486000
8	5.905500
8	3.915000
8	4.624500
8	3.365500
8	3.190500
8	3.090000
8	3.305500
8	3.445000
8	3.300000
8	4.175500
8	3.405500
8	2.715000
8	3.385000
8	3.270500
8	3.150500
8	3.160500
8	3.395500
8	3.405000
8	3.075000
8	3.215000
8	3.135500
8	3.404500
8	3.020500
8	3.520500
8	2.990500
8	3.310000
8	3.325500
8	3.260500
8	3.025500
8	3.221000
8	3.451000
8	3.101000
8	3.185500
8	3.000500
8	2.885500
8	3.109500
8	3.285500
8	3.249500
8	3.310000
8	3.270000
8	3.650500
8	3.110000
8	3.285500
8	2.870500
8	3.295500
8	3.080500
8	3.095000
8	3.435500
8	3.080000
8	3.325500
8	3.069500
8	3.224500
8	3.910500
8	3.420000
8	3.820500
8	3.445000
8	3.205500
8	3.220500
8	3.410000
8	3.256000
8	3.366000
8	3.165500
8	3.845000
8	2.980500
8	3.530000
8	3.350500
8	3.360500
8	3.470000
8	3.010000
8	3.130500
8	3.190500
8	3.345000
8	3.200500
8	3.310000
8	3.115000
8	3.295500
8	2.700000
8	3.239500
8	3.060500
8	3.425500
8	2.990000
8	3.150500
8	3.265000
8	3.250500
8	3.180500
8	3.160000
8	3.175000
8	3.170500
8	3.306000
8	3.345000
8	3.570000
8	3.575500
8	3.005000
8	3.380000
8	3.215000
8	3.155000
8	3.020000
8	3.240500
8	3.105000
8	3.120000
8	3.250500
8	3.160500
8	3.115500
8	3.125500
8	3.425500
8	3.030500
8	3.519500
8	2.990500
8	3.419500
8	3.204500
8	3.255500
8	3.200000
8	3.300000
8	3.010500
8	3.305000
8	3.585500
8	3.150500
8	3.300500
8	3.100000
8	3.420500
8	3.440500
8	3.395500
8	3.530000
8	3.450000
8	3.080500
8	3.420000
8	3.305000
8	3.570500
8	3.465500
8	3.390000
8	3.275000
8	3.080000
8	3.100000
8	4.325500
8	3.105500
8	3.320000
8	3.175500
8	3.105500
8	3.090500
8	3.390000
8	3.069500
8	4.255000
8	3.125000
8	3.350500
8	3.340000
8	3.220500
8	2.980000
8	3.315500
8	3.345000
8	3.280000
8	3.385500
8	3.515000
8	3.065500
8	3.225000
8	3.120500
