# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 2.734000 4.868000 28.624000 1.367000 0.142667 0.282667 -nan -nan -nan
1025 10 11.671000 47.008000 151.424000 1.367000 3.857111 3.960556 0.233508 0.003603 inf
2049 10 11.591000 47.498000 151.203000 1.367000 3.921444 3.995222 0.839594 0.001832 1.480263
3073 10 11.691000 47.829000 152.366000 1.367000 3.939556 4.025222 1.331298 0.001113 1.414068
4097 10 13.775000 52.037000 176.861000 1.367000 4.345667 4.315889 1.659674 0.000793 1.300690
5121 10 13.926000 52.158000 178.384000 1.367000 4.347111 4.274556 1.940106 0.000587 1.235521
6145 10 14.136000 50.083000 179.848000 1.367000 4.276444 4.034222 2.218131 0.000425 1.216810
7169 10 14.137000 51.906000 180.568000 1.367000 4.355333 4.245667 2.395884 0.000338 1.159454
8193 10 14.327000 50.305000 181.892000 1.367000 4.291333 4.184556 2.577471 0.000262 1.128412
9217 10 14.417000 50.655000 182.331000 1.367000 4.240111 4.037444 2.717943 0.000211 1.091056
10241 10 14.578000 51.045000 184.346000 1.367000 4.285111 4.060889 2.830073 0.000174 1.053246
11265 10 14.847000 52.358000 186.299000 1.367000 4.203222 4.242333 2.909928 0.000151 1.012785
12289 10 15.139000 54.963000 189.687000 1.367000 4.255222 4.502667 2.950594 0.000140 0.969507
13313 10 16.079000 62.908000 196.548000 1.367000 3.973111 5.246444 2.905871 0.000151 0.933322
14337 10 16.350000 64.721000 199.244000 1.367000 3.971556 5.434667 2.872540 0.000158 0.899779
15361 10 16.641000 66.625000 202.189000 1.367000 3.975444 5.567111 2.846753 0.000164 0.869041
16385 10 16.892000 68.239000 204.744000 1.367000 3.980444 5.776444 2.829373 0.000167 0.840551
17409 10 17.092000 69.651000 206.989000 1.367000 4.007667 5.868778 2.819768 0.000169 0.814182
18433 10 17.131000 69.870000 207.429000 1.367000 4.013222 5.877556 2.826141 0.000168 0.790025
19457 10 17.181000 69.691000 207.911000 1.367000 4.011222 5.871000 2.847960 0.000164 0.769672
20481 10 17.122000 69.741000 207.520000 1.367000 4.033333 5.864333 2.877839 0.000160 0.752946
21505 10 17.232000 69.721000 208.631000 1.367000 4.034556 5.877556 2.915517 0.000154 0.740274
22529 10 17.291000 70.101000 209.012000 1.367000 4.011333 5.912111 2.954906 0.000149 0.729787
23553 10 17.342000 69.941000 209.503000 1.367000 4.009222 5.893222 2.999553 0.000143 0.722901
24577 10 17.572000 70.181000 211.827000 1.367000 4.011889 5.914333 3.046144 0.000137 0.718236
25601 10 17.954000 71.314000 215.373000 1.367000 3.981444 5.962222 3.088235 0.000132 0.712644
26625 10 17.543000 71.213000 211.797000 1.367000 4.040778 5.994444 3.129661 0.000127 0.707839
27649 10 17.713000 72.125000 213.420000 1.367000 4.032222 6.071333 3.167175 0.000122 0.702263
28673 10 17.742000 72.245000 213.951000 1.367000 4.059000 6.107000 3.205763 0.000118 0.698100
29697 10 17.884000 72.867000 215.384000 1.367000 4.060444 6.172556 3.242373 0.000114 0.693875
30721 10 18.093000 73.658000 217.408000 1.367000 4.053111 6.232778 3.276479 0.000111 0.689311
31745 10 18.223000 74.689000 218.841000 1.367000 4.067889 6.338444 3.306315 0.000108 0.683670
32769 10 19.667000 97.904000 275.015000 1.367000 8.705000 8.700667 3.204301 0.000118 0.741290
33793 10 19.787000 97.985000 276.398000 1.367000 8.725333 8.675111 3.123233 0.000125 0.771580
34817 10 19.947000 98.304000 277.912000 1.367000 8.715778 8.702889 3.058954 0.000131 0.786081
35841 10 20.379000 99.205000 282.571000 1.367000 8.753444 8.711889 3.007347 0.000135 0.791578
36865 10 20.488000 99.606000 284.373000 1.367000 8.832556 8.777444 2.967664 0.000139 0.790542
37889 10 20.968000 100.910000 289.624000 1.367000 8.882667 8.869889 2.935409 0.000141 0.786511
38913 10 20.990000 101.510000 290.486000 1.367000 8.954000 8.905444 2.910916 0.000143 0.779984
39937 10 21.199000 101.901000 292.740000 1.367000 8.972222 8.916556 2.895207 0.000144 0.771425
40961 10 21.491000 101.991000 295.594000 1.367000 8.964889 8.937778 2.889044 0.000145 0.761753
41985 10 21.531000 102.502000 296.527000 1.367000 9.024111 8.987889 2.887836 0.000145 0.752182
43009 10 21.569000 102.763000 296.938000 1.367000 9.027556 8.974556 2.892121 0.000145 0.743099
44033 10 21.651000 102.783000 297.759000 1.367000 9.027667 8.998000 2.902513 0.000144 0.735086
45057 10 21.901000 103.123000 300.363000 1.367000 9.039222 9.014556 2.917501 0.000143 0.728389
46081 10 21.861000 103.473000 300.384000 1.367000 9.086000 9.029000 2.935114 0.000142 0.722765
47105 10 22.252000 103.655000 304.471000 1.367000 9.105667 9.017889 2.957638 0.000140 0.719222
48129 10 22.292000 104.687000 305.424000 1.367000 9.167111 9.140333 2.979207 0.000139 0.715619
49153 10 22.382000 105.008000 306.585000 1.367000 9.196111 9.156000 3.003125 0.000137 0.713321
50177 10 22.633000 105.858000 310.001000 1.367000 9.296778 9.228333 3.027526 0.000136 0.711546
51201 10 22.712000 106.049000 310.312000 1.367000 9.243556 9.230556 3.054298 0.000134 0.711238
52225 10 22.933000 106.639000 313.568000 1.367000 9.359778 9.314000 3.082085 0.000133 0.711754
53249 10 22.873000 106.831000 313.148000 1.367000 9.379778 9.290556 3.111181 0.000131 0.713281
