#size	rtt
2	1199.788000
2	1199.727500
2	1199.733000
2	1199.728000
2	1199.733000
2	1199.763500
2	1199.738000
2	1199.723000
2	1199.648000
2	1199.833500
2	1199.783000
2	1199.687500
2	1199.677500
2	1199.782500
2	1199.698000
2	1199.687000
2	1199.978000
2	1199.657500
2	1199.643000
2	1199.657500
2	1199.572500
2	1199.657500
2	1199.672000
2	1199.698000
2	1199.703000
2	1199.742500
2	1199.753000
2	1199.652000
2	1199.713000
2	1199.677500
2	1199.663000
2	1199.697500
2	1199.742500
2	1199.773000
2	1199.797500
2	1199.748000
2	1199.622500
2	1199.732500
2	1199.702500
2	1199.637000
2	1199.638000
2	1199.722000
2	1199.712000
2	1199.762000
2	1199.802500
2	1199.708000
2	1199.677000
2	1199.682000
2	1199.632500
2	1199.707500
2	1199.697000
2	1199.666500
2	1199.628000
2	1199.657500
2	1199.677500
2	1199.687500
2	1199.787500
2	1199.787500
2	1200.053500
2	1199.788000
2	1199.698000
2	1199.647500
2	1199.647500
2	1199.668000
2	1199.667500
2	1199.728000
2	1199.728000
2	1199.677500
2	1199.668000
2	1199.682500
2	1199.687500
2	1199.702000
2	1199.692500
2	1199.808500
2	1199.773000
2	1199.712500
2	1199.673000
2	1199.692500
2	1199.703000
2	1199.702000
2	1199.703000
2	1199.717500
2	1199.762500
2	1199.643000
2	1199.652000
2	1199.683000
2	1199.713000
2	1199.682500
2	1199.797500
2	1199.787000
2	1199.737500
2	1199.698000
2	1199.682000
2	1199.693000
2	1199.722500
2	1199.652500
2	1199.728000
2	1199.722500
2	1199.683000
2	1199.642500
2	1199.682000
2	1199.693000
2	1199.658000
2	1199.618000
2	1199.702500
2	1199.693000
2	1199.692500
2	1199.652000
2	1199.697500
2	1199.682500
2	1199.722000
2	1199.712500
2	1199.678000
2	1199.668000
2	1199.692000
2	1199.557500
2	1199.678000
2	1201.541000
2	1199.792500
2	1199.672000
2	1199.808000
2	1199.733000
2	1199.883000
2	1199.732500
2	1199.668000
2	1199.677000
2	1199.647500
2	1199.682500
2	1199.672000
2	1199.737500
2	1199.698000
2	1199.672500
2	1199.461000
2	1199.737500
2	1199.702500
2	1199.758000
2	1199.687500
2	1199.632000
2	1199.793500
2	1199.702500
2	1199.667000
2	1199.732500
2	1199.682000
2	1199.698000
2	1199.682500
2	1199.678000
2	1199.697000
2	1199.712500
2	1199.702500
2	1199.712000
2	1199.707500
2	1199.727500
2	1199.727500
2	1199.703000
2	1199.728000
2	1199.707500
2	1199.672000
2	1199.667000
2	1199.653000
2	1199.712500
2	1199.687000
2	1199.688000
2	1199.773000
2	1199.682500
2	1199.677500
2	1199.711500
2	1199.718000
2	1199.737500
2	1199.673000
2	1199.932500
2	1199.758000
2	1199.662500
2	1199.667000
2	1199.686500
2	1199.657500
2	1199.667500
2	1199.682500
2	1199.773000
2	1199.456500
2	1199.507000
2	1199.462500
2	1199.492000
2	1199.447000
2	1199.536500
2	1199.571500
2	1199.532500
2	1199.647500
2	1199.537500
2	1199.462500
2	1199.471500
2	1199.467000
2	1199.487500
2	1202.908000
2	1199.773000
2	1199.653000
2	1199.698000
2	1199.683000
2	1199.743000
2	1199.688000
2	1199.652000
2	1199.691500
2	1199.662000
2	1199.747500
2	1199.712000
2	1199.682500
2	1199.632000
2	1199.656500
2	1199.732000
2	1199.667500
2	1199.702000
2	1199.617000
2	1199.677500
2	1199.693000
2	1199.698000
2	1199.687500
2	1199.747500
2	1199.663000
2	1199.662500
2	1199.708000
2	1199.672500
2	1199.668000
2	1199.672000
2	1199.757500
2	1199.687000
2	1199.702000
2	1199.692000
2	1199.637500
2	1199.567000
2	1199.647000
2	1199.652500
2	1199.657000
2	1199.732500
2	1199.672500
2	1199.692000
2	1199.737500
2	1199.671500
2	1199.687500
2	1199.762500
2	1199.728000
2	1199.682000
2	1199.632500
2	1199.627000
2	1199.652000
2	1199.697500
2	1199.683000
2	1199.657500
2	1199.698000
2	1199.677000
2	1199.667500
2	1199.667000
2	1199.732500
2	1200.664500
2	1200.058500
2	1201.310500
2	1199.773000
2	1199.702000
2	1199.703000
2	1199.647000
2	1199.687000
2	1199.663000
2	1199.647500
2	1199.657500
2	1199.752500
2	1199.702000
2	1199.752500
2	1199.702500
2	1199.757500
2	1199.768000
2	1199.682500
2	1199.733000
2	1199.697500
2	1199.657500
2	1199.668000
2	1199.632500
2	1199.692500
2	1199.702500
2	1199.692500
2	1199.693000
2	1199.732500
2	1199.693000
2	1199.692500
2	1199.732500
2	1199.907500
2	1199.663000
2	1199.707500
2	1199.693000
2	1199.687000
2	1199.702500
2	1199.662500
2	1199.612500
2	1199.617500
2	1199.667500
2	1199.642000
2	1199.657000
2	1199.738000
2	1199.702500
2	1201.145000
2	1199.712500
2	1199.788000
2	1199.682000
2	1199.661500
2	1199.693000
2	1199.923500
2	1199.913000
2	1199.938000
2	1199.953000
2	1199.797000
2	1199.692000
2	1199.677500
2	1199.692000
2	1199.713000
2	1199.813000
2	1199.662000
2	1199.683000
2	1199.702500
2	1199.677500
2	1199.682000
2	1199.953000
2	1199.933000
2	1199.898500
2	1200.549000
2	1199.727500
2	1199.702500
2	1199.687000
2	1199.687000
2	1199.647500
2	1199.698000
2	1199.657500
2	1199.658000
2	1199.723000
2	1199.683000
2	1199.652500
2	1199.673000
2	1199.718000
2	1199.657000
2	1199.652000
2	1199.667000
2	1199.637000
2	1199.698000
2	1199.692500
2	1199.702500
2	1199.757000
2	1199.762000
2	1199.672000
2	1199.733000
2	1199.707500
2	1199.738000
2	1199.682500
2	1199.633000
2	1199.678000
2	1199.682500
2	1199.677500
2	1199.642000
2	1199.626500
2	1199.672500
2	1199.702500
2	1199.723000
2	1199.762500
2	1199.637000
2	1199.683000
2	1199.657000
2	1199.707500
2	1199.727500
2	1199.682500
2	1199.662500
2	1199.688000
2	1199.687500
2	1199.668000
2	1199.662500
2	1199.707000
2	1199.707500
2	1199.697500
2	1199.702500
2	1199.702500
2	1199.692000
2	1199.663000
2	1199.642000
2	1199.677000
2	1199.757500
2	1199.723000
2	1199.687500
2	1199.677000
