#size	rtt
1	1.663500
1	1.382000
1	2.254000
1	1.357500
1	1.307500
1	1.332000
1	1.292000
1	1.317000
1	1.312000
1	1.307500
1	1.312000
1	1.312000
1	1.412500
1	1.417500
1	1.487500
1	1.322500
1	1.307500
1	1.332000
1	1.312000
1	1.317000
1	1.312000
1	1.302000
1	1.312000
1	1.312000
1	1.301500
1	1.312500
1	1.322500
1	1.307500
1	1.302000
1	1.378000
1	1.372000
1	1.327500
1	1.317500
1	1.337500
1	1.312000
1	1.327500
1	1.332000
1	1.322000
1	1.322500
1	1.317500
1	1.311500
1	1.322000
1	1.311500
1	1.317000
1	1.307500
1	1.372500
1	1.352000
1	1.317500
1	1.317500
1	1.312500
1	1.312000
1	1.322500
1	1.317500
1	1.327000
1	1.322000
1	1.302000
1	1.317500
1	1.312000
1	1.352000
1	1.362000
1	1.337000
1	1.387000
1	1.437000
1	1.422500
1	1.397000
1	1.352500
1	1.322000
1	1.312500
1	1.311500
1	1.307500
1	1.312500
1	1.317500
1	1.312000
1	1.317500
1	1.337500
1	1.342500
1	1.337500
1	2.274000
1	1.357500
1	1.312500
1	1.327500
1	1.317500
1	1.322500
1	1.302500
1	1.307500
1	1.382000
1	1.302000
1	1.312000
1	1.317500
1	1.322000
1	1.307500
1	1.302500
1	1.297500
1	1.332500
1	1.402500
1	1.332500
1	1.332500
1	1.302000
1	1.322000
1	1.327500
1	1.312500
1	1.322000
1	1.317500
1	1.312000
1	1.307500
1	1.337500
1	1.307500
1	1.312000
1	1.317500
1	1.362000
1	1.347500
1	1.317000
1	1.312000
1	1.327000
1	1.332500
1	1.327500
1	1.327000
1	1.317500
1	1.301500
1	1.302000
1	1.302500
1	1.317000
1	1.372500
1	1.307500
1	1.307000
1	1.367500
1	1.447000
1	1.326500
1	1.317500
1	1.317500
1	1.312000
1	1.297500
1	1.302000
1	1.302000
1	1.302000
1	1.307500
1	1.297000
1	1.312000
1	1.307500
1	1.312500
1	1.322500
1	1.387000
1	1.447000
1	1.307000
1	1.317500
1	1.312000
1	1.322000
1	1.307500
1	1.306500
1	1.307500
1	1.317500
1	1.312000
1	1.312000
1	1.337500
1	1.292000
1	1.317500
1	1.317500
1	1.387000
1	1.352000
1	1.332000
1	1.337000
1	1.327000
1	1.317500
1	1.327500
1	1.488000
1	1.312000
1	1.327500
1	1.321500
1	1.317500
1	1.312000
1	1.327500
1	1.317500
1	1.347500
1	1.367000
1	1.347000
1	1.332000
1	1.337500
1	1.327500
1	1.302000
1	1.312000
1	1.322500
1	1.327000
1	1.347000
1	1.347500
1	1.347000
1	1.312000
1	1.312500
1	1.312500
1	1.327500
1	1.367500
1	1.417000
1	1.332000
1	1.307500
1	1.302000
1	1.322500
1	1.317000
1	1.302000
1	1.302500
1	1.297500
1	1.307500
1	1.307000
1	1.337500
1	1.307000
1	1.322500
1	1.312000
1	1.357500
1	1.342000
1	1.322500
1	1.332000
1	1.317500
1	1.307500
1	1.307000
1	1.312000
1	1.311500
1	1.322500
1	1.312000
1	1.317000
1	1.312000
1	1.332000
1	1.302000
1	1.312000
1	1.377500
1	1.372500
1	1.332000
1	1.327000
1	1.312000
1	1.312000
1	1.332000
1	1.352000
1	1.342500
1	1.342500
1	1.332500
1	1.307500
1	1.327500
1	1.307000
1	1.317500
1	1.322500
1	1.372000
1	1.357500
1	1.327000
1	1.307500
1	1.317500
1	1.311500
1	1.337000
1	1.337000
1	1.347500
1	1.357500
1	1.307000
1	1.337000
1	1.317000
1	1.307000
1	1.312000
1	1.306500
1	1.347500
1	3.085500
1	2.569500
1	1.367000
1	1.377500
1	1.378000
1	1.327500
1	1.317500
1	1.307500
1	1.307000
1	1.327500
1	1.301500
1	1.312000
1	1.337500
1	1.322500
1	1.327500
1	1.367500
1	1.362500
1	1.312000
1	1.317500
1	1.357500
1	1.357500
1	1.352000
1	1.357500
1	1.327000
1	1.307000
1	1.317500
1	1.312000
1	1.327500
1	1.332500
1	1.327000
1	1.327500
1	1.343000
1	1.347000
1	1.327000
1	1.342500
1	1.347500
1	1.352000
1	1.352000
1	1.302000
1	1.342000
1	1.337000
1	1.307000
1	1.311500
1	1.312000
1	1.317500
1	1.307000
1	1.297000
1	1.337500
1	1.347500
1	1.312000
1	1.311500
1	1.302000
1	1.312000
1	1.307000
1	1.307500
1	1.382500
1	1.307000
1	1.297500
1	1.322000
1	1.352000
1	1.302500
1	1.307000
1	1.302500
1	1.347000
1	1.402500
1	1.638000
1	1.357500
1	1.337500
1	1.377500
1	1.312000
1	1.332000
1	1.312000
1	1.332000
1	1.317500
1	1.297500
1	1.311500
1	1.322000
1	1.307500
1	1.302000
1	1.357500
1	1.383000
1	1.337500
1	1.342500
1	1.342500
1	1.327000
1	1.337500
1	1.322000
1	1.317500
1	1.312000
1	1.322000
1	1.307500
1	1.307500
1	1.311500
1	1.302500
1	1.317500
1	1.372000
1	1.342000
1	1.311500
1	1.302000
1	1.306500
1	1.412000
1	1.302000
1	1.307500
1	1.307500
1	1.312000
1	1.322500
1	1.312000
1	1.307500
1	1.307000
1	1.307500
1	1.352000
1	1.387000
1	1.377500
1	1.362500
1	1.347000
1	1.322500
1	1.322500
1	1.312000
1	1.312000
1	1.317000
1	1.312000
1	1.307000
1	1.302500
1	1.312000
1	1.322000
1	1.342500
1	1.347500
1	1.397000
1	1.397000
1	1.307000
1	1.307500
1	1.327000
1	1.297500
1	1.317000
1	1.332000
1	1.332000
1	1.332500
1	1.317500
1	1.307000
1	1.297000
1	1.317500
1	1.302500
1	1.317500
1	1.352000
1	1.347500
1	1.312000
1	1.332000
1	1.312000
1	1.312000
1	1.322500
1	1.327000
1	1.327500
1	1.327000
1	1.312000
1	1.306500
1	1.307000
1	1.362500
1	1.347000
1	1.352000
1	1.388000
1	1.442500
1	1.342000
1	1.312000
1	1.306500
1	1.307000
1	1.312500
1	1.312500
1	1.342500
1	1.302500
1	1.307000
1	1.317500
1	1.367500
1	1.347000
1	1.342000
1	1.347500
1	1.392000
1	1.377500
1	1.317500
1	1.307500
1	1.311500
1	1.312500
1	1.317500
1	1.317000
1	1.307000
1	1.312000
1	1.312000
1	1.307000
1	1.342500
1	1.322000
1	1.307500
1	1.307000
1	1.392000
1	1.372000
1	1.312000
1	1.327000
1	1.347000
1	1.337500
1	1.322500
1	1.322000
1	1.302500
1	1.317500
1	1.302500
1	1.312000
1	1.312000
1	1.312000
1	1.312000
1	1.312500
1	1.357500
1	1.367500
1	1.327000
1	1.322500
1	1.307000
1	1.322500
1	1.317000
1	1.307000
1	1.312000
1	1.322000
1	1.372500
1	1.342500
1	1.347000
1	1.347000
1	1.302000
1	1.342500
1	1.767500
1	1.357500
1	1.312000
1	1.317500
1	1.317000
1	1.312000
1	1.302500
1	1.302500
1	1.322500
1	1.352500
1	1.342500
1	3.461000
1	1.362000
1	1.307000
1	1.332000
1	1.322500
1	1.347000
1	1.362500
1	1.322000
1	1.327000
1	1.317500
1	1.332000
1	1.312000
1	1.307000
1	1.322000
1	1.317000
1	1.317500
1	1.322000
1	1.307000
1	1.332000
1	1.327500
1	1.322500
1	1.382500
1	1.402500
1	1.392000
1	1.372000
1	1.337500
1	1.327000
1	1.307500
1	1.312000
1	1.292000
1	1.307000
1	1.317000
1	1.312000
1	1.327000
1	1.307500
1	1.307500
1	1.312000
1	1.342500
1	1.342500
1	1.322500
1	1.322500
1	1.302000
1	1.312000
1	1.312000
1	1.372000
1	1.317500
1	1.307000
1	1.312500
1	1.312000
1	1.327500
1	1.307000
1	1.307000
1	1.307000
1	1.342000
1	1.347500
1	1.307500
1	1.312000
1	1.306500
1	1.312000
1	1.307500
1	1.307000
1	1.307000
1	1.307000
1	1.307500
1	1.322500
1	1.312000
1	1.317000
1	1.326500
1	1.327000
1	1.357500
1	1.352000
1	1.327000
1	1.317000
1	1.307500
1	1.312000
1	1.312000
1	2.464500
1	1.312000
1	1.312000
1	1.332000
1	1.302000
1	1.337500
1	1.337500
1	1.337500
1	1.347000
1	1.402000
1	1.347000
1	1.317500
1	1.302500
1	1.337500
1	1.342000
1	1.347000
1	1.352000
1	1.352000
1	1.322000
1	1.317500
1	1.307000
1	1.312000
1	1.311500
1	1.307000
1	1.307500
1	1.347000
1	1.337500
1	1.307500
1	1.352500
1	1.352000
1	1.347000
1	1.337500
1	1.327000
1	1.327500
1	1.316500
1	1.312000
1	1.312000
1	1.307000
1	1.307000
1	1.307500
1	1.312500
1	1.337500
1	1.367500
1	1.307500
1	1.322000
1	1.302500
1	1.312000
1	1.317500
1	1.307000
1	1.337500
1	1.307000
1	1.312000
1	1.327500
1	1.342500
1	1.332000
1	1.362000
1	1.317500
1	1.367500
1	1.352000
1	1.327000
1	1.322500
1	1.302000
1	1.307500
1	1.307000
1	1.312000
1	1.312000
1	1.317500
1	1.327000
1	1.322000
1	1.327500
1	1.322500
1	1.327000
1	1.307000
1	1.362000
1	1.377500
1	1.317500
1	1.307500
1	1.307500
1	1.312000
1	1.337500
1	1.301500
1	1.307000
1	1.307500
1	1.307500
1	1.302000
1	1.317500
1	1.307500
1	1.307500
1	1.302000
1	1.357000
1	1.332000
1	1.302000
1	1.317500
1	1.302500
1	1.337500
1	1.312000
1	1.312000
1	1.292000
1	1.302500
1	1.307500
1	1.302500
1	1.312000
1	1.312000
1	1.312000
1	1.307000
1	1.342500
1	1.442000
1	1.316500
1	1.307000
1	1.337500
1	1.317500
1	1.317500
1	1.332000
1	1.347000
1	1.332500
1	1.322500
1	1.332000
1	1.312500
1	1.312500
1	1.302500
1	1.307000
1	1.337000
1	1.342000
1	1.317500
1	1.312000
1	1.332000
1	1.317500
1	1.307000
1	1.312000
1	1.367500
1	1.342500
1	1.357500
1	1.317000
1	1.342500
1	1.307000
1	1.342500
1	1.332000
1	1.402500
1	1.387500
1	1.347000
1	1.327000
1	1.307000
1	1.312500
1	1.312500
1	1.307000
1	1.312000
1	1.327500
1	1.307000
1	1.302500
1	1.317500
1	1.352000
1	1.337500
1	1.342000
1	1.362000
1	1.342500
1	1.332000
1	1.322000
1	1.321500
1	1.317000
1	1.312500
1	1.317500
1	1.317000
1	1.317000
1	1.322000
1	1.317500
1	1.317500
1	1.307000
1	1.352000
1	1.302500
1	1.322000
1	1.372000
1	1.327500
1	1.311500
1	1.322500
1	1.332000
1	1.342500
1	1.332000
1	1.297000
1	1.322000
1	1.317500
1	1.407500
1	1.312500
1	1.307500
1	1.317500
1	1.312500
1	1.357500
1	1.337000
1	1.317500
1	1.307500
1	1.302000
1	1.312000
1	1.312500
1	1.302000
1	1.312500
1	1.307000
1	1.312500
1	1.352500
1	1.352500
1	1.347500
1	1.342500
1	1.337000
1	1.362500
1	1.357500
1	1.317500
1	1.357500
1	1.362500
1	1.337000
1	1.322000
1	1.327500
1	1.302000
1	1.307000
1	1.377500
1	1.337500
1	1.342500
1	1.337500
1	1.307000
1	1.322500
1	1.332000
1	1.397000
1	1.322000
1	1.322000
1	1.337500
1	1.322000
1	1.312000
1	1.307000
1	1.337000
1	1.312500
1	1.322500
1	1.312000
1	1.307000
1	1.317500
1	1.317500
1	1.312000
1	1.362000
1	1.362000
1	1.312500
1	1.312500
1	1.302000
1	1.312000
1	1.312500
1	1.312000
1	1.342500
1	1.347000
1	1.332000
1	1.332000
1	1.332000
1	1.332000
1	1.312500
1	1.302500
1	1.362000
1	1.357500
1	1.307500
1	1.312000
1	1.307000
1	1.302000
1	1.307000
1	1.296500
1	1.507500
1	1.337000
1	1.342500
1	1.337000
1	1.332000
1	1.312000
1	1.302000
1	1.317500
1	1.362000
1	1.397000
1	1.332000
1	1.307500
1	1.312500
1	1.307000
1	1.302000
1	1.307000
1	1.307000
1	1.312000
1	1.312000
1	1.327500
1	1.337000
1	1.307000
1	1.307000
1	1.322500
1	1.362000
1	1.357500
1	1.322000
1	1.317500
1	1.312500
1	1.322000
1	1.317000
1	1.317500
1	1.307500
1	1.317500
1	1.312500
1	1.322500
1	1.307000
1	1.312000
1	1.312000
1	1.322500
1	1.362000
1	1.352500
1	1.317500
1	1.317500
1	1.317500
1	1.312000
1	1.362000
1	1.312000
1	1.317500
1	1.317500
1	1.342000
1	1.317500
1	1.312000
1	1.312500
1	1.337000
1	1.327500
1	1.417500
1	1.367500
1	1.312500
1	1.307000
1	1.317500
1	1.312500
1	1.312000
1	1.332000
1	1.377500
1	1.322000
1	1.312000
1	1.302000
1	1.307000
1	1.322000
1	1.322500
1	1.332000
1	1.377000
1	1.377500
1	1.322500
1	1.297000
1	1.312500
1	1.302500
1	1.312500
1	1.317500
1	1.332000
1	1.312000
1	1.297500
1	1.312000
1	1.307000
1	1.302000
1	1.287000
1	1.312500
1	1.352000
1	1.337000
1	1.302500
1	1.347000
1	1.337000
1	1.342500
1	1.332000
1	1.593000
1	1.317500
1	1.322500
1	1.307000
1	1.317500
1	1.332000
1	1.327500
1	1.312000
1	1.327500
1	1.337500
1	1.382500
1	1.347000
1	1.357500
1	1.352500
1	1.337500
1	1.342500
1	1.327500
1	1.311500
1	1.307000
1	1.342000
1	1.317000
1	1.337000
1	1.317000
1	1.372000
1	1.322000
1	1.382500
1	1.342500
1	1.307500
1	1.307000
1	1.301500
1	1.297000
1	1.337000
1	1.312500
1	1.422000
1	1.312500
1	1.312500
1	1.322000
1	1.342500
1	1.307000
1	1.307500
1	1.302000
1	1.387000
1	1.408000
1	1.317500
1	1.311500
1	1.312000
1	1.332500
1	1.312500
1	1.307000
1	1.307000
1	1.302500
1	1.307000
1	1.302500
1	1.307000
1	1.312500
1	1.312000
1	1.297500
1	1.362000
1	1.347000
1	1.307500
1	1.301500
1	1.322500
1	1.302500
1	1.302000
1	1.312000
1	1.327500
1	1.327500
1	1.327500
1	1.327500
1	1.317000
1	1.302500
1	1.312000
1	1.317500
1	1.357500
1	1.342500
1	1.322500
1	1.327500
