# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
22365140,1000000000,1
3131790,1000000000,1
3249885,1000000000,1
2993146,1000000000,1
3002101,1000000000,1
3178600,1000000000,1
2908653,1000000000,1
2879436,1000000000,1
2844520,1000000000,1
2942778,1000000000,1
2964370,1000000000,1
2953500,1000000000,1
3175292,1000000000,1
2895007,1000000000,1
2826295,1000000000,1
2959620,1000000000,1
2869558,1000000000,1
2862333,1000000000,1
3150416,1000000000,1
2779364,1000000000,1
2843017,1000000000,1
2856142,1000000000,1
2750110,1000000000,1
2662222,1000000000,1
2687879,1000000000,1
2952566,1000000000,1
3305230,1000000000,1
2784195,1000000000,1
2961694,1000000000,1
2823929,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
22238661,800000000,1
2851211,800000000,1
2156525,800000000,1
3111340,800000000,1
2155843,800000000,1
2850360,800000000,1
2065008,800000000,1
2839611,800000000,1
2165462,800000000,1
3317945,800000000,1
2219165,800000000,1
3378551,800000000,1
2413556,800000000,1
3143703,800000000,1
1903330,800000000,1
2673403,800000000,1
1877088,800000000,1
2908923,800000000,1
1865676,800000000,1
3308957,800000000,1
2301771,800000000,1
3304729,800000000,1
2028590,800000000,1
2939271,800000000,1
2333853,800000000,1
3139331,800000000,1
1929469,800000000,1
3513799,800000000,1
2347819,800000000,1
2963698,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
13556163,600000000,1
4082137,600000000,1
3590407,600000000,1
4584246,600000000,1
4791131,600000000,1
4459638,600000000,1
4096573,600000000,1
3757175,600000000,1
3849430,600000000,1
3997995,600000000,1
4234246,600000000,1
4054362,600000000,1
3720364,600000000,1
4089750,600000000,1
3578734,600000000,1
3453473,600000000,1
3576739,600000000,1
3560599,600000000,1
3062654,600000000,1
3348112,600000000,1
3249003,600000000,1
3334015,600000000,1
2965570,600000000,1
2815624,600000000,1
2313012,600000000,1
2479280,600000000,1
2174898,600000000,1
2592957,600000000,1
2265633,600000000,1
2408765,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
12136878,400000000,1
2717276,400000000,1
2682530,400000000,1
2774966,400000000,1
2817296,400000000,1
2530640,400000000,1
2718599,400000000,1
2782279,400000000,1
2810954,400000000,1
2946283,400000000,1
3191172,400000000,1
2621121,400000000,1
2809173,400000000,1
3117201,400000000,1
2729801,400000000,1
3463081,400000000,1
2828788,400000000,1
2776259,400000000,1
2942556,400000000,1
2804712,400000000,1
2425517,400000000,1
2823157,400000000,1
2955811,400000000,1
2296040,400000000,1
2320986,400000000,1
2140532,400000000,1
1855107,400000000,1
2581044,400000000,1
2750519,400000000,1
2617003,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
13585636,200000000,1
3072605,200000000,1
2644988,200000000,1
2665497,200000000,1
2560816,200000000,1
2373218,200000000,1
2216247,200000000,1
2399197,200000000,1
2112770,200000000,1
2565324,200000000,1
2713879,200000000,1
2671988,200000000,1
2355062,200000000,1
1801014,200000000,1
1968955,200000000,1
2043267,200000000,1
2148338,200000000,1
1973573,200000000,1
1892809,200000000,1
1866447,200000000,1
1778760,200000000,1
1902787,200000000,1
1939869,200000000,1
1882999,200000000,1
1972301,200000000,1
2025813,200000000,1
1988282,200000000,1
2243589,200000000,1
1848414,200000000,1
1964506,200000000,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
22878354,0,1
3134434,0,1
3236438,0,1
3098463,0,1
3132730,0,1
2925843,0,1
2958116,0,1
2960170,0,1
2963417,0,1
2775515,0,1
2655458,0,1
2679924,0,1
2375162,0,1
2351736,0,1
2311319,0,1
2070048,0,1
2067431,0,1
2088183,0,1
2039799,0,1
2027757,0,1
2088843,0,1
2113661,0,1
2119723,0,1
2021175,0,1
2006294,0,1
2090037,0,1
1985287,0,1
2009801,0,1
2022377,0,1
1983353,0,1
# Hoverboard test (1048576 1 200000001)
# time(ns),sleep_time(ns),repetitions
13526633,200000001,1
3632064,200000001,1
3482348,200000001,1
2729358,200000001,1
3126308,200000001,1
2675215,200000001,1
2875407,200000001,1
3041334,200000001,1
2444282,200000001,1
2460865,200000001,1
2431749,200000001,1
2361966,200000001,1
2074517,200000001,1
2507354,200000001,1
2285770,200000001,1
2023739,200000001,1
1830028,200000001,1
1910261,200000001,1
2431438,200000001,1
2163728,200000001,1
2183816,200000001,1
1730006,200000001,1
2036724,200000001,1
2234202,200000001,1
2433443,200000001,1
2523634,200000001,1
2151903,200000001,1
1897145,200000001,1
1886937,200000001,1
2477416,200000001,1
# Hoverboard test (1048576 1 400000001)
# time(ns),sleep_time(ns),repetitions
