# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 90.636471 269.274574 1044.598604 45.318236 15.359321 8.399196 -nan -nan -nan
1025 10 88.813122 190.549981 982.264115 45.318236 10.459210 8.328989 19.857022 -0.008344 inf
2049 10 93.732157 175.752803 1014.012426 45.318236 8.521206 9.246621 18.794938 -0.005242 2.593966
3073 10 101.346141 182.875886 1114.236507 45.318236 11.197233 9.167970 17.518656 -0.003375 3.074870
4097 10 105.613980 281.517060 1204.141635 45.318236 16.444648 9.815242 14.344847 -0.000279 6.309882
5121 10 111.043953 172.526878 1188.743353 45.318236 8.700424 10.900936 15.505053 -0.001128 5.854171
6145 10 112.436511 236.734808 1207.628038 45.318236 9.251436 10.790822 14.569521 -0.000580 5.509478
7169 10 113.799014 296.083814 1222.835971 45.318236 9.427315 10.745431 12.928432 0.000221 5.891706
8193 10 129.447755 222.608863 1371.148375 45.318236 8.518980 11.125911 13.611286 -0.000065 5.609347
9217 10 128.125327 252.433642 1377.199489 45.318236 10.660691 12.603229 13.495354 -0.000022 5.252011
10241 10 198.073800 339.593728 2021.613077 45.318236 4.541675 13.165866 13.160246 0.000087 4.997598
11265 10 134.036183 313.986696 1433.022017 45.318236 10.295576 12.982262 12.409238 0.000307 4.989648
12289 10 139.706598 283.931494 1490.257140 45.318236 10.354574 12.674291 12.427897 0.000302 4.757608
13313 10 206.178686 357.947438 2101.640061 45.318236 4.428133 13.915869 12.380203 0.000313 4.556245
14337 10 207.711502 345.063775 2186.285529 45.318236 12.130057 14.276721 12.554971 0.000274 4.394797
15361 10 139.736653 336.698411 1574.792405 45.318236 19.713986 13.888792 12.027852 0.000384 4.402276
16385 10 167.477604 316.731738 1764.100105 45.318236 9.924896 14.018729 12.198656 0.000351 4.271612
17409 10 165.964826 316.601499 1766.344227 45.318236 11.855107 13.731507 12.345770 0.000324 4.150794
18433 10 231.354927 364.920245 2375.242584 45.318236 6.854812 13.996628 12.657094 0.000270 4.097427
19457 10 192.213036 502.883641 2061.856992 45.318236 15.525182 13.974964 11.234005 0.000502 5.321842
20481 10 229.912278 513.783661 2402.953481 45.318236 11.536745 14.113389 10.409279 0.000629 5.584119
21505 10 185.200155 366.473097 1948.629027 45.318236 10.736386 14.810623 10.709569 0.000585 5.497450
22529 10 198.895309 435.670191 2099.476087 45.318236 12.280333 15.211135 10.525788 0.000611 5.386582
23553 10 188.466154 404.502947 1998.200074 45.318236 12.615393 14.422179 10.592413 0.000602 5.265741
24577 10 201.800645 390.477186 2121.346255 45.318236 11.482200 15.537466 10.905431 0.000562 5.219638
25601 10 221.366582 496.451828 2362.278774 45.318236 16.512551 16.389418 10.545069 0.000606 5.205609
26625 10 242.856051 494.588406 2539.945092 45.318236 12.376064 16.168393 10.459834 0.000616 5.106030
27649 10 197.502751 426.653630 2107.100090 45.318236 14.674731 15.259915 10.589975 0.000601 5.020566
28673 10 206.108558 498.265159 2198.087205 45.318236 15.222403 16.088776 10.302682 0.000633 4.996186
29697 10 275.536074 522.269247 2829.176320 45.318236 8.201731 16.722926 10.403440 0.000622 4.915046
30721 10 208.883655 469.051502 2211.501843 45.318236 13.629478 15.113790 10.438820 0.000618 4.830706
31745 10 274.484142 661.815550 2916.566829 45.318236 19.080601 15.747524 9.702080 0.000690 5.243342
32769 10 218.731742 418.097916 2306.265896 45.318236 13.216497 15.823702 10.264313 0.000637 5.436702
33793 10 250.830698 664.490463 2681.755554 45.318236 19.272063 16.389191 9.502536 0.000707 5.847788
34817 10 246.663044 439.246760 2565.001112 45.318236 10.930075 16.202068 10.168872 0.000648 6.125865
35841 10 315.058665 774.151877 3266.018664 45.318236 12.825779 16.120224 9.269168 0.000725 6.676997
36865 10 309.488434 594.922689 3156.367268 45.318236 6.831436 16.055121 9.483008 0.000707 6.616705
37889 10 254.577580 449.996504 2663.732451 45.318236 13.106294 16.436531 10.191160 0.000650 6.918685
38913 10 244.418922 526.396828 2582.703626 45.318236 15.390490 16.671523 10.387916 0.000634 6.855179
39937 10 236.764864 709.372898 2529.115201 45.318236 17.940729 16.456247 9.609618 0.000694 7.243168
40961 10 229.441413 737.214034 2464.947344 45.318236 18.948135 16.988809 8.777379 0.000757 7.678450
41985 10 259.486596 548.587585 2736.786629 45.318236 15.768963 16.851959 9.150751 0.000729 7.687476
43009 10 279.423214 602.005698 2916.526756 45.318236 13.588291 17.393231 9.353613 0.000715 7.625101
44033 10 270.877518 509.215271 2835.387728 45.318236 14.068061 17.635371 9.962546 0.000672 7.825049
45057 10 268.713543 516.849292 2820.861047 45.318236 14.858401 17.615123 10.489844 0.000637 7.951791
46081 10 275.726424 525.996092 2979.191852 45.318236 24.658624 18.238132 10.978903 0.000604 8.049744
47105 10 262.582282 600.583085 2794.983518 45.318236 18.795633 18.349496 11.053655 0.000599 7.964295
48129 10 333.893258 678.606390 3442.502810 45.318236 11.507803 18.724297 11.115730 0.000595 7.880444
49153 10 276.357583 592.588401 2926.114365 45.318236 18.059837 18.913639 11.316512 0.000583 7.830489
50177 10 361.283566 664.600665 3710.284643 45.318236 10.827665 19.665767 11.574408 0.000567 7.806457
51201 10 309.087698 647.829863 3262.642463 45.318236 19.085053 19.511746 11.683887 0.000560 7.737089
52225 10 289.902461 616.762802 3116.544125 45.318236 24.168835 19.090650 11.851924 0.000551 7.685189
53249 10 299.159463 842.387204 3160.554960 45.318236 18.773370 19.563315 11.167878 0.000590 8.037202
54273 10 280.114483 822.330366 3009.136852 45.318236 23.110224 19.551850 10.570185 0.000623 8.279662
55297 10 313.856457 671.533399 3272.390367 45.318236 14.869533 20.366876 10.752763 0.000613 8.231205
56321 10 288.580032 569.005086 3070.950384 45.318236 20.572229 20.431968 11.231243 0.000587 8.363230
57345 10 310.850937 851.193378 3296.103921 45.318236 20.843839 19.886063 10.728108 0.000614 8.517320
58369 10 320.408491 627.903264 3348.420010 45.318236 16.037233 20.374064 11.134428 0.000593 8.591636
59393 10 295.041901 593.229579 3115.722617 45.318236 18.367068 20.594766 11.560207 0.000571 8.682453
60417 10 319.166209 664.811052 3337.900689 45.318236 16.248733 20.308457 11.802954 0.000559 8.662032
