#size	rtt
1	68.515413
1	58.086324
1	54.840382
1	53.112219
1	44.802007
1	44.877145
1	44.977328
1	43.204082
1	43.133954
1	44.065660
1	43.229128
1	42.933587
1	43.654908
1	44.666760
1	42.547881
1	45.683621
1	42.683129
1	43.284229
1	49.235122
1	43.805183
1	42.262359
1	58.336782
1	48.042940
1	42.813367
1	44.336155
1	43.264193
1	43.038780
1	42.016909
1	44.696815
1	44.140797
1	42.192230
1	42.232304
1	49.084847
1	48.764260
1	45.428154
1	47.912701
1	48.613985
1	44.140797
1	44.160834
1	45.337988
1	43.835238
1	45.217768
1	45.848924
1	44.100724
1	42.933587
1	44.501457
1	43.234137
1	48.794315
1	43.479587
1	44.476411
1	42.497790
1	47.832555
1	42.733221
1	44.611659
1	44.230962
1	45.162668
1	44.706833
1	42.302432
1	41.966818
1	43.038780
1	44.716852
1	44.431329
1	42.532854
1	43.785146
1	42.492780
1	47.461876
1	44.396265
1	44.020577
1	42.693147
1	42.267368
1	43.694981
1	44.276045
1	42.167185
1	47.617160
1	43.704999
1	43.113917
1	42.753257
1	43.945439
1	42.723202
1	42.708175
1	43.088872
1	42.397606
1	42.577936
1	43.229128
1	47.386739
1	45.002374
1	44.962301
1	44.225953
1	43.334321
1	43.254174
1	43.424486
1	43.860284
1	44.125770
1	44.105733
1	43.504633
1	41.851607
1	42.016909
1	42.006891
1	52.260660
1	50.357176
1	44.230962
1	42.102065
1	42.868468
1	43.950449
1	42.623019
1	43.820210
1	43.444523
1	43.018743
1	42.763276
1	43.880320
1	42.968652
1	48.298407
1	43.314284
1	43.219110
1	43.098890
1	44.215935
1	42.547881
1	47.286555
1	44.546540
1	44.010559
1	42.552891
1	43.209092
1	43.389422
1	42.623019
1	50.647708
1	45.408117
1	46.870794
1	42.948615
1	42.577936
1	42.943606
1	45.633529
1	48.388572
1	43.775128
1	44.080687
1	43.930412
1	44.000540
1	42.778303
1	45.753749
1	45.192723
1	42.362542
1	42.132120
1	53.548016
1	43.439513
1	43.855274
1	44.125770
1	43.399440
1	42.452707
1	44.426320
1	42.272377
1	47.637197
1	46.825712
1	43.133954
1	76.760505
1	58.186507
1	49.074829
1	48.353508
1	52.305743
1	47.942756
1	43.860284
1	43.504633
1	43.289238
1	43.619844
1	44.746907
1	48.794315
1	43.995531
1	44.636705
1	46.234630
1	43.825219
1	44.010559
1	44.150815
1	43.489605
1	42.633037
1	44.496448
1	43.704999
1	43.609825
1	44.776962
1	43.324303
1	44.576595
1	43.704999
1	44.160834
1	42.327478
1	45.327970
1	50.267011
1	43.063826
1	42.943606
1	43.539697
1	43.083862
1	45.282888
1	45.307933
1	43.123936
1	44.326136
1	43.279220
1	42.968652
1	42.157166
1	44.942264
1	43.995531
1	47.587105
1	43.880320
1	45.142631
1	43.384413
1	44.235971
1	44.240980
1	43.634871
1	43.364376
1	47.727362
1	43.334321
1	45.087530
1	45.833896
1	42.823386
1	42.803349
1	44.391256
1	44.601641
1	42.753257
1	44.210925
1	45.007383
1	48.553875
1	42.613001
1	43.409458
1	42.918560
1	45.172686
1	46.014226
1	43.279220
1	43.419477
1	42.993697
1	43.304266
1	43.464559
1	44.561567
1	44.671769
1	42.963642
1	45.989180
1	43.835238
1	44.421311
1	45.693639
1	45.042447
1	44.145806
1	43.033771
1	44.461384
1	43.153991
1	43.970485
1	47.542023
1	42.918560
1	43.825219
1	44.376228
1	45.032429
1	72.688051
1	51.879963
1	48.193215
1	48.448682
1	52.811669
1	48.834388
1	47.101216
1	45.423144
1	46.179529
1	43.980504
1	43.684963
1	42.973661
1	43.083862
1	44.917218
1	43.494614
1	44.501457
1	42.718193
1	49.340314
1	46.625345
1	44.481421
1	44.566576
1	44.812026
1	45.182704
1	43.955458
1	45.222778
1	45.317952
1	44.786980
1	43.820210
1	43.544706
1	43.775128
1	43.404449
1	43.915384
1	44.872136
1	44.576595
1	43.504633
1	43.494614
1	42.983679
1	49.109893
1	44.346173
1	44.471402
1	45.383071
1	43.304266
1	43.895348
1	43.865293
1	45.518319
1	46.540189
1	43.975495
1	44.761934
1	45.202741
1	47.592115
1	44.736888
1	43.775128
1	43.469568
1	43.189055
1	44.005550
1	42.953624
1	45.027420
1	49.390406
1	45.152649
1	43.755091
1	42.327478
1	44.992356
1	43.008725
1	44.391256
1	45.613493
1	44.115751
1	43.905366
1	43.214101
1	43.048798
1	43.499623
1	52.155467
1	44.516485
1	44.661751
1	43.214101
1	43.649899
1	42.893514
1	46.154483
1	46.069327
1	45.327970
1	54.960602
1	43.895348
1	47.046115
1	45.037438
1	44.776962
1	43.324303
1	42.928578
1	42.492780
1	43.153991
1	44.531512
1	45.468227
1	43.669935
1	42.903532
1	43.735054
1	43.409458
1	42.733221
1	48.163160
1	43.785146
1	44.556558
1	43.108908
1	47.306592
1	42.868468
1	43.279220
1	45.127603
1	46.384905
1	46.119419
1	42.833404
1	44.165843
1	43.775128
1	45.718685
1	43.364376
1	43.524669
1	44.741897
1	42.798340
1	44.005550
1	49.014719
1	45.142631
1	43.334321
1	49.766094
1	43.569752
1	43.093881
1	45.553383
1	44.892172
1	43.619844
1	44.240980
1	42.973661
1	45.182704
1	43.339330
1	46.750574
1	43.539697
1	43.123936
1	43.254174
1	42.607991
1	42.527845
1	43.419477
1	46.480079
1	43.078853
1	47.862610
1	42.753257
1	42.863459
1	43.454541
1	44.947273
1	43.800174
1	45.413126
1	44.321127
1	43.013734
1	43.023752
1	47.932738
1	44.471402
1	43.329312
1	43.740064
1	43.915384
1	43.179037
1	44.581604
1	45.137622
1	43.795164
1	44.681787
1	44.155825
1	46.910868
1	44.696815
1	49.665910
1	43.604816
1	43.123936
1	43.589788
1	44.085696
1	45.838905
1	45.753749
1	45.337988
1	43.279220
1	45.307933
1	46.269694
1	43.885329
1	44.822044
1	46.269694
1	48.143123
1	44.476411
1	44.456375
1	43.299257
1	47.131271
1	45.613493
1	43.689972
1	43.053807
1	43.664926
1	47.652225
1	43.304266
1	49.285214
1	44.646723
1	43.694981
1	44.296081
1	44.371219
1	44.867127
1	43.720027
1	49.079838
1	43.750082
1	43.133954
1	43.314284
1	43.028762
1	42.983679
1	45.573419
1	43.589788
1	42.808358
1	44.626686
1	44.256008
1	47.887655
1	45.593456
1	45.157658
1	44.235971
1	43.093881
1	43.639880
1	43.960467
1	44.421311
1	48.283380
1	43.354358
1	43.133954
1	43.018743
1	43.073844
1	43.138963
1	45.393089
1	44.050632
1	43.945439
1	43.344339
1	44.456375
1	42.648065
1	43.309275
1	47.191381
1	43.499623
1	43.574761
1	44.165843
1	44.316118
1	43.023752
1	45.763768
1	44.055641
1	43.634871
1	45.167677
1	44.015568
1	43.790155
1	56.257977
1	44.506466
1	42.913551
1	43.279220
1	44.992356
1	43.770119
1	43.299257
1	49.766094
1	43.138963
1	43.169018
1	43.349348
1	45.463218
1	47.822536
1	47.471894
1	47.446849
1	45.368043
1	44.416301
1	43.574761
1	44.235971
1	43.750082
1	45.563401
1	43.454541
1	44.195898
1	43.088872
1	43.434504
1	43.715018
1	47.677270
1	43.369385
1	43.544706
1	44.346173
1	44.306100
1	44.646723
1	43.880320
1	47.176353
1	44.015568
1	43.279220
1	44.060650
1	43.279220
1	45.207750
1	48.022903
1	43.589788
1	43.003716
1	43.489605
1	43.384413
1	42.668101
1	45.302924
1	43.689972
1	44.786980
1	43.078853
1	42.868468
1	43.123936
1	44.396265
1	44.741897
1	42.547881
1	43.945439
1	43.153991
1	43.790155
1	42.918560
1	46.905858
1	43.414468
1	43.128945
1	44.576595
1	43.905366
1	44.857108
1	44.817035
1	43.314284
1	47.046115
1	44.130779
1	44.476411
1	43.289238
1	46.024245
1	45.052466
1	47.001033
1	43.915384
1	43.504633
1	43.068835
1	43.895348
1	50.552533
1	45.072503
1	45.848924
1	46.274703
1	43.785146
1	47.036097
1	45.753749
1	45.232796
1	43.249165
1	43.164009
1	44.065660
1	43.023752
1	45.122594
1	44.536521
1	43.128945
1	43.489605
1	46.670427
1	42.542872
1	44.611659
1	44.521494
1	43.304266
1	43.379403
1	46.299749
1	44.090705
1	42.818376
1	47.717344
1	48.468719
1	44.456375
1	43.494614
1	43.244156
1	43.880320
1	45.733713
1	46.780629
1	43.073844
1	42.933587
1	43.194064
1	43.159000
1	43.805183
1	45.368043
1	45.603474
1	43.148982
1	43.604816
1	44.205916
1	43.299257
1	44.796998
1	44.957292
1	44.266026
1	43.449532
1	45.648557
1	43.244156
1	43.740064
1	45.297915
1	43.990522
1	43.634871
1	42.973661
1	47.511968
1	43.274211
1	45.232796
1	44.010559
1	46.249657
1	43.138963
1	43.444523
1	43.419477
1	44.471402
1	47.341656
1	48.308426
1	43.329312
1	44.942264
1	42.938597
1	43.950449
1	46.455033
1	45.017402
1	43.810192
1	42.978670
1	44.055641
1	42.743239
1	46.550207
1	44.366210
1	43.484596
1	43.624853
1	46.274703
1	43.479587
1	45.823878
1	43.349348
1	43.564743
1	44.396265
1	43.815201
1	44.411292
1	47.426812
1	44.601641
1	44.331146
1	43.549715
1	46.404941
1	43.890339
1	43.504633
1	44.000540
1	46.880813
1	43.354358
1	43.229128
1	43.143972
1	42.973661
1	45.077512
1	45.924061
1	45.413126
1	43.259183
1	43.664926
1	50.141782
1	46.710501
1	46.294740
1	47.717344
1	44.316118
1	43.098890
1	45.122594
1	44.055641
1	53.928713
1	44.436338
1	43.805183
1	43.704999
1	43.985513
1	43.785146
1	43.394431
1	47.356684
1	46.955950
1	45.082521
1	43.259183
1	44.766943
1	43.604816
1	44.837072
1	46.249657
1	43.113917
1	47.652225
1	44.616668
1	44.240980
1	49.054792
1	45.888997
1	45.503291
1	43.224119
1	43.309275
1	43.023752
1	45.894006
1	43.609825
1	44.862117
1	43.394431
1	44.491439
1	45.127603
1	44.095715
1	44.416301
1	43.369385
1	43.725036
1	43.980504
1	44.481421
1	44.436338
1	46.585272
1	43.985513
1	46.640372
1	46.790647
1	43.805183
1	45.894006
1	46.840739
1	43.745073
1	45.012392
1	44.025586
1	43.539697
1	43.179037
1	43.224119
1	45.959125
1	43.885329
1	43.619844
1	43.820210
1	43.604816
1	43.003716
1	44.240980
1	43.148982
1	45.237805
1	43.634871
1	42.918560
1	44.917218
1	45.578429
1	45.182704
1	43.329312
1	43.529678
1	43.128945
1	43.659917
1	43.619844
1	44.235971
1	43.148982
1	44.200907
1	50.813010
1	45.147640
1	43.023752
1	43.835238
1	43.895348
1	45.493273
1	43.319293
1	43.584779
1	48.699141
1	44.892172
1	46.805675
1	43.995531
1	43.975495
1	43.209092
1	43.229128
1	43.164009
1	45.322961
1	45.302924
1	44.917218
1	43.184046
1	43.955458
1	46.465051
1	47.321619
1	44.766943
1	43.384413
1	43.103899
1	43.885329
1	44.641714
1	43.955458
1	45.152649
1	44.426320
1	43.339330
1	43.915384
1	51.915027
1	43.765109
1	45.808850
1	43.750082
1	44.185880
1	44.155825
1	43.860284
1	43.113917
1	44.922227
1	44.967310
1	45.152649
1	44.676778
1	43.128945
1	43.619844
1	43.614834
1	45.398098
1	45.002374
1	43.349348
1	43.529678
1	42.773294
1	45.267860
1	44.476411
1	44.376228
1	42.963642
1	42.933587
1	44.776962
1	44.972319
1	46.830721
1	45.438172
1	43.840247
1	44.837072
1	46.349841
1	43.108908
1	46.460042
1	46.074336
1	44.115751
1	45.037438
1	74.666673
1	46.394923
1	46.475070
1	51.669578
1	46.595290
1	45.353016
1	47.206408
1	43.339330
1	43.304266
1	48.017894
1	43.815201
1	43.394431
1	43.519660
1	44.626686
1	43.499623
1	46.414960
1	44.711842
1	45.894006
1	42.928578
1	42.818376
1	42.853441
1	43.760100
1	47.501949
1	43.935421
1	43.269202
1	44.781971
1	43.143972
1	46.530171
1	45.588447
1	48.248316
1	43.805183
1	44.756925
1	43.314284
1	43.204082
1	45.152649
1	44.055641
1	43.063826
1	43.344339
1	45.142631
1	43.629862
1	43.088872
1	46.555217
1	43.224119
1	42.828395
1	43.649899
1	43.489605
1	42.928578
1	47.166335
1	44.331146
1	43.153991
1	44.110742
1	43.048798
1	42.848431
1	43.414468
1	44.471402
1	43.659917
1	43.489605
1	44.967310
1	43.464559
1	43.063826
1	50.106717
1	44.346173
1	46.590281
1	44.872136
1	43.664926
1	43.765109
1	45.027420
1	45.543364
1	46.404941
1	44.741897
1	44.531512
1	43.374394
1	43.715018
1	47.652225
1	43.474578
1	43.614834
1	44.150815
1	43.314284
1	43.028762
1	47.857600
1	44.416301
1	43.810192
1	44.015568
1	43.354358
1	43.133954
1	44.581604
1	46.986005
1	43.519660
1	43.654908
1	46.349841
1	43.479587
1	43.785146
1	45.202741
1	44.516485
1	43.339330
1	48.373545
1	43.529678
1	44.256008
1	43.995531
1	44.130779
1	43.384413
1	43.745073
1	45.077512
1	48.849416
1	45.072503
1	45.057475
1	44.306100
1	43.374394
1	44.005550
1	43.404449
1	43.078853
1	45.894006
1	43.424486
1	42.898523
1	45.813860
1	43.469568
1	43.725036
1	44.165843
1	44.286063
1	44.611659
1	43.434504
1	43.414468
1	42.938597
1	43.965476
1	48.213251
1	44.020577
1	43.234137
1	44.892172
1	46.635363
1	44.261017
1	45.368043
1	45.488264
1	42.848431
1	47.837564
1	43.945439
1	44.696815
1	46.610317
1	44.456375
1	42.848431
1	43.589788
1	44.130779
1	42.437680
1	42.983679
1	45.598465
1	44.020577
1	43.174027
1	43.539697
1	43.785146
1	43.324303
1	45.708667
1	43.454541
1	44.937255
1	43.910375
1	43.649899
1	103.895174
1	49.821195
1	47.647215
1	49.655892
1	47.416794
1	48.308426
1	43.444523
1	46.780629
1	42.698156
1	42.587955
1	46.199566
1	44.225953
1	42.122102
1	46.660409
1	43.569752
1	42.467735
1	43.148982
1	42.036946
1	42.673111
1	42.628028
1	44.646723
1	44.541531
1	42.753257
1	42.187221
1	41.916726
1	42.137129
1	43.945439
1	43.965476
1	42.382579
1	44.466393
1	43.249165
1	42.547881
1	42.392597
#size	rtt
1	54.585424
1	49.781586
1	49.741512
1	53.438313
1	49.090314
1	57.761266
1	46.650826
1	48.945047
1	49.781586
1	47.627623
1	46.305190
1	45.844342
1	45.012812
1	44.662167
1	43.935831
1	43.429900
1	48.348950
1	57.901524
1	44.531928
1	44.426734
1	44.967729
1	44.291485
1	45.233218
1	45.483679
1	45.168098
1	44.076089
1	43.294651
1	44.972739
1	44.131190
1	46.595724
1	43.790564
1	44.556974
1	47.026517
1	44.952702
1	43.925813
1	46.525595
1	44.476826
1	44.111153
1	52.256138
1	44.456789
1	45.914471
1	46.826148
1	45.383494
1	45.699075
1	44.166255
1	45.548798
1	44.992775
1	44.777379
1	50.012010
1	46.119849
1	49.681401
1	47.051563
1	44.937674
1	44.301504
1	66.417191
1	44.682204
1	44.386660
1	43.730453
1	45.729130
1	46.510568
1	47.201840
1	44.546955
1	44.101135
1	44.802425
1	47.477346
1	45.789241
1	45.283310
1	45.313365
1	44.872554
1	44.256421
1	44.066071
1	52.155954
1	45.248245
1	47.993296
1	44.506882
1	46.059738
1	44.597047
1	44.261430
1	45.653992
1	47.206849
1	47.747844
1	45.593881
1	44.186292
1	49.571199
1	44.521909
1	46.615761
1	44.271448
1	44.622093
1	44.501872
1	43.970895
1	43.985923
1	47.557494
1	45.278301
1	43.935831
1	43.735462
1	44.967729
1	45.824305
1	44.682204
1	46.355282
1	44.752333
1	45.834324
1	44.376642
1	44.246402
1	44.041024
1	55.261668
1	44.236384
1	44.536937
1	45.824305
1	47.913148
1	43.690379
1	45.318374
1	46.645817
1	47.722798
1	45.648983
1	44.020988
1	44.111153
1	49.691420
1	44.546955
1	48.464162
1	44.176273
1	44.286476
1	43.479992
1	44.712259
1	46.921324
1	44.296494
1	44.131190
1	44.136200
1	44.962720
1	46.645817
1	48.609429
1	45.618927
1	45.027840
1	45.879407
1	43.409863
1	44.236384
1	43.710416
1	46.515577
1	51.519784
1	45.233218
1	56.904690
1	45.648983
1	44.391670
1	46.039702
1	46.300181
1	47.602577
1	44.331559
1	44.401688
1	44.682204
1	51.254295
1	46.385337
1	44.086107
1	44.827471
1	44.311522
1	44.141209
1	48.459153
1	46.054729
1	44.476826
1	45.999628
1	44.496863
1	46.405374
1	46.901287
1	46.530605
1	45.163089
1	44.456789
1	45.092960
1	44.541946
1	44.677195
1	46.540623
1	46.104821
1	43.835647
1	52.130908
1	44.431743
1	44.967729
1	50.853558
1	46.019665
1	46.395356
1	45.628946
1	43.835647
1	43.685370
1	46.856204
1	45.623937
1	53.333120
1	44.722278
1	44.166255
1	44.226365
1	44.376642
1	46.310199
1	44.637121
1	44.597047
1	43.815610
1	44.857527
1	46.585706
1	48.474180
1	44.667176
1	45.608909
1	44.010969
1	44.987766
1	44.061061
1	46.440439
1	45.153070
1	43.960877
1	43.885739
1	45.618927
1	50.307553
1	44.992775
1	46.766038
1	43.945849
1	46.635798
1	45.674029
1	44.647140
1	43.745481
1	45.588872
1	43.940840
1	43.590195
1	47.652669
1	45.418559
1	44.181283
1	44.271448
1	46.635798
1	44.577011
1	44.511891
1	43.970895
1	45.087951
1	47.266959
1	50.638162
1	43.740472
1	44.832481
1	44.732296
1	44.136200
1	44.056052
1	46.320218
1	44.471817
1	44.056052
1	44.436753
1	45.153070
1	43.685370
1	49.976945
1	45.558817
1	45.092960
1	46.490531
1	46.430420
1	43.990932
1	46.370310
1	45.533771
1	44.005960
1	45.158080
1	47.752853
1	49.541143
1	44.141209
1	44.506882
1	46.490531
1	43.770527
1	44.962720
1	43.845665
1	44.161246
1	47.507402
1	45.999628
1	44.005960
1	43.980914
1	44.196310
1	44.251412
1	46.205006
1	44.687213
1	44.371633
1	43.525075
1	44.647140
1	45.979591
1	44.461799
1	45.834324
1	48.133554
1	44.967729
1	46.240070
1	45.759185
1	43.965886
1	45.704084
1	44.196310
1	44.161246
1	44.416716
1	45.112997
1	43.785554
1	49.135397
1	45.563826
1	45.939517
1	44.982757
1	43.905776
1	43.685370
1	44.877563
1	47.868065
1	45.593881
1	44.772370
1	44.577011
1	44.136200
1	44.897600
1	46.119849
1	44.652149
1	44.506882
1	43.790564
1	43.885739
1	45.368467
1	46.345264
1	45.914471
1	44.141209
1	48.699595
1	45.779222
1	45.994619
1	47.186812
1	46.816130
1	47.196830
1	45.829314
1	43.890748
1	43.810601
1	48.048397
1	45.633955
1	47.412227
1	46.400365
1	44.577011
1	44.316531
1	44.271448
1	46.084784
1	45.744158
1	45.433586
1	43.840656
1	44.015978
1	44.020988
1	60.315966
1	47.016499
1	43.880730
1	45.163089
1	44.231375
1	44.827471
1	46.415393
1	45.363457
1	44.812444
1	44.817453
1	44.767361
1	49.576208
1	46.876241
1	45.924490
1	45.022831
1	44.687213
1	44.587029
1	44.637121
1	44.025997
1	46.445448
1	45.929499
1	44.481835
1	48.263793
1	44.491854
1	44.572001
1	82.481746
1	50.452821
1	50.593079
1	50.437793
1	47.933185
1	48.183646
1	47.151747
1	44.587029
1	44.421725
1	44.561983
1	44.521909
1	44.121172
1	44.346587
1	46.730973
1	44.126181
1	46.235061
1	44.431743
1	45.213181
1	47.943204
1	50.392710
1	44.201319
1	44.296494
1	44.206329
1	44.121172
1	43.840656
1	45.578854
1	43.760508
1	48.534291
1	48.178637
1	46.285153
1	46.851194
1	46.380328
1	43.790564
1	44.005960
1	46.255098
1	45.964563
1	44.466808
1	46.645817
1	44.702241
1	44.526918
1	44.146218
1	45.138043
1	44.752333
1	45.042868
1	46.545632
1	45.769204
1	44.401688
1	44.086107
1	43.970895
1	44.146218
1	47.021508
1	45.653992
1	47.567512
1	44.647140
1	44.146218
1	44.637121
1	44.471817
1	44.331559
1	43.935831
1	44.426734
1	44.201319
1	45.839333
1	44.051043
1	50.077129
1	44.637121
1	44.401688
1	46.330236
1	46.265116
1	44.572001
1	46.655835
1	45.598891
1	45.563826
1	44.226365
1	44.296494
1	44.326550
1	45.523752
1	45.067914
1	45.213181
1	44.086107
1	45.233218
1	43.880730
1	44.787398
1	46.590715
1	45.573844
1	44.086107
1	47.221876
1	45.794250
1	43.885739
1	45.213181
1	44.647140
1	44.216347
1	47.512411
1	47.697752
1	45.458633
1	48.113517
1	44.652149
1	46.540623
1	46.735983
1	46.410384
1	45.964563
1	48.083462
1	44.531928
1	43.925813
1	44.331559
1	43.404854
1	44.176273
1	44.907619
1	45.984600
1	44.051043
1	45.488688
1	44.106144
1	44.236384
1	44.406697
1	47.166775
1	45.173107
1	68.195463
1	44.366623
1	44.572001
1	47.667697
1	48.439116
1	43.885739
1	44.181283
1	44.051043
1	43.950859
1	44.757342
1	51.875438
1	45.047877
1	44.667176
1	44.416716
1	46.971416
1	45.153070
1	46.325227
1	45.002794
1	44.081098
1	44.291485
1	44.692223
1	44.566992
1	44.136200
1	46.585706
1	44.857527
1	45.959554
1	49.736503
1	45.228209
1	46.184969
1	47.492374
1	45.633955
1	44.672186
1	45.819296
1	44.747324
1	44.341577
1	46.630789
1	48.935028
1	44.892591
1	44.617084
1	43.800582
1	43.540103
1	43.820619
1	49.471014
1	44.216347
1	44.707250
1	45.143052
1	43.595204
1	47.317052
1	47.477346
1	44.281467
1	44.216347
1	43.755499
1	44.782388
1	44.431743
1	47.472337
1	45.553808
1	43.710416
1	44.126181
1	45.428577
1	44.637121
1	45.964563
1	46.174950
1	44.086107
1	44.511891
1	45.608909
1	44.667176
1	44.812444
1	45.418559
1	44.106144
1	46.655835
1	44.887582
1	44.491854
1	43.750490
1	44.852517
1	45.779222
1	44.071080
1	44.982757
1	48.779743
1	44.762352
1	45.353439
1	50.833521
1	44.812444
1	44.201319
1	43.910785
1	44.511891
1	44.882573
1	45.228209
1	44.612075
1	43.895757
1	46.575688
1	45.699075
1	44.677195
1	49.020185
1	45.984600
1	45.909462
