#size	rtt
2	59.468213
2	54.723419
2	55.744898
2	60.992713
2	65.221357
2	54.418834
2	55.022956
2	55.325481
2	59.668368
2	52.640605
2	55.189716
2	57.749741
2	55.110314
2	57.304075
2	56.904317
2	52.759701
2	59.613268
2	55.422686
2	54.253534
2	54.551864
2	54.113279
2	56.195581
2	57.252874
2	60.008987
2	58.901977
2	53.782679
2	57.084025
2	58.220739
2	54.408816
2	55.681127
2	54.711204
2	54.727378
2	55.924188
2	54.308634
2	55.564220
2	53.722570
2	59.667418
2	56.396862
2	52.565277
2	53.767652
2	58.196248
2	55.119379
2	56.257173
2	57.671420
2	93.286602
2	52.007132
2	56.260067
2	53.662461
2	54.794517
2	52.810914
2	55.230308
2	53.892879
2	53.702533
2	56.092310
2	55.490975
2	56.438678
2	55.043620
2	54.263552
2	56.179314
2	55.047622
2	55.080035
2	54.674298
2	52.560459
2	53.987117
2	58.371012
2	53.922934
2	52.154722
2	53.963007
2	53.187443
2	54.373753
2	56.464128
2	52.979468
2	54.138325
2	54.834589
2	56.647883
2	55.577726
2	54.774480
2	56.351485
2	55.049494
2	56.457425
2	56.658171
2	55.325481
2	54.684508
2	56.626673
2	58.985585
2	53.635510
2	53.785420
2	53.589702
2	55.147170
2	55.622662
2	54.916009
2	54.945698
2	53.362457
2	57.945420
2	53.051156
2	54.017547
2	55.570005
2	54.908428
2	60.227715
2	51.180918
2	52.027122
2	57.730050
2	57.484603
2	60.750546
2	57.730988
2	49.140029
2	55.756722
2	54.589226
2	53.977749
2	55.269732
2	53.736581
2	53.150147
2	57.402509
2	54.426724
2	53.144032
2	52.833108
2	55.317261
2	58.372442
2	54.575181
2	52.626277
2	55.335840
2	54.138529
2	59.543732
2	59.659322
2	54.785838
2	57.621366
2	53.288859
2	61.000788
2	55.804308
2	53.911253
2	55.474463
2	54.703428
2	57.173386
2	54.804535
2	54.599162
2	125.478329
2	91.561292
2	61.249570
2	56.685213
2	54.702025
2	53.931043
2	53.811240
2	54.242438
2	55.555240
2	55.796101
2	55.210454
2	53.312418
2	55.076044
2	51.790504
2	53.679360
2	54.781739
2	53.675105
2	57.317098
2	52.944574
2	53.946760
2	54.558283
2	60.674824
2	54.984900
2	52.961633
2	52.566324
2	55.802632
2	52.587205
2	55.457840
2	54.802062
2	56.871243
2	52.618943
2	51.387116
2	53.681707
2	53.216278
2	55.150159
2	53.066745
2	52.275724
2	54.224682
2	54.099870
2	54.000103
2	53.699967
2	60.457681
2	59.571484
2	54.632913
2	55.494900
2	53.792221
2	54.574062
2	53.813103
2	53.618111
2	52.591656
2	52.281510
2	57.371139
2	52.051881
2	53.870606
2	51.812272
2	61.900998
2	52.839926
2	54.508381
2	54.879473
2	53.622597
2	53.733217
2	57.124809
2	55.988160
2	55.147044
2	54.421092
2	52.307613
2	54.046137
2	57.618002
2	52.814638
2	51.873292
2	52.740229
2	55.134946
2	54.549253
2	58.025947
2	54.625138
2	51.539893
2	53.944636
2	51.931338
2	55.047374
2	51.741728
2	52.959301
2	55.414129
2	57.002389
2	52.269151
2	51.377887
2	52.289904
2	52.305290
2	55.711847
2	54.389810
2	54.264951
2	55.342277
2	52.973337
2	56.339825
2	53.735460
2	52.037740
2	52.133283
2	54.472911
2	53.792039
2	51.503239
2	54.984932
2	51.093218
2	53.873634
2	58.762909
2	53.568814
2	53.874734
2	56.184302
2	62.005270
2	52.232852
2	55.944968
2	83.978978
2	55.445699
2	58.611050
2	55.385563
2	99.220700
2	54.184271
2	64.864071
2	53.403587
2	52.597486
2	52.497665
2	54.070889
2	55.629093
2	58.574825
2	57.418090
2	55.144329
2	57.659276
2	53.487063
2	50.416846
2	56.207736
2	51.795082
2	51.799076
2	51.014392
2	51.650904
2	50.474118
2	52.027296
2	51.040858
2	51.822671
2	52.008376
2	53.932233
2	51.628405
2	53.256724
2	54.354085
2	55.371303
2	53.843896
2	54.214937
2	57.025418
2	52.737993
2	51.135439
2	52.914040
2	53.265039
2	51.532250
2	54.673321
2	51.988805
2	53.176323
2	52.765939
2	51.188433
2	53.598179
2	52.847185
2	51.950916
2	55.592907
2	50.273599
2	51.982060
2	56.255194
2	57.833438
2	53.230442
2	51.021784
2	50.546274
2	50.261109
2	53.918115
2	54.890250
2	53.643349
2	51.364567
2	52.056180
2	55.908549
2	52.242249
2	52.117386
2	50.579946
2	53.430495
2	53.591153
2	51.076957
2	53.095986
2	52.084507
2	55.981957
2	56.793808
2	53.928971
2	52.216219
2	50.483423
2	54.040252
2	54.393789
2	52.317855
2	51.020855
2	52.478869
2	51.016567
2	55.399899
2	49.830136
2	50.616920
2	54.744796
2	55.070767
2	51.294265
2	52.131146
2	51.750811
2	59.189705
2	56.675512
2	54.997838
2	49.598381
2	51.988079
2	51.597741
2	53.997470
2	50.316135
2	51.774139
2	51.113293
2	51.985235
2	53.503356
2	96.391760
2	51.305199
2	52.532789
2	55.919311
2	53.525326
2	53.675963
2	51.527417
2	52.048723
2	55.435244
2	57.133707
2	52.405479
2	50.888077
2	52.371133
2	54.840997
2	51.169685
2	51.786162
2	53.151533
2	54.361585
2	55.914779
2	51.637370
2	53.881812
2	55.049302
2	54.794206
2	55.766344
2	81.783293
2	53.863719
2	52.626832
2	55.933208
2	53.308807
2	54.776846
2	52.062276
2	52.550441
2	54.293607
2	51.974395
2	55.024128
2	52.805905
2	56.407390
2	52.044522
2	54.323662
2	51.788186
2	55.091482
2	56.677937
2	54.336065
2	59.037222
2	52.500350
2	50.997621
2	51.047712
2	51.458458
2	53.001260
2	53.747556
2	58.461502
2	50.948216
2	51.434451
2	51.409760
2	52.547184
2	55.257473
2	53.975509
2	53.059216
2	52.248099
2	53.285343
2	53.516123
2	51.858475
2	51.403006
2	56.066857
2	56.017136
2	53.687506
2	50.427699
2	50.713570
2	51.755834
2	55.377779
2	53.339450
2	51.271051
2	52.022773
2	52.794534
2	50.630955
2	54.257919
2	51.277860
2	53.091529
2	52.856459
2	53.593161
2	51.379494
2	52.076114
2	50.774103
2	54.075467
2	51.966991
2	52.237840
2	54.502319
2	52.448948
2	53.446121
2	58.280279
2	53.056360
2	53.502323
2	53.432557
2	55.171084
2	52.762069
2	51.034283
2	52.216787
2	51.325531
2	51.290825
2	50.770246
2	52.714137
2	51.782801
2	53.105567
2	56.106389
2	52.284790
2	51.423584
2	52.556005
2	53.127414
2	53.338160
2	55.772963
2	51.415409
2	52.152109
2	52.077338
2	55.113218
2	50.445110
2	51.582530
2	52.599736
2	54.032711
2	52.184710
2	52.255195
2	53.492804
2	52.852000
2	54.986242
2	56.288979
2	50.453730
2	49.667653
2	51.326019
2	51.957522
2	51.081288
2	53.090298
2	51.412611
2	52.469889
2	55.986645
2	52.350401
2	52.080266
2	52.631626
2	53.408403
2	53.634182
2	50.128165
2	53.664950
2	50.494542
2	52.924319
2	51.682418
2	54.182335
2	53.271040
2	50.751792
2	50.687057
2	52.139695
2	52.460989
2	52.560459
2	53.587324
2	52.380132
2	55.107251
2	52.630587
2	50.882412
2	52.164741
2	51.748985
2	51.518567
2	50.156092
2	51.087785
2	54.904783
2	53.187026
2	50.601902
2	54.674298
2	52.800896
2	53.058250
2	53.870083
2	51.105415
2	52.969159
2	54.842928
2	50.114688
2	52.444277
2	51.573049
2	52.555196
2	51.934424
2	49.049528
2	54.860448
2	50.663187
2	51.199517
2	50.198046
2	51.105048
2	54.095849
2	51.912239
2	53.525537
2	53.195300
2	54.177447
2	52.645023
2	51.728714
2	52.976337
2	53.627863
2	51.058550
2	53.127685
2	50.217750
2	50.423472
2	51.515810
2	52.598134
2	52.007469
2	50.920854
2	51.437146
2	52.128759
2	52.905529
2	52.480114
2	52.350234
2	57.504438
2	52.155620
2	52.366364
2	50.252875
2	51.916256
2	51.195299
2	52.633268
2	54.336746
2	50.500105
2	51.537343
2	50.706184
2	52.700164
2	82.855480
2	51.528818
2	50.692659
2	53.968016
2	55.998030
2	50.849035
2	50.012869
2	57.632085
2	55.959392
2	52.904203
2	51.371775
2	50.245078
2	51.327396
2	51.407896
2	56.697875
2	53.512450
2	51.218639
2	52.581473
2	52.717078
2	52.547127
2	53.759691
2	49.963156
2	52.728553
2	52.613704
2	54.497505
2	52.889949
2	49.719538
2	55.440308
2	59.588224
2	51.834478
2	50.201861
2	52.967240
2	52.321423
2	52.306750
2	52.016578
2	53.199086
2	53.525038
2	53.234869
2	52.048072
2	53.556182
2	51.337505
2	51.969016
2	51.112825
2	124.421581
2	58.271799
2	59.274006
2	53.834490
2	61.002895
2	56.269648
2	51.686679
2	55.248514
2	52.318550
2	55.785215
2	53.276022
2	52.209444
2	54.789495
2	53.577657
2	53.863538
2	52.361168
2	52.927565
2	53.859620
2	56.569935
2	51.746540
2	53.009191
2	55.183507
2	53.422024
2	53.491156
2	57.303462
2	56.116675
2	53.472232
2	52.956658
2	56.934255
2	52.681890
2	53.336869
2	52.707656
2	54.285894
2	54.326330
2	54.416858
2	52.548821
2	52.959926
2	52.168846
2	53.596824
2	53.466959
2	54.849837
2	54.393380
2	52.865243
2	51.622615
2	57.472887
2	55.999839
2	54.201205
2	54.862043
2	51.550661
2	51.655499
2	51.940665
2	52.927103
2	60.144443
2	52.235127
2	52.605444
2	53.421570
2	55.509842
2	56.055467
2	52.333339
2	51.626686
2	54.095872
2	54.081210
2	52.097975
2	56.571470
2	51.547699
2	55.845872
2	57.058447
2	53.156720
2	52.651158
2	57.064547
2	52.010734
2	59.154104
2	56.489638
2	53.199022
2	52.773622
2	57.352328
2	52.123186
2	57.884035
2	55.971655
2	54.749092
2	56.317311
2	54.629611
2	54.805296
2	52.561578
2	54.796000
2	57.656571
2	51.881439
2	55.914132
2	57.858038
2	57.327487
2	54.968569
2	51.692981
2	54.142792
2	52.725577
2	51.949521
2	55.831954
2	54.770391
2	55.662380
2	53.478777
2	55.623053
2	54.125698
2	52.427973
2	52.768963
2	55.148651
2	56.215960
2	55.505042
2	51.978994
2	52.625531
2	54.664599
2	53.337549
2	53.827761
2	55.306866
2	56.389203
2	53.369078
2	55.899055
2	52.989129
2	54.832843
2	58.715275
2	54.793493
2	55.089407
2	53.161263
2	51.578748
2	52.430652
2	53.603154
2	51.860348
2	80.312481
2	68.018534
2	53.422024
2	54.075971
2	52.588626
2	56.551195
2	54.217318
2	56.206301
2	53.737181
2	53.517142
2	54.719240
2	52.200497
2	58.116642
2	52.321476
2	52.532231
2	52.873220
2	59.049817
2	53.029222
2	54.318652
2	53.746253
2	55.680135
2	53.696896
2	87.023050
2	53.847979
2	56.007271
2	55.752176
2	56.468856
2	53.163211
2	54.475964
2	53.755016
2	55.693913
2	54.071342
2	52.223341
2	51.923150
2	54.573384
2	53.682125
2	51.243058
2	52.310353
2	51.704606
2	53.583394
2	58.332395
2	52.021290
2	54.586313
2	55.328028
2	56.310182
2	60.718583
2	52.188431
2	52.293985
