#size	rtt
1	49.967052
1	50.087274
1	48.699718
1	47.362254
1	46.335362
1	45.313479
1	47.061700
1	46.375436
1	44.461910
1	47.908259
1	45.924605
1	44.662280
1	45.588987
1	46.310316
1	44.902722
1	45.744273
1	52.111002
1	45.373590
1	45.143165
1	44.757455
1	46.265233
1	46.430537
1	45.984716
1	46.525712
1	46.004753
1	46.946488
1	48.875041
1	52.281316
1	46.941478
1	50.337735
1	45.839448
1	45.318488
1	44.892704
1	45.293442
1	47.086746
1	45.308470
1	45.338525
1	45.659116
1	45.824420
1	45.188249
1	45.543904
1	81.670458
1	47.682844
1	47.252051
1	49.952025
1	45.924605
1	45.659116
1	45.047990
1	45.363571
1	49.421046
1	46.059854
1	44.872667
1	46.871349
1	50.097292
1	46.134993
1	45.478784
1	45.689171
1	46.630906
1	46.570796
1	46.165048
1	47.076728
1	45.804384
1	50.222523
1	46.054845
1	45.298452
1	45.624051
1	48.123656
1	44.902722
1	45.223313
1	45.428691
1	45.198267
1	46.094919
1	46.465602
1	45.553922
1	45.238341
1	45.042981
1	45.899559
1	45.994734
1	48.158721
1	46.560777
1	45.358562
1	45.448728
1	50.017145
1	45.108101
1	45.163202
1	47.126820
1	45.593996
1	45.063018
1	46.485639
1	46.595842
1	45.128138
1	44.597160
1	45.884531
1	44.787510
1	45.318488
1	49.566314
1	45.583978
1	45.914587
1	48.073564
1	45.769319
1	45.784347
1	44.952815
1	45.163202
1	45.168212
1	46.756137
1	45.809393
1	47.783029
1	47.697872
1	46.059854
1	46.670980
1	46.049836
1	46.024790
1	45.498821
1	45.684162
1	45.328507
1	49.060382
1	46.155030
1	47.046672
1	46.400482
1	45.243350
1	46.315325
1	45.934624
1	45.819411
1	46.405491
1	45.794365
1	45.799374
1	45.593996
1	44.727399
1	46.145011
1	46.134993
1	48.028481
1	46.330353
1	45.413664
1	45.799374
1	45.779337
1	45.173221
1	46.275251
1	46.034808
1	44.707363
1	44.997898
1	45.173221
1	45.513848
1	45.263387
1	46.104937
1	44.807547
1	45.719227
1	45.383608
1	45.924605
1	49.466129
1	48.674671
1	45.914587
1	45.298452
1	45.108101
1	45.343535
1	45.123129
1	46.570796
1	46.846303
1	45.368581
1	45.829430
1	45.649098
1	46.916432
1	49.250733
1	46.034808
1	45.634070
1	46.114956
1	46.475620
1	45.323498
1	45.433701
1	46.405491
1	45.694181
1	45.208285
1	45.348544
1	46.450574
1	45.558931
1	45.373590
1	45.994734
1	45.027953
1	45.398636
1	45.629061
1	73.129724
1	48.384136
1	47.196949
1	45.934624
1	45.578968
1	45.303461
1	45.037972
1	47.918278
1	47.482475
1	46.049836
1	47.427374
1	45.578968
1	46.029799
1	45.183239
1	46.325343
1	47.667817
1	44.632224
1	46.064863
1	49.601379
1	45.889540
1	46.280260
1	45.779337
1	45.824420
1	45.714217
1	45.729245
1	45.839448
1	47.412346
1	46.665971
1	46.034808
1	44.717381
1	50.953870
1	47.211977
1	47.332198
1	46.360408
1	46.680999
1	45.468765
1	45.478784
1	45.283424
1	48.278942
1	46.861331
1	44.917750
1	45.098082
1	46.029799
1	44.977861
1	45.133147
1	46.831275
1	46.325343
1	45.153184
1	46.124974
1	45.568950
1	46.495657
1	50.102301
1	45.764310
1	45.458747
1	45.103092
1	45.313479
1	45.498821
1	45.468765
1	46.555768
1	45.558931
1	46.315325
1	45.393627
1	44.932778
1	49.370954
1	48.218832
1	46.986561
1	46.510685
1	45.799374
1	46.400482
1	45.523867
1	48.890068
1	46.916432
1	45.283424
1	46.215140
1	47.527558
1	45.714217
1	48.138684
1	45.749282
1	45.553922
1	45.558931
1	45.163202
1	46.640925
1	49.526240
1	45.223313
1	48.885059
1	45.328507
1	45.614033
1	45.253368
1	46.370426
1	45.799374
1	46.856322
1	45.203276
1	45.423682
1	45.333516
1	48.569478
1	45.894550
1	44.126292
1	48.734782
1	48.649625
1	45.538894
1	45.994734
1	48.900087
1	46.305306
1	46.806229
1	45.243350
1	46.691017
1	51.810448
1	45.859485
1	45.674144
1	45.253368
1	46.360408
1	45.508839
1	44.892704
1	47.026635
1	46.084900
1	45.283424
1	45.213295
1	48.910105
1	45.273405
1	47.838130
1	45.343535
1	45.528876
1	46.405491
1	45.393627
1	46.215140
1	46.791202
1	46.625897
1	45.804384
1	44.667289
1	48.895077
1	46.190094
1	45.924605
1	48.228850
1	45.448728
1	47.702881
1	46.104937
1	45.749282
1	48.113638
1	51.229378
1	45.979707
1	45.498821
