#size	rtt
4	76.119186
4	80.080960
4	71.326481
4	75.093721
4	76.156861
4	77.423648
4	74.762283
4	93.729882
4	94.529198
4	71.454179
4	75.096241
4	73.173370
4	72.575947
4	71.340029
4	99.558919
4	73.118121
4	71.301491
4	72.433907
4	72.819963
4	95.414633
4	76.287048
4	89.695493
4	72.717539
4	91.708421
4	72.722548
4	71.906060
4	78.336693
4	91.734033
4	71.730741
4	73.754429
4	74.791319
4	82.917978
4	73.664265
4	71.745768
4	74.879514
4	74.856438
4	88.286055
4	71.410156
4	97.418186
4	76.921291
4	73.814539
4	71.680649
4	91.818672
4	71.575458
4	72.953584
4	70.543577
4	76.274022
4	75.621703
4	96.107081
4	72.872822
4	71.502130
4	90.665111
4	96.999564
4	71.459998
4	72.502482
4	97.169282
4	76.509451
4	74.401279
4	71.555421
4	78.734390
4	93.148620
4	74.872722
4	73.734393
4	74.259148
4	92.152374
4	75.504463
4	92.548535
4	71.104600
4	73.779475
4	80.950044
4	77.146757
4	74.278020
4	101.026399
4	70.816919
4	89.083152
4	72.640544
4	70.703869
4	74.711173
4	77.341963
4	74.255342
4	72.960158
4	73.233480
4	75.517643
4	73.153334
4	78.603267
4	82.645113
4	97.359939
4	91.652329
4	72.877832
4	73.589128
4	75.647880
4	93.431304
4	72.031289
4	92.304594
4	72.081380
4	70.142847
4	73.128927
4	74.907870
4	96.094565
4	73.709347
4	77.390531
4	73.373735
4	73.028105
4	93.903731
4	72.987904
4	76.153802
4	85.015399
4	78.783596
4	73.403790
4	79.362998
4	74.059986
4	78.987605
4	76.188866
4	92.287562
4	77.983971
4	96.260306
4	81.813920
4	94.692993
4	74.671100
4	74.155160
4	76.474387
4	77.772468
4	76.459359
4	92.269528
4	73.293589
4	75.348604
4	71.695677
4	83.453845
4	83.221092
4	80.694179
4	80.611699
4	80.839779
4	85.601022
4	80.134020
4	73.819548
4	80.605087
4	73.054926
4	76.668212
4	74.250333
4	72.523672
4	72.251690
4	70.984380
4	73.799511
4	78.371760
4	71.515348
4	84.899124
4	78.114374
4	72.201599
4	73.298598
4	80.052844
4	95.201499
4	69.527063
4	71.862098
4	86.368182
4	72.457120
4	87.876258
4	88.981066
4	77.207134
4	77.690799
4	80.069675
4	76.749430
4	76.193243
4	75.652672
4	75.768232
4	78.407797
4	93.738675
4	72.508396
4	99.645030
4	75.611504
4	82.038180
4	74.648828
4	79.332729
4	84.150199
4	81.693390
4	114.621771
4	110.712853
4	116.226228
4	112.116967
4	113.422614
4	112.970035
4	114.110393
4	83.003691
4	113.255188
4	115.297210
4	111.017617
4	88.889998
4	110.182001
4	118.144890
4	111.245530
4	110.422227
4	112.499259
4	110.378602
4	109.660471
4	115.890144
4	119.034261
4	113.913200
4	114.712946
4	113.463936
4	122.218348
4	111.957877
4	113.173344
4	115.390708
4	110.009090
4	113.388508
4	109.083828
4	119.476164
4	92.820379
4	93.845066
4	74.720337
4	102.005652
4	72.562328
4	92.974524
4	73.442610
4	85.876875
4	74.464275
4	77.959006
4	74.803604
4	73.181661
4	94.475814
4	71.688743
4	73.967801
4	81.785499
4	84.453410
4	91.558983
4	79.744951
4	89.585756
4	74.753645
4	84.556688
4	76.000222
4	80.980510
4	73.761457
4	90.979070
4	77.071169
4	74.542594
4	77.893608
4	77.334361
4	77.467333
4	75.051730
4	75.693250
4	80.898605
4	81.164897
4	82.431666
4	78.213421
4	76.364960
4	75.820622
4	78.989551
4	102.309578
4	79.841132
4	80.905730
4	76.089499
4	73.769163
4	89.374240
4	74.123832
4	98.551355
4	71.990277
4	84.651291
4	75.183957
4	77.323213
4	94.301989
4	79.622738
4	75.667037
4	77.744776
4	74.200833
4	75.041264
4	72.135226
4	71.173386
4	94.423270
4	75.190635
4	74.614361
4	76.971954
4	76.085205
4	76.468593
4	75.083730
4	72.630264
4	91.489220
4	77.856898
4	79.542601
4	90.695790
4	75.891220
4	92.569670
4	94.786552
4	72.969077
4	76.363088
4	94.759704
4	96.420617
4	89.595904
4	77.726732
4	92.757095
4	94.402929
4	94.886683
4	76.154972
4	84.840727
4	75.738328
4	80.681364
4	90.156491
4	74.537219
4	89.610745
4	72.572029
4	76.050881
4	84.238666
4	73.507124
4	81.847716
4	72.404739
4	73.498197
4	73.957750
4	98.470500
4	71.134977
4	85.797679
4	89.897881
4	82.321629
4	82.199080
4	74.995879
4	74.995969
4	78.512097
4	92.077747
4	76.541860
4	91.482133
4	75.642247
4	74.654578
4	76.021973
4	76.565262
4	95.923524
4	85.296782
4	73.678094
4	79.397640
4	83.691878
4	80.314077
4	80.819939
4	79.797802
4	91.281763
4	73.441604
4	97.909385
4	76.352525
4	87.220257
4	76.112507
4	93.672627
4	73.778736
4	78.570237
4	77.583618
4	77.844226
4	78.683486
4	77.854532
4	76.153941
4	80.063671
4	91.963399
4	77.666311
4	74.185320
4	100.482051
4	70.764831
4	78.572192
4	90.591923
4	76.428534
4	93.933600
4	79.379776
4	92.035486
4	74.935033
4	90.823701
4	73.845122
4	75.006255
4	78.458830
4	82.649169
4	78.433604
4	79.107845
4	93.592298
4	70.197947
4	78.705141
4	76.441781
4	76.758665
4	76.899443
4	80.604015
4	77.210382
4	93.227653
4	75.607946
4	78.347825
4	80.271812
4	73.496945
4	75.568466
4	95.397748
4	73.560298
4	81.392245
4	80.498217
4	96.475349
4	76.781889
4	95.549279
4	74.252837
4	78.122629
4	77.874763
4	78.788818
4	70.736929
4	86.388399
4	92.958246
4	79.310856
4	80.866362
4	76.266397
4	75.546707
4	100.841033
4	72.871328
4	83.154048
4	78.196814
4	86.866324
4	82.330611
4	96.088657
4	92.074408
4	74.785279
4	75.923480
4	73.068233
4	73.135546
4	93.610470
4	77.032682
4	71.359708
4	73.778167
4	71.915111
4	70.883563
4	73.843900
4	102.544843
4	71.455490
4	73.256402
4	106.050669
4	76.571159
4	92.845477
4	73.953404
4	72.899108
4	74.659101
4	96.597773
4	74.419732
4	79.526658
4	75.822442
4	83.895030
4	73.343885
4	80.667625
4	75.086820
4	78.719798
4	86.048531
4	93.899491
4	78.528953
4	97.566686
4	73.462072
4	79.809024
4	73.360183
4	80.360754
4	75.887946
4	71.259840
4	76.980642
4	74.616674
4	77.728003
4	78.608001
4	76.882367
4	85.561991
4	78.646150
4	74.906863
4	90.067478
4	87.370239
4	77.329378
4	83.266123
4	77.950780
4	78.464313
4	75.157402
4	74.526618
4	72.906872
4	74.151791
4	79.834924
4	74.718424
4	71.578057
4	76.506819
4	77.786887
4	77.614178
4	81.208510
4	75.936417
4	74.666773
4	80.670508
4	77.031430
4	78.005924
4	76.009792
4	80.736024
4	75.430943
4	95.683856
4	76.917082
4	79.699905
4	92.896873
4	75.240961
4	89.105343
4	79.233992
4	93.133085
4	91.638119
4	80.249865
4	78.789669
4	74.262648
4	82.236687
4	90.995305
4	74.382395
4	74.234794
4	90.607655
4	72.557083
4	75.589385
4	100.619091
4	74.093104
4	93.065754
4	73.434344
4	84.274963
4	80.387783
4	78.900434
4	93.039122
4	94.780118
4	73.050877
4	81.481622
4	90.630517
4	74.881824
4	77.982374
4	77.940096
4	81.238739
4	74.564008
4	80.702983
4	81.662522
4	91.603533
4	93.114078
4	81.400255
4	75.486952
4	94.905454
4	87.459552
4	90.537896
4	75.020777
4	74.228513
4	79.631123
4	79.198070
4	86.754614
4	88.871345
4	82.928068
4	82.820502
4	92.956996
4	73.393687
4	79.793109
4	83.585240
4	73.652045
4	84.755284
4	94.445817
4	69.361015
4	79.829224
4	79.456134
4	73.616404
4	91.328268
4	73.259938
4	73.290337
4	77.074670
4	72.654196
4	96.225152
4	84.641641
4	71.635235
4	73.666565
4	78.277682
4	73.235928
4	91.547337
4	71.200771
4	79.961304
4	94.295347
4	78.408846
4	78.286230
4	71.100507
4	77.570034
4	86.250116
4	78.156413
4	104.412397
4	78.417667
4	89.726076
4	76.659673
4	77.518949
4	83.883235
4	79.011985
4	97.508843
4	82.326715
4	81.395381
4	75.907492
4	77.954040
4	70.611831
4	88.012734
4	78.392915
4	75.600332
4	84.564548
4	94.084786
4	96.216567
4	78.631971
4	91.733739
4	93.860421
4	86.043793
4	76.113167
4	77.298511
4	78.076858
4	76.842140
4	96.921729
4	73.972217
4	75.547123
4	79.239208
4	72.677587
4	80.589854
4	83.246730
4	77.372283
4	84.926506
4	76.583251
4	79.486331
4	74.675044
4	92.094873
4	86.782830
4	73.733203
4	77.916761
4	74.306381
4	73.493868
4	87.116783
4	98.265055
4	73.372023
4	84.084479
4	90.278608
4	84.975117
4	76.133912
4	98.186493
4	77.911953
4	94.790768
4	116.759086
4	149.312461
4	180.177802
4	104.299386
4	131.218316
4	81.460220
4	91.098577
4	70.562477
4	74.760029
4	99.532054
4	77.274000
4	90.195586
4	71.959662
4	94.012925
4	73.628113
4	75.988984
4	75.400411
4	73.475751
4	72.541479
4	73.490833
4	95.992561
4	71.267166
4	75.918336
4	74.283715
4	72.512062
4	77.759199
4	75.472510
4	78.385400
4	81.619202
4	77.504261
4	80.316998
4	71.738715
4	79.590798
4	78.236038
4	75.208012
4	78.797133
4	77.377042
4	72.485377
4	77.933017
4	75.017574
4	79.861625
4	78.401486
4	71.055475
4	76.973955
4	79.050296
4	76.879009
4	84.590769
4	70.888138
4	74.477308
4	74.955671
4	76.451092
4	71.684847
4	73.739036
4	72.356191
4	82.572517
4	77.565883
4	74.713161
4	82.700382
4	77.824008
4	73.985847
4	74.052045
4	71.364734
4	77.378397
4	80.554240
4	72.118844
4	73.223462
4	76.817578
4	85.551199
4	73.316307
4	73.381817
4	76.597586
4	73.749618
4	70.936833
4	81.028034
4	74.697400
4	77.486602
4	80.484627
4	71.971510
4	73.626841
4	72.211976
4	78.776570
4	72.332256
4	70.641738
4	78.473634
4	75.575826
4	68.479890
4	76.104166
4	82.927178
4	73.239646
4	80.713204
4	71.686799
4	77.308105
4	75.511209
4	77.712504
4	74.810182
4	74.101321
4	75.321190
4	78.409364
4	80.485772
4	75.053384
4	76.653806
4	70.619431
4	79.245535
4	73.178311
4	72.954742
4	74.477588
4	73.611629
4	78.860602
4	76.136932
4	70.623112
4	78.436834
4	69.621094
4	73.999464
4	76.231203
4	75.317574
4	77.273277
4	71.064325
4	72.604728
4	73.961491
4	78.415518
4	74.856463
4	73.226133
4	75.447855
4	72.981109
4	75.185036
4	70.136943
4	72.251128
4	74.333000
4	74.435803
4	75.064602
4	76.845399
4	70.546317
4	71.848227
4	86.681063
4	76.336217
4	71.732740
4	73.659755
4	84.817813
4	75.123643
4	72.204734
4	73.088856
4	74.118261
4	79.540771
4	72.702896
4	72.322994
4	79.548478
4	80.207248
4	73.752963
4	73.350834
4	71.405860
4	72.517799
4	71.418487
4	83.393044
4	82.223530
4	70.813274
4	72.417160
4	73.545034
4	72.572266
4	74.306024
4	77.023999
4	78.008376
4	71.426828
4	78.053602
4	76.002357
4	78.935251
4	73.978665
4	84.981583
4	71.809947
4	85.387414
4	76.613883
4	78.459757
4	74.745401
4	73.280202
4	83.466517
4	78.755505
4	76.696355
4	71.006379
4	83.597228
4	74.928886
4	72.615300
4	72.490459
4	81.997215
4	78.590837
4	73.398803
4	80.945330
4	74.025198
4	84.612362
4	67.736206
4	70.621802
4	70.223629
4	80.404970
4	75.964323
4	76.937951
4	73.340431
4	75.972744
4	72.563939
4	73.212718
4	71.962894
4	80.506241
4	72.097475
4	93.705654
4	74.998984
4	71.770485
4	80.258742
4	73.934725
4	76.557018
4	81.007915
4	75.340084
4	74.686382
4	77.584168
4	72.452243
4	80.802217
4	72.161276
4	78.496208
4	84.940691
4	74.378967
4	89.018608
4	78.391777
4	75.614200
4	79.183431
4	80.152764
4	82.058873
4	77.778562
4	71.053686
4	78.875668
4	80.050599
4	77.914306
4	77.180512
4	75.651218
4	71.829165
4	81.150453
4	76.419306
4	80.819889
4	79.369775
4	75.154571
4	76.715098
4	70.881856
4	78.673866
4	79.337711
4	72.086881
4	71.399885
4	76.194615
4	84.923210
4	73.479748
4	74.291566
4	70.153547
4	82.223367
4	72.108628
4	76.848469
4	80.452651
4	71.804246
4	82.040693
4	73.181940
4	74.552064
4	77.434871
4	79.401042
4	73.162087
4	76.601018
4	75.731905
4	78.163886
4	79.784577
4	80.548603
4	79.163647
4	69.885189
4	78.652702
4	72.624169
4	80.912042
4	76.716904
4	74.795837
4	72.283664
4	78.703732
4	75.339463
4	74.054584
4	78.810972
4	79.259311
4	71.424181
4	82.024419
4	72.910179
4	72.535277
4	76.792401
4	104.085277
4	85.429165
4	69.322232
4	76.678376
4	74.176421
4	82.389199
4	76.140254
4	73.828515
4	76.766543
4	81.733358
4	77.643588
4	71.419631
4	76.100716
4	77.245529
4	78.685696
4	80.516613
4	79.677804
4	78.979243
4	79.968780
4	78.148017
4	77.469475
4	75.474084
4	84.337362
4	75.809272
4	74.028434
4	77.101722
4	73.607778
4	87.355599
4	77.956156
4	83.093192
4	74.860657
4	77.067212
4	72.761767
4	81.345207
4	71.255181
4	84.345914
4	71.033989
4	76.511670
4	75.061684
4	75.815705
4	72.597409
4	78.385657
4	78.007543
4	76.978235
4	80.812793
4	70.030500
4	77.340140
4	101.613886
4	73.850866
4	78.356821
4	73.560953
4	72.093612
4	79.336274
4	76.158047
4	79.892582
4	78.753004
4	78.189664
4	77.330761
4	76.301419
4	76.874950
4	77.283203
4	113.677874
4	82.068126
4	80.678169
4	79.263126
4	117.511216
4	89.813762
4	80.429248
4	88.231211
4	97.171114
4	79.058449
4	79.373237
4	77.301970
4	79.924342
4	80.052150
4	74.218919
4	79.581288
4	75.699142
4	75.945562
4	77.620244
4	73.495137
4	73.497121
4	83.433379
4	79.794306
4	78.614686
4	82.148744
4	85.161911
4	72.501202
4	80.112820
4	79.824866
4	79.161174
4	75.381956
4	76.676840
4	70.873626
4	74.918639
4	79.334270
4	73.506040
4	72.832309
4	73.407945
4	78.502833
4	82.142211
4	77.255827
4	77.168344
4	71.550512
4	78.886563
8	69.992363
8	67.744850
8	69.206873
8	66.869117
8	67.946540
8	71.001966
8	67.797177
8	71.854214
8	64.867291
8	68.104363
8	70.664164
8	65.510192
8	67.900029
8	71.951506
8	69.133943
8	72.701575
8	70.970928
8	64.355749
8	69.673479
8	66.712418
8	81.551458
8	65.746881
8	73.823080
8	69.461079
8	68.904919
8	76.569854
8	71.668113
8	85.754268
8	69.992907
8	67.347960
8	66.804693
8	71.979301
8	73.273538
8	66.533671
8	73.657039
8	69.730764
8	69.809172
8	69.720987
8	72.154425
8	71.450664
8	76.404627
8	70.437540
8	70.723497
8	72.892849
8	66.872612
8	79.420000
8	75.860313
8	76.255107
8	72.836907
8	85.778394
8	72.200990
8	68.651498
8	80.722134
8	92.171246
8	73.033761
8	77.108918
8	75.433660
8	75.807339
8	71.596684
8	72.055085
8	72.105797
8	75.166138
8	68.849383
8	72.742894
8	74.169980
8	69.560479
8	71.077924
8	72.151242
8	65.674905
8	70.483685
8	69.533634
8	70.503666
8	75.886273
8	75.455110
8	72.512446
8	72.635362
8	68.249681
8	66.416774
8	70.500989
8	71.578970
8	74.557538
8	70.491085
8	70.113008
8	75.519491
8	67.712330
8	69.787328
8	69.974231
8	75.795608
8	72.265210
8	69.928856
8	71.108528
8	80.308311
8	69.793321
8	73.226975
8	77.979075
8	76.457493
8	73.255083
8	75.316555
8	74.812452
8	72.170969
8	73.120049
8	77.644514
8	70.636120
8	69.559548
8	78.565143
8	68.313197
8	75.876503
8	73.650296
8	75.817038
8	69.147466
8	74.334784
8	70.258808
8	77.304808
8	67.321801
8	69.901495
8	72.029508
8	71.981744
8	72.841472
8	69.352411
8	68.695258
8	71.015725
8	81.707231
8	68.450164
8	72.148489
8	69.722915
8	71.004824
8	71.601626
8	71.239788
8	73.913469
8	75.043307
8	72.468816
8	66.158163
8	67.701796
8	80.774994
8	66.534139
8	75.575824
8	70.150809
8	70.356570
8	77.585288
8	73.077136
8	68.935415
8	72.473502
8	73.040095
8	74.516796
8	66.486128
8	71.626686
8	73.782988
8	67.445882
8	75.811613
8	67.474238
8	75.361897
8	75.494273
8	67.563090
8	73.028368
8	71.223548
8	81.130564
8	65.726886
8	69.784906
8	68.062058
8	72.024752
8	69.154614
8	66.445454
8	78.855267
8	71.524515
8	73.620325
8	70.374451
8	67.103914
8	70.683783
8	69.167518
8	73.384227
8	73.168315
8	71.100362
8	75.121465
8	68.780178
8	71.253778
8	69.828982
8	70.224183
8	69.842242
8	74.814341
8	68.051614
8	74.824798
8	72.309137
8	72.228910
8	67.277036
8	73.109684
8	72.620080
8	68.388498
8	72.217845
8	71.852628
8	73.345796
8	73.243002
8	78.448473
8	66.329381
8	87.143763
8	69.967656
8	73.777226
8	70.272125
8	74.508845
8	67.724681
8	68.084039
8	72.937824
8	77.033010
8	76.154178
8	68.793910
8	65.244685
8	67.657730
8	72.283218
8	70.898392
8	74.993647
8	73.737879
8	73.481315
8	69.503887
8	69.028396
8	72.485237
8	71.448360
8	71.013440
8	72.772091
8	70.063918
8	76.157788
8	72.708355
8	69.690922
8	76.105749
8	72.795432
8	81.751664
8	72.036576
8	71.593399
8	68.984732
8	71.434145
8	70.722933
8	74.808156
8	71.656424
8	70.635010
8	72.764454
8	67.317243
8	68.204590
8	71.277393
8	67.728433
8	73.794916
8	74.493897
8	70.593573
8	70.483899
8	71.904147
8	76.167007
8	68.723790
8	76.621002
8	71.487679
8	87.495070
8	73.462108
8	72.300901
8	71.844496
8	67.931032
8	73.587975
8	71.852475
8	67.614595
8	88.739162
8	73.616527
8	69.584583
8	81.899947
8	72.485458
8	70.054057
8	68.714896
8	69.817229
8	72.537091
8	75.219279
8	74.977904
8	71.266867
8	67.317955
8	68.878400
8	69.742763
8	75.129601
8	70.207195
8	71.846867
8	72.076486
8	67.185362
8	65.750835
8	69.853744
8	71.016318
8	68.268791
8	70.133632
8	75.885222
8	68.131122
8	69.013886
8	72.275075
8	67.773613
8	70.342107
8	75.820003
8	70.928681
8	70.851319
8	67.901280
8	70.696184
8	73.411516
8	79.286643
8	75.107856
8	71.674222
8	74.211550
8	74.384522
8	73.685919
8	79.442932
8	76.992558
8	76.023541
8	69.875232
8	67.521367
8	68.027758
8	77.346803
8	70.624617
8	78.604741
8	68.966357
8	73.805126
8	79.028729
8	70.320198
8	72.647353
8	79.377482
8	77.087902
8	70.822351
8	70.634826
8	75.071619
8	71.405089
8	67.491827
8	74.011864
8	79.665020
8	75.878239
8	92.208774
8	71.668903
8	73.915670
8	69.459565
8	90.657012
8	69.730870
8	75.985560
8	74.526650
8	75.719282
8	71.866113
8	68.141879
8	71.059813
8	89.010585
8	74.669631
8	76.833777
8	68.038436
8	68.620015
8	91.268569
8	77.471141
8	78.741241
8	79.481672
8	70.323607
8	80.805479
8	69.805731
8	74.557063
8	92.457779
8	74.848321
8	73.172932
8	67.301384
8	82.545398
8	74.109149
8	74.926887
8	70.127762
8	85.656052
8	77.289533
8	77.537658
8	79.108293
8	87.797087
8	133.863308
8	76.478193
8	76.910562
8	90.955379
8	71.009610
8	84.859748
8	73.111038
8	80.978095
8	70.984180
8	78.824594
8	69.290909
8	72.266240
8	81.978812
8	75.308975
8	67.253553
8	75.935283
8	76.470264
8	64.762005
8	74.676059
8	69.792151
8	69.551713
8	75.380292
8	80.915970
8	94.255682
8	66.890210
8	72.025626
8	73.113201
8	93.705794
8	68.337224
8	84.885296
8	69.272106
8	75.440978
8	67.491257
8	73.700228
8	66.501991
8	65.920990
8	68.079920
8	68.741434
8	63.114986
8	66.033289
8	66.404388
8	72.224865
8	77.001274
8	64.955057
8	87.348846
8	66.880386
8	88.972251
8	77.480205
8	89.263407
8	64.302149
8	64.315117
8	88.807777
8	81.671415
8	68.814801
8	88.511123
8	88.110940
8	60.431185
8	67.383004
8	69.259096
8	72.808205
8	71.177439
8	61.411762
8	73.617350
8	72.951750
8	67.516703
8	68.536081
8	70.928640
8	71.136197
8	70.962719
8	61.497799
8	67.867958
8	118.724321
8	75.044700
8	65.461271
8	88.502567
8	63.178886
8	66.462586
8	70.136986
8	65.879956
8	61.868795
8	71.727598
8	64.226548
8	67.811448
8	72.988066
8	66.939673
8	72.647633
8	63.322902
8	68.389827
8	62.498864
8	67.824024
8	70.060125
8	64.575362
8	64.891305
8	66.149350
8	79.508617
8	66.528341
8	66.728198
8	68.120458
8	63.629771
8	66.592894
8	63.846318
8	72.668820
8	70.052126
8	73.008010
8	62.954314
8	67.620361
8	64.891106
8	67.361694
8	72.126438
8	67.370304
8	62.624723
8	67.643279
8	73.699955
8	64.543503
8	66.541636
8	68.292430
8	69.844306
8	66.689160
8	66.316692
8	66.093948
8	69.903471
8	69.234207
8	65.058378
8	64.476648
8	66.090863
8	76.612726
8	68.281004
8	68.228575
8	71.170255
8	63.985864
8	68.347862
8	65.125241
8	63.796574
8	61.259893
8	67.442871
8	69.987257
8	86.347382
8	64.415266
8	73.816336
8	69.108195
8	65.692389
8	68.578076
8	67.258562
8	69.505627
8	69.110343
8	65.319831
