#size	rtt
1	56.693828
1	51.654599
1	51.248856
1	49.726067
1	47.882691
1	46.174563
1	44.396307
1	44.822086
1	48.964673
1	44.406325
1	45.132655
1	44.746949
1	46.875847
1	46.099426
1	48.218306
1	45.057517
1	62.594635
1	49.290269
1	65.870634
1	44.586655
1	48.363572
1	44.075719
1	43.474619
1	54.259370
1	42.412674
1	42.542912
1	43.564784
1	43.685004
1	43.885371
1	43.965518
1	47.201444
1	43.424527
1	44.296123
1	52.576287
1	45.528380
1	44.416343
1	45.152692
1	48.313480
1	61.547717
1	59.088213
1	46.284765
1	43.344380
1	45.733756
1	43.419518
1	44.636747
1	47.066196
1	46.971022
1	43.619885
1	43.885371
1	43.955499
1	43.444564
1	43.304307
1	47.001077
1	43.730086
1	43.569793
1	42.893554
1	48.233334
1	43.910417
1	46.600343
1	44.125811
1	46.855811
1	51.494306
1	46.435040
1	45.122637
1	45.167719
1	44.907242
1	46.399976
1	42.933628
1	44.917261
1	43.649940
1	50.838104
1	45.838949
1	44.371261
1	43.289279
1	42.477793
1	43.594839
1	43.985554
1	43.579811
1	44.666802
1	43.499664
1	44.035646
1	43.334362
1	42.733261
1	47.061187
1	45.047499
1	44.241022
1	43.234178
1	43.710050
1	79.695954
1	53.963828
1	48.799370
1	47.962838
1	48.819407
1	46.179572
1	44.531554
1	43.860325
1	45.944141
1	43.634912
1	42.808398
1	48.063022
1	44.907242
1	43.103940
1	112.791564
1	49.089902
1	47.827590
1	48.158196
1	47.156361
1	51.529370
1	46.379939
1	45.463261
1	45.513352
1	44.596673
1	44.271077
1	59.624195
1	45.453242
1	44.331187
1	45.443224
1	43.539738
1	44.972361
1	46.389958
1	47.762471
1	45.583481
1	49.856306
1	46.966013
1	45.683664
1	43.990563
1	48.368581
1	45.418178
1	45.493316
1	45.202783
1	44.907242
1	44.867169
1	53.442874
1	95.935695
1	48.218306
1	47.777499
1	48.463756
1	51.063517
1	47.346710
1	43.429536
1	45.593499
1	44.276086
1	43.760141
1	43.234178
1	44.807059
1	44.316160
1	43.930453
1	42.547921
1	43.915426
1	43.023793
1	43.770160
1	43.679995
1	43.018784
1	43.324343
1	44.731921
1	47.141334
1	52.260709
1	46.244692
1	43.159041
1	43.289279
1	44.351224
1	43.624894
1	42.938637
1	47.507003
1	47.436875
1	45.969187
1	43.519701
1	44.015609
1	44.236013
1	42.367591
1	44.090747
1	43.499664
1	46.890875
1	44.215976
1	43.504674
1	44.035646
1	44.070710
1	43.389463
1	44.150857
1	43.184086
1	45.588490
1	42.608031
1	48.098086
1	44.261059
1	42.863499
1	44.100765
1	43.364417
1	42.788362
1	55.812213
1	46.374930
1	43.634912
1	43.319334
1	42.863499
1	43.669976
1	44.296123
1	43.690013
1	52.005241
1	50.242012
1	43.579811
1	43.604857
1	42.447738
1	43.820252
1	43.379444
1	49.039811
1	46.104435
1	44.185921
1	42.833444
1	47.391792
1	44.897224
1	43.880362
1	44.817077
1	44.135829
1	45.242857
1	43.484637
1	46.470104
1	45.984215
1	43.574802
1	44.987389
1	43.048839
1	44.927279
1	44.291114
1	49.340361
1	43.369426
1	43.985554
1	43.053848
1	43.053848
1	44.020618
1	44.912251
1	45.483297
1	44.461426
1	46.900893
1	43.589830
1	43.664967
1	45.583481
1	42.643096
1	45.503334
1	45.107609
1	44.726912
1	43.344380
1	46.770655
1	44.666802
1	43.579811
1	43.174068
1	43.259224
1	44.616710
1	45.072545
1	44.165885
1	43.379444
1	43.144013
1	43.805224
1	43.053848
1	44.331187
1	44.381279
1	48.032967
1	47.496985
1	44.421352
1	43.209132
1	43.649940
1	48.689168
1	44.231004
1	44.872178
1	43.735096
1	43.880362
1	47.046159
1	46.349884
1	44.010600
1	44.797040
1	44.256050
1	43.139004
1	43.815242
1	43.294288
1	45.297958
1	43.725077
1	43.304307
1	44.561609
1	43.659958
1	45.167719
1	43.394472
1	44.967352
1	43.139004
1	42.948655
1	43.970527
1	43.239187
1	45.683664
1	45.693682
1	45.538398
1	43.139004
1	46.500159
1	43.174068
1	43.259224
1	43.785187
1	43.925444
1	44.421352
1	44.291114
1	44.476453
1	44.256050
1	47.987884
1	43.765151
1	43.294288
1	44.461426
1	43.284270
1	44.481462
1	43.619885
1	44.281096
1	43.690013
1	43.279261
1	44.195940
1	43.690013
1	44.546582
1	46.224655
1	43.845297
1	44.306141
1	45.192765
1	45.853976
1	43.409499
1	46.440049
1	44.090747
1	44.586655
1	47.076214
1	44.591664
1	45.979205
1	43.524710
1	44.316160
1	45.017444
1	44.521536
1	43.429536
1	43.745114
1	43.083903
1	43.474619
