# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: node02.experiences-wit.src.surf-hosted.nl
# Release : 5.15.0-112-generic
# Version : #122-Ubuntu SMP Thu May 23 07:48:21 UTC 2024
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 10.018490 
# Number of iterations (recorded+unrecorded): 3461098612 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	6461.93
999925.44	2384.40
1999840.87	2484.59
2999726.23	3476.42
3192692.37	2815.20
3378264.86	9978.42
3999741.84	2855.27
4999657.27	2153.98
5999662.86	2654.90
6999558.24	2935.42
7378247.15	9206.99
7999643.98	2715.01
8999409.13	2384.40
9999324.55	2704.99
10999260.01	2755.08
11378109.21	8816.27
11999375.81	2554.71
12999150.97	2554.71
13999106.47	2344.33
14998991.84	2584.77
15377981.29	7644.11
15999037.50	2624.84
16998892.82	2254.16
17998848.31	2324.29
18998893.98	2384.40
19377993.64	7804.40
19998739.27	2544.70
20998674.73	2715.01
21998630.23	2404.44
22998595.75	2534.68
23377865.72	6592.17
23998651.43	4458.23
24998406.56	2444.51
25998412.15	1833.38
26998267.46	2444.51
27377597.55	5971.02
27998263.03	2153.98
28320798.30	63978.08
28998268.62	2574.75
29998234.14	2514.64
30998129.53	1993.68
31377499.69	10529.43
31998135.12	2775.12
32997980.41	2444.51
33997986.00	2454.53
34997831.30	1983.66
35377331.70	6662.30
35997786.80	2254.16
36997752.31	2384.40
37997687.77	3095.71
38997523.05	2163.99
39377073.54	5810.72
39997528.64	2284.22
40997494.16	2414.46
41997459.67	2494.60
42997355.06	2464.55
43376855.46	5760.63
43997360.65	2284.22
44997195.92	2554.71
45997121.37	2334.31
46997177.05	2384.40
47376757.60	5610.35
47997092.47	2254.16
48997057.99	2344.33
49996943.36	2294.23
50996798.67	2414.46
51376579.59	5580.30
51996924.48	2354.35
52996809.85	2464.55
53996645.13	2364.36
54996570.57	2374.38
55376311.41	5590.32
55996656.31	2234.12
56996421.46	2554.71
57996356.92	2374.38
58114805.52	1923.55
58996322.43	2344.33
59376183.50	5490.13
59996368.10	2975.49
60996253.47	2133.94
61996259.06	2414.46
62996054.26	1993.68
63375885.27	5530.21
63996150.01	5159.52
64996025.36	2163.99
65995910.73	2324.29
66995956.40	2334.31
67375827.48	8084.92
67995961.99	2474.57
68995807.28	2434.49
69995612.50	2294.23
70995628.11	2344.33
71375489.18	6191.43
71995593.63	2214.09
72995519.07	2414.46
73995484.59	2534.68
74995410.03	2514.64
75375261.07	5239.67
75995335.47	2424.47
76995290.97	2574.75
77995266.50	2614.83
78995101.78	2033.75
79374972.86	5620.37
79995107.37	2194.05
80995002.76	2163.99
81995048.42	2334.31
82994923.77	2204.07
83374824.91	5199.60
83994859.23	2053.79
84994774.66	2444.51
85994790.27	2454.53
86994625.54	2214.09
87374536.70	5249.69
87994711.28	2294.23
88994556.57	2384.40
89994492.03	2434.49
90994497.62	2264.18
91374428.82	4818.89
91994463.14	2153.98
92994308.44	2244.14
93994273.95	2524.66
94994199.39	2394.42
95374130.59	5359.89
95994164.91	2013.72
96994050.28	2294.23
97994045.85	2284.22
98993901.16	2484.59
99373912.51	5159.52
99430767.44	61673.82
99993976.88	2574.75
100993782.10	2554.71
101993707.55	2103.88
102993673.06	2434.49
103373624.29	5740.59
103993718.73	2464.55
104993564.02	3746.92
105993579.63	2354.35
106993495.05	5249.69
107373366.14	4939.12
107993390.44	5129.47
108993315.88	3586.62
109993241.33	4648.58
110993196.82	3095.71
111373178.11	4879.00
111993292.58	3486.43
112993137.88	2163.99
113037008.84	1993.68
113992983.17	3376.23
114992948.69	2294.23
115372929.97	5189.58
115992944.26	2103.88
116992909.77	2394.42
117992674.92	3847.10
118992650.46	3376.23
119372792.04	4828.91
119992726.18	2474.57
120992651.62	2765.10
121820459.40	55562.55
121992456.84	2394.42
122047839.05	10749.84
122992392.30	2704.99
123372453.73	14476.72
123992387.87	2875.31
124992313.31	2404.44
125992288.85	2153.98
126992164.20	2654.90
127372275.72	10098.64
127992139.73	2354.35
128992025.10	2494.60
129992060.75	2644.88
130991946.12	2965.47
131372017.57	5790.69
131992001.80	2414.46
132991837.07	2504.62
133991732.46	3396.27
134991728.03	2825.21
135371759.41	5149.50
135991653.48	2133.94
136991669.08	2194.05
137991594.53	3676.79
138991560.04	3145.81
139371531.31	5129.47
139991555.62	2354.35
140991410.93	3115.75
141991296.30	3686.80
142991261.81	3215.94
143371283.17	5119.45
143991257.38	2163.99
144991102.68	3366.21
145991068.20	2123.92
146991083.80	2274.20
147371065.09	4868.99
147991039.30	2624.84
148990884.60	2664.92
149990769.97	2204.07
150990865.72	4017.41
151370796.92	5119.45
151990791.16	2935.42
152990636.46	2053.79
153990561.90	2163.99
154990607.57	2224.10
155370508.70	4868.99
155990492.93	2644.88
156990378.30	2845.25
157990303.74	2444.51
158990309.34	2394.42
159370400.82	5009.24
159990264.83	2244.14
160990230.35	1823.37
161990075.64	3967.32
162990001.09	2775.12
163370142.67	4889.02
163989976.62	2113.90
164989972.19	2304.25
165989817.49	2194.05
166989702.86	2133.94
167369854.46	4858.97
167958891.57	1833.38
167989908.82	1973.64
168989593.81	2224.10
169989519.26	2214.09
170989605.00	2244.14
171369556.23	5139.49
171989540.46	2224.10
172989455.88	2184.03
173989351.27	2284.22
174989356.86	2684.96
175369418.29	5069.36
175989232.21	2043.77
176989167.67	2174.01
177989043.02	1793.31
178989018.55	4358.04
179369110.04	5109.43
179989094.27	2294.23
180988949.59	2234.12
181988915.10	2143.96
182988750.38	2394.42
183368811.81	4858.97
183988806.06	2404.44
184988771.58	2765.10
185988606.85	4668.62
186988582.39	3306.10
187368643.82	11340.93
187988618.03	3576.60
188988423.25	3386.25
189988398.79	4037.45
190988314.21	2194.05
191368465.81	4838.93
191988329.82	5169.54
192988255.26	2324.29
193988140.63	2775.12
194988015.98	2534.68
195368247.73	4999.23
195988141.79	2204.07
196987916.96	2574.75
196990501.73	2464.55
197987952.61	2614.83
198987888.07	2314.27
199367899.41	4929.10
199987893.66	2755.08
200987738.95	2594.79
201987744.54	2284.22
202987589.84	2274.20
203367721.40	4788.84
203987585.41	2374.38
204987510.85	2554.71
205987476.37	2284.22
206987321.66	2314.27
207367473.26	5470.10
207987327.25	2865.29
208987212.62	2865.29
209987148.08	2304.25
210987193.75	2234.12
211367134.96	5199.60
211987119.19	2775.12
