#size	rtt
2	4.220297
2	3.628446
2	8.484968
2	4.174758
2	9.362667
2	3.620817
2	10.559576
2	15.726854
2	2.930049
2	3.198232
2	2.856416
2	22.830234
2	3.197739
2	2.595355
2	2.923564
2	3.091736
2	2.719952
2	3.288081
2	2.606250
2	3.629429
2	3.022636
2	3.025843
2	2.749056
2	3.397247
2	3.400433
2	3.363628
2	3.816792
2	2.679973
2	2.773152
2	2.856358
2	3.154548
2	3.532737
2	2.275949
2	3.219150
2	3.122342
2	3.425525
2	23.955321
2	14.282232
2	2.420433
2	2.418634
2	3.311828
2	3.465020
2	2.933210
2	2.766380
2	2.944561
2	3.242734
2	13.048582
2	3.549462
2	2.612600
2	3.405784
2	3.153968
2	3.627140
2	2.750335
2	3.338529
2	2.566724
2	3.074916
2	3.093080
2	2.061287
2	1.839993
2	2.697661
2	2.920850
2	2.329053
2	3.247225
2	3.440412
2	4.953531
2	3.646293
2	9.290064
2	5.367939
2	2.786062
2	2.814245
2	3.577397
2	2.895620
2	3.238793
2	3.087002
2	3.360177
2	3.213370
2	2.088308
2	4.534736
2	4.257850
2	2.971051
2	2.579259
2	3.297457
2	3.080643
2	2.913855
2	2.727052
2	3.865238
2	4.008397
2	2.561589
2	3.119730
2	2.927947
2	3.001158
2	3.789332
2	3.722513
2	2.910732
2	3.388937
2	2.857150
2	2.815350
2	3.568458
2	2.426636
2	3.389831
2	2.808031
2	2.696240
2	2.924443
2	2.957659
2	3.260852
2	2.834064
2	3.067268
2	3.030475
2	2.403641
2	3.586737
2	3.254921
2	3.038124
2	3.061290
2	3.279486
2	2.737710
2	3.640884
2	2.724089
2	3.292284
2	3.000439
2	3.168628
2	3.086826
2	3.165015
2	2.668215
2	2.921406
2	3.339598
2	2.727814
2	2.801039
2	2.984235
2	3.077326
2	3.270371
2	2.733575
2	2.776791
2	2.864989
2	2.533186
2	2.661363
2	2.814554
2	2.752761
2	2.575967
2	3.154113
2	2.987299
2	2.700504
2	2.583698
2	2.531916
2	2.745116
2	2.768306
2	2.731506
2	2.874719
2	4.832860
2	2.925994
2	2.744184
2	2.832401
2	2.835605
2	2.608805
2	2.857001
2	2.705216
2	3.108416
2	2.841613
2	2.554823
2	2.188031
2	2.296230
2	2.369421
2	2.787628
2	2.425846
2	2.744033
2	2.552237
2	2.905425
2	2.513629
2	20.482350
2	13.980349
2	2.408570
2	2.596767
2	2.339969
2	2.543171
2	2.591374
2	2.839581
2	2.397799
2	2.610988
2	6.300502
2	2.352551
2	2.385708
2	2.588913
2	2.612111
2	2.535323
2	3.028515
2	2.521721
2	2.949926
2	2.813112
2	2.566329
2	3.369456
2	2.067626
2	2.640831
2	2.779011
2	2.432200
2	2.520402
2	2.943588
2	3.106772
2	3.314930
2	2.898126
2	3.271253
2	2.609436
2	2.487626
2	2.515843
2	3.034037
2	2.917254
2	2.690458
2	3.003666
2	2.566873
2	3.170083
2	3.068265
2	2.406465
2	2.874662
2	2.627881
2	2.706098
2	3.019273
2	2.492489
2	3.310664
2	2.898865
2	2.562085
2	3.785240
2	2.068390
2	3.261534
2	3.064709
2	2.972914
2	2.901112
2	2.789311
2	2.387492
2	2.920639
2	2.838835
2	3.537011
2	3.395089
2	2.533206
2	1.751404
2	3.680336
2	2.982687
2	2.605885
2	2.554051
2	2.732218
2	2.660385
2	3.098543
2	3.051661
2	2.529862
2	2.763080
2	3.391274
2	2.664425
2	3.092485
2	2.620562
2	1.916163
2	4.786855
2	4.199984
2	2.633214
2	2.706385
2	2.799565
2	2.722768
2	3.690949
2	2.584171
2	2.832360
2	2.690558
2	4.358620
2	2.156801
2	2.150017
2	2.668206
2	3.156384
2	2.439599
2	2.527806
2	2.516001
2	2.509213
2	2.587427
2	2.670623
2	2.713828
2	2.571952
2	2.460159
2	2.308372
2	2.996535
2	3.119720
2	2.832900
2	2.761112
2	2.379310
2	2.282529
2	3.410702
2	2.268889
2	2.762070
2	2.375282
2	3.123460
2	2.391667
2	2.919849
2	2.668045
2	2.661257
2	2.059469
2	2.862652
2	2.945753
2	2.363938
2	2.787133
2	2.490333
2	2.413540
2	2.276750
2	2.674957
2	2.288175
2	2.636392
2	4.519514
2	2.372657
2	2.160841
2	3.694000
2	2.397202
2	2.715400
2	2.143611
2	2.691797
2	2.844992
2	2.618188
2	4.681292
2	2.864398
2	2.297598
2	2.415792
2	1.949006
2	2.962186
2	2.725370
2	2.368565
2	2.231767
2	2.644965
2	4.953074
2	1.996236
2	2.149392
2	2.617592
2	2.830780
2	2.588985
2	3.387163
2	2.290382
2	2.303607
2	3.231786
2	6.079841
2	3.732908
2	2.231127
2	2.294345
2	3.182511
2	2.675728
2	2.673920
2	2.242142
2	2.350361
2	2.563572
2	2.256800
2	2.280003
2	2.008196
2	2.376402
2	2.784584
2	2.387806
2	2.231003
2	2.274212
2	2.512391
2	2.970564
2	25.425244
2	14.982264
2	2.260483
2	2.618685
2	3.006861
2	2.630054
2	2.658254
2	2.551466
2	2.709657
2	2.142875
2	8.843525
2	2.079538
2	2.092731
2	3.270911
2	2.579116
2	2.302326
2	2.570529
2	2.573732
2	2.511941
2	2.005153
2	3.958302
2	4.979981
2	2.814581
2	2.212791
2	2.770971
2	2.704176
2	2.197399
