#size	rtt
1	19.919390
1	17.514463
1	18.204442
1	17.319469
1	17.009479
1	16.879483
1	16.754487
1	16.929481
1	17.524463
1	16.259502
1	17.434466
1	16.894482
1	17.479464
1	17.864453
1	17.389467
1	17.079477
1	16.404497
1	16.414497
1	17.079477
1	17.649459
1	17.129475
1	16.949481
1	18.589430
1	17.809454
1	16.659490
1	16.889483
1	16.794485
1	17.199473
1	24.944236
1	18.164443
1	17.249471
1	16.374498
1	20.719365
1	17.914451
1	16.634490
1	16.484495
1	18.099445
1	16.384498
1	16.519494
1	16.374498
1	16.584492
1	17.554462
1	16.039509
1	17.719457
1	16.314500
1	16.589492
1	16.819485
1	17.014479
1	16.584492
1	16.769486
1	17.224472
1	16.629490
1	16.424497
1	20.864361
1	17.064477
1	16.814485
1	17.449465
1	17.099476
1	17.084477
1	17.234472
1	17.039478
1	16.889483
1	16.714488
1	16.894482
1	18.434435
1	16.414497
1	16.984480
1	17.394467
1	16.649490
1	16.814485
1	16.314500
1	16.809485
1	16.499494
1	16.604491
1	20.139383
1	17.729457
1	16.729487
1	16.274501
1	16.494495
1	17.089476
1	16.514494
1	16.549493
1	16.584492
1	17.664459
1	16.999479
1	17.214473
1	17.009479
1	16.569492
1	16.944481
1	16.724488
1	17.254471
1	16.959480
1	16.889483
1	16.504494
1	16.934481
1	19.014417
1	17.404467
1	17.469465
1	16.494495
1	16.299501
1	18.854422
1	16.984480
1	16.954481
1	17.324469
1	16.734487
1	17.144475
1	17.789455
1	16.864483
1	17.524463
1	16.789486
1	16.824484
1	17.419466
1	16.404497
1	17.024478
1	16.964480
1	16.794485
1	19.459404
1	17.274471
1	16.704488
1	17.294470
1	17.449465
1	17.174474
1	16.569492
1	19.044416
1	16.979480
1	17.839453
1	20.189381
1	16.894482
1	17.649459
1	16.904482
1	16.979480
1	17.134475
1	19.139414
1	20.619368
1	16.749487
1	17.614460
1	17.459465
1	17.734457
1	16.419497
1	17.094476
1	16.479495
1	17.279471
1	16.959480
1	17.024478
1	17.754456
1	16.674489
1	16.259502
1	17.509464
1	16.989479
1	17.194473
1	16.354499
1	16.554493
1	17.199473
1	18.499433
1	16.899482
1	17.074477
1	16.924481
1	19.819393
1	17.634460
1	16.419497
1	17.199473
1	16.729487
1	16.369498
1	16.499494
1	17.199473
1	16.884483
1	16.929481
1	17.304470
1	17.579461
1	17.044478
1	16.939481
1	16.524494
1	15.859514
1	16.939481
1	16.639490
1	16.529494
1	17.064477
1	16.889483
1	19.204412
1	17.934450
1	17.634460
1	16.844484
1	17.169474
1	16.804485
1	16.819485
1	17.379467
1	18.024448
1	18.619430
1	19.959388
1	20.489372
1	17.554462
1	17.124475
1	17.919451
1	18.019448
1	16.799485
1	17.724457
1	17.384467
1	17.854453
1	20.639368
1	23.819270
1	17.904451
1	16.994479
1	16.534493
1	16.644490
1	17.164474
1	18.659428
1	17.234472
1	16.359499
1	22.324316
1	18.059447
1	17.679458
1	17.664459
1	16.724488
1	16.849484
1	17.049478
1	16.889483
1	16.339499
1	17.609460
1	18.664428
1	19.374406
1	17.679458
1	17.224472
1	16.874483
1	17.154474
1	16.284501
1	16.339499
1	16.504494
1	16.894482
1	16.759486
1	18.659428
1	16.959480
1	16.849484
1	17.094476
1	17.119475
1	17.644459
1	17.114476
1	17.004479
1	17.079477
1	16.814485
1	19.669397
1	17.584461
1	17.304470
1	17.269471
1	17.044478
1	17.319469
1	16.739487
1	17.479464
1	17.234472
1	16.954481
1	17.104476
1	20.064385
1	18.394436
1	17.789455
1	17.614460
1	17.259471
1	16.204503
1	17.289470
1	16.479495
1	16.374498
1	17.194473
1	20.454373
1	17.649459
1	16.569492
1	17.119475
1	17.269471
1	16.934481
1	17.984449
1	17.114476
1	17.144475
1	16.324500
1	18.904421
1	18.279440
1	16.594492
1	17.344469
1	16.679489
1	16.319500
1	16.434496
1	17.214473
1	16.854484
1	17.234472
1	16.184504
1	18.284440
1	17.249471
1	17.169474
1	17.789455
1	16.974480
1	16.864483
1	16.744487
1	16.574492
1	16.534493
1	16.619491
1	18.429435
1	18.319439
1	16.584492
1	16.519494
1	17.374468
1	16.219503
1	16.439496
1	16.884483
1	17.399467
1	17.159474
1	16.624491
1	18.019448
1	17.089476
1	17.134475
1	16.889483
1	16.359499
1	16.709488
1	16.684489
1	16.509494
1	16.349499
1	17.144475
1	18.864422
1	17.304470
1	16.949481
1	16.894482
1	17.744456
1	16.704488
1	16.764486
1	16.199504
1	16.944481
1	17.144475
1	16.514494
1	17.334469
1	16.684489
1	17.284470
1	17.179474
1	16.634490
1	16.559493
1	16.859483
1	16.704488
1	16.674489
1	17.084477
1	16.904482
1	18.379437
1	16.634490
1	16.184504
1	16.704488
1	16.319500
1	16.309500
1	16.504494
1	16.929481
1	16.799485
1	16.449496
1	17.744456
1	17.029478
1	17.269471
1	22.849300
1	16.784486
1	17.259471
1	16.169505
1	16.419497
1	16.519494
1	16.674489
1	20.499372
1	17.874452
1	16.889483
1	16.969480
1	16.729487
1	16.234503
1	16.264502
1	16.699488
1	16.699488
1	16.754487
1	18.634429
1	17.384467
1	17.024478
1	16.479495
1	16.999479
1	16.599491
1	16.699488
1	16.629490
1	16.854484
1	16.274501
1	16.889483
1	18.554431
1	17.169474
1	17.264471
1	17.429466
1	16.204503
1	16.599491
1	16.519494
1	17.329469
1	15.999510
1	16.914482
1	18.489433
1	17.604461
1	16.449496
1	16.549493
1	16.739487
1	16.659490
1	17.074477
1	16.294501
1	16.529494
1	16.949481
1	16.249502
1	21.399344
1	16.659490
1	16.754487
1	16.394498
1	16.584492
1	16.874483
1	16.089507
1	16.779486
1	16.719488
1	16.479495
1	18.539432
1	17.674458
1	16.424497
1	16.874483
1	17.244472
1	16.549493
1	16.829484
1	16.884483
1	16.474495
1	16.384498
1	16.234503
1	18.854422
1	17.059477
1	16.324500
1	16.384498
1	16.684489
1	16.594492
1	16.679489
1	16.309500
1	16.719488
1	16.244502
1	19.104415
1	17.554462
1	16.154505
1	16.399498
1	16.559493
1	16.454496
1	16.139505
1	16.524494
1	16.159505
1	15.884513
1	16.104507
1	21.459342
1	17.309470
1	16.864483
1	16.699488
1	16.499494
1	16.869483
1	16.859483
1	16.804485
1	16.474495
1	17.409467
1	18.679428
1	17.099476
1	16.569492
1	16.674489
1	16.879483
1	16.594492
1	16.899482
1	17.189473
1	16.824484
1	16.229503
1	16.674489
1	19.184412
1	16.449496
1	16.464496
1	16.639490
1	16.364499
1	16.739487
1	16.474495
1	16.694488
1	16.864483
1	16.729487
1	18.539432
1	17.624460
1	16.964480
1	16.549493
1	16.889483
1	17.154474
1	17.519463
1	16.384498
1	16.654490
1	16.679489
1	17.354468
1	17.194473
1	16.844484
1	17.244472
1	16.619491
1	17.184473
1	16.439496
1	16.584492
1	16.334500
1	16.444496
1	16.419497
1	17.419466
1	17.094476
1	16.379498
1	16.709488
1	17.144475
1	16.584492
1	16.414497
1	16.754487
1	17.519463
1	16.444496
1	17.139475
1	19.449404
1	17.534463
1	16.734487
1	17.024478
1	16.794485
1	17.234472
1	17.544462
1	16.884483
1	18.564431
1	19.869391
1	18.694427
1	17.379467
1	16.479495
1	16.869483
1	16.744487
1	16.374498
1	16.689489
1	16.389498
1	17.214473
1	16.659490
1	18.814424
1	17.244472
1	17.089476
1	17.654459
1	16.629490
1	15.889513
1	16.594492
1	17.484464
1	16.774486
1	16.434496
1	16.669489
1	18.029448
1	17.144475
1	16.374498
1	16.804485
1	16.359499
1	16.114506
1	16.609491
1	17.969449
1	16.889483
1	16.809485
1	18.774425
1	17.484464
1	16.934481
1	17.519463
1	17.249471
1	16.004510
1	16.469495
1	16.409497
1	16.919482
1	16.429497
1	16.579492
1	17.619460
1	16.554493
1	16.884483
1	16.389498
1	16.599491
1	16.394498
1	16.894482
1	16.819485
1	16.459496
1	18.144444
1	19.204412
1	18.464434
1	16.364499
1	17.909451
1	16.459496
1	16.929481
1	18.264440
1	16.989479
1	17.789455
1	17.974449
1	21.934328
1	18.074446
1	16.979480
1	16.479495
1	17.104476
1	17.354468
1	17.684458
1	18.299439
1	20.329377
1	17.669459
1	20.074385
1	17.579461
1	16.914482
1	16.539493
1	16.789486
1	16.574492
1	16.374498
1	17.074477
1	17.304470
1	16.589492
1	16.724488
1	17.834454
1	16.994479
1	16.904482
1	16.514494
1	16.539493
1	16.729487
1	16.414497
1	17.619460
1	16.824484
1	16.384498
1	18.884421
1	17.764456
1	17.184473
1	16.714488
1	16.794485
1	16.809485
1	16.829484
1	17.029478
1	16.454496
1	16.979480
1	16.784486
1	18.014448
1	16.884483
1	17.144475
1	16.549493
1	17.029478
1	16.564492
1	16.349499
1	17.174474
1	16.819485
1	16.854484
1	18.359437
1	17.504464
1	17.154474
1	16.474495
1	16.859483
1	16.549493
1	16.949481
1	16.394498
1	16.974480
1	16.914482
1	16.984480
1	18.144444
1	17.459465
1	17.114476
1	16.609491
1	16.954481
1	17.229472
1	16.649490
1	17.624460
1	16.859483
1	16.734487
1	18.984418
1	17.629460
1	17.059477
1	16.509494
1	15.884513
1	16.884483
1	16.374498
1	16.434496
1	17.094476
1	17.044478
1	16.364499
1	18.019448
1	16.889483
1	16.769486
1	17.184473
1	16.994479
1	17.324469
1	16.854484
1	17.044478
1	17.684458
1	16.644490
1	18.689427
1	18.024448
1	17.369468
1	17.149475
1	16.594492
1	16.634490
1	17.024478
1	16.589492
1	16.284501
1	16.824484
1	16.729487
1	17.369468
1	16.504494
1	16.699488
1	16.564492
1	16.539493
1	17.129475
1	16.554493
1	16.599491
1	16.464496
1	17.084477
1	20.239380
1	17.539463
1	16.899482
1	17.159474
1	17.004479
1	17.334469
1	16.779486
1	17.349468
1	16.919482
1	17.019479
1	16.554493
1	17.189473
1	16.979480
1	17.404467
1	16.529494
1	16.704488
1	17.439466
1	16.399498
1	17.484464
1	16.444496
1	17.044478
1	17.514463
1	18.129445
1	16.684489
1	16.279501
1	16.979480
1	16.704488
1	16.659490
1	17.299470
1	16.314500
1	16.844484
1	16.674489
1	18.204442
1	17.194473
1	16.119506
1	17.074477
1	16.504494
1	16.304500
1	16.564492
1	16.929481
1	16.474495
1	17.124475
1	19.649398
1	17.679458
1	16.654490
1	17.244472
1	16.899482
1	16.334500
1	16.619491
1	16.394498
1	16.529494
1	16.749487
1	16.304500
1	17.764456
1	16.214503
1	17.269471
1	16.789486
1	16.954481
1	17.029478
1	16.639490
1	16.474495
1	16.754487
1	16.214503
1	18.189443
1	18.069446
1	17.234472
1	16.954481
1	17.079477
1	17.169474
1	17.129475
1	16.314500
1	17.214473
1	16.394498
1	16.564492
1	18.574431
1	17.004479
1	17.164474
1	16.619491
1	16.984480
1	16.434496
1	16.574492
1	16.429497
1	16.044508
1	16.279501
1	18.424435
1	17.414466
1	17.044478
1	17.269471
1	17.314469
1	17.044478
1	16.494495
1	16.239502
1	17.344469
1	16.984480
1	16.499494
1	17.949450
1	16.804485
1	17.284470
1	16.814485
1	17.114476
1	16.399498
1	16.174504
1	16.759486
1	16.524494
1	16.694488
1	16.904482
1	18.559431
1	16.859483
1	16.504494
1	17.129475
1	16.724488
1	16.874483
1	16.184504
1	16.634490
1	17.344469
1	16.774486
1	19.174412
1	16.819485
1	17.179474
1	16.534493
1	16.359499
1	16.774486
1	16.469495
1	17.234472
1	16.599491
1	16.354499
1	18.219442
1	16.719488
1	16.354499
1	16.734487
1	16.404497
1	16.009509
1	17.229472
1	16.189504
1	16.714488
1	16.444496
1	17.169474
1	19.819393
1	17.819454
1	16.309500
1	16.754487
1	17.024478
1	16.444496
1	17.074477
1	16.939481
1	16.964480
1	16.539493
1	18.689427
1	17.024478
1	16.099507
1	16.979480
1	16.884483
1	16.184504
1	16.374498
1	16.724488
1	16.564492
1	16.494495
1	16.799485
1	18.799424
1	17.624460
1	16.759486
1	16.729487
1	16.694488
1	17.149475
1	17.259471
1	16.504494
1	16.714488
1	17.339469
1	19.379406
1	17.179474
1	16.879483
1	17.289470
1	17.229472
1	17.669459
1	17.269471
1	15.954511
1	16.884483
1	16.469495
1	17.004479
1	18.034447
1	16.454496
1	17.149475
1	16.834484
1	16.654490
1	16.649490
1	16.084507
1	16.764486
1	16.184504
1	16.734487
1	18.314439
1	17.034478
1	16.334500
1	16.384498
1	17.054477
1	16.674489
1	16.749487
1	16.749487
1	16.604491
1	17.369468
1	17.219472
1	19.349407
1	18.609430
1	17.134475
1	16.599491
1	17.169474
1	16.679489
1	16.674489
1	17.184473
1	17.254471
1	16.834484
1	18.909421
1	17.399467
1	17.559462
1	16.464496
1	16.289501
1	16.619491
1	17.234472
1	16.729487
1	16.599491
1	17.184473
1	16.619491
1	18.234441
1	16.524494
1	17.759456
1	16.659490
1	17.209473
1	16.444496
1	16.844484
1	17.079477
1	16.769486
1	16.809485
1	19.094415
1	18.329438
1	16.764486
1	17.494464
1	17.014479
1	17.359468
1	17.529463
1	16.964480
1	16.994479
1	16.899482
1	20.414375
1	17.429466
1	16.634490
1	16.299501
1	16.954481
1	16.384498
1	17.154474
1	16.374498
1	17.469465
1	16.449496
1	17.464465
1	16.849484
1	16.949481
1	17.019479
1	17.009479
1	17.294470
1	17.219472
1	17.199473
1	17.094476
1	17.224472
1	17.054477
1	18.454435
1	17.479464
1	16.919482
1	16.279501
1	17.699458
1	16.809485
1	17.304470
1	17.094476
1	16.949481
1	16.694488
1	16.814485
1	17.619460
1	15.909513
1	17.479464
1	16.659490
1	17.454465
1	15.944511
1	17.534463
