# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn895.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 9.999665 
# Number of iterations (recorded+unrecorded): 2866154377 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	5829.80
999846.47	2759.91
1999742.93	1469.95
2694349.63	19979.33
2733538.32	4189.86
2999679.39	2479.92
3999645.85	1599.95
4999552.32	1369.95
5999548.78	4189.86
6999415.24	2219.93
7999371.70	1749.94
8999348.16	3149.89
9905097.78	399.99
9906397.74	359.99
9907667.70	389.99
9908927.65	289.99
9999194.63	1499.95
10999161.09	1369.95
11269662.02	5989.80
11999147.55	1989.93
12999114.01	2949.90
13998950.48	4359.85
14998866.94	2549.91
15998863.40	2939.90
16998819.86	3239.89
17998766.32	1519.95
18998582.79	1979.93
19998589.25	1919.94
20314798.64	6399.79
20684746.23	3849.87
20941607.62	4569.85
20998515.71	2099.93
21183989.49	4099.86
21533787.76	4049.86
21998512.17	2639.91
22998328.64	3079.90
23998265.10	1749.94
24998311.56	3339.89
25998168.02	9379.69
26207850.99	8389.72
26998414.47	2099.93
27998020.95	3119.90
28997987.41	2969.90
29997993.87	1339.96
30997800.33	1909.94
31997846.79	1569.95
32997743.26	1409.95
33997599.72	1349.95
34997566.18	1339.96
35575036.81	30708.97
35997532.64	2209.93
36997399.11	4219.86
37997415.57	2819.91
38997352.03	2229.93
39997248.49	3169.89
40997124.96	2979.90
41997121.42	1609.95
42997027.88	2149.93
43996914.34	1509.95
44996930.80	1529.95
45996927.26	1789.94
46996843.73	1409.95
47996720.19	1339.96
48996676.65	1659.94
49996593.11	1439.95
50996499.58	2219.93
51996376.04	1549.95
52996302.50	2949.90
53996268.97	1369.95
54996255.43	1319.96
55996191.89	1329.96
56996148.35	1339.96
57996104.81	1319.96
58996041.27	2949.90
59995857.74	3239.89
60995804.20	1379.95
61995800.66	1879.94
62995657.13	2319.92
63995643.59	8449.72
64995860.04	1309.96
65995476.51	4179.86
66995382.97	2359.92
67995399.43	1519.95
68995385.89	1909.94
69995282.36	3039.90
70884222.54	15319.49
70995188.82	9959.67
71995065.29	7869.74
72995221.74	2879.90
73994968.21	2909.90
74994964.67	1389.95
75994811.13	1309.96
76994747.60	1729.94
77994784.05	2019.93
78994630.52	2669.91
79994636.98	1429.95
80994533.44	1389.95
81994389.91	1429.95
82994436.37	1389.95
83994282.83	3449.88
84994169.30	2459.92
85994165.76	1549.95
86994162.22	1389.95
87994018.68	1469.95
88993935.14	1349.95
89993901.60	1539.95
90993898.06	3129.90
91993734.53	3649.88
92993770.99	3459.88
93788464.33	349.99
93789724.29	289.99
93790914.25	279.99
93792184.21	309.99
93993617.45	6679.78
94993503.92	78667.36
95993550.38	4739.84
96993476.84	3249.89
97993433.30	3509.88
98993319.76	4659.84
99993156.23	3659.88
100993132.69	3199.89
101993099.15	3339.89
102361346.80	12619.58
102992965.62	4379.85
103992902.08	3079.90
104992838.54	5049.83
105992905.00	3569.88
106992731.46	3389.89
107992777.92	2859.90
108992654.39	2679.91
109992520.85	9159.69
110992707.30	1609.95
111992453.77	6429.78
112992380.24	2479.92
113992226.70	1409.95
114992263.16	2779.91
115608662.49	11179.63
115992219.62	1459.95
116992146.08	1429.95
117992042.55	2639.91
118991999.01	1829.94
119991955.47	1339.96
120991741.94	1579.95
121991768.40	2669.91
122991774.86	2199.93
123991631.32	3419.89
124991627.78	1629.95
125991534.24	1559.95
126370391.54	6089.80
126402090.47	5519.81
126991380.71	2559.91
127991437.17	1539.95
128991273.63	1469.95
129991210.09	1869.94
130704196.18	10929.63
130751534.59	3809.87
130991226.55	4109.86
131991153.02	4129.86
132277743.40	7199.76
132310492.31	3369.89
132991109.48	3679.88
133990995.94	2689.91
134990862.41	2509.92
135990868.87	2609.91
136990815.33	2729.91
137990761.79	2799.91
138990568.26	2129.93
139990514.72	2609.91
140990471.18	3309.89
141990467.64	2849.90
142990344.10	3759.87
143990320.56	2809.91
144990157.03	3069.90
145990093.49	2549.91
146990149.95	3309.89
147812552.37	8959.70
147989996.42	7599.75
148990132.87	6939.77
149989939.34	8539.71
150989875.80	3179.89
151989762.26	2629.91
152989728.72	3379.89
153989645.19	2239.92
154989541.65	2279.92
155989548.11	7029.76
156989584.57	2089.93
157989301.04	2269.92
158036249.46	17379.42
158226543.08	4699.84
158989227.50	3739.87
159989183.96	2799.91
160303643.42	6399.79
160989170.42	3349.89
161989046.89	2249.92
162989083.35	2229.93
163988969.81	1439.95
164988876.27	1339.96
165988832.73	1539.95
166988659.20	1659.94
167988755.66	1789.94
168988702.12	2309.92
169988508.59	1369.95
170988495.05	1299.96
171988411.51	1409.95
172988287.97	1819.94
173988304.43	1479.95
174988270.89	1409.95
175988137.36	1389.95
176988143.82	1369.95
177671750.89	339.99
177672890.85	359.99
177674170.81	379.99
177675450.77	399.99
177987980.28	1279.96
178987886.75	1639.94
179987913.21	1429.95
180392499.64	5049.83
180987809.67	4099.86
181987706.13	1989.93
182987662.59	2559.91
183987659.05	1549.95
184987505.52	1319.96
185987441.98	1329.96
186987398.44	2029.93
187987404.90	1929.94
188987361.36	1979.93
189987197.83	1369.95
190987184.29	3779.87
191987030.75	2499.92
192987037.21	3759.87
193194730.25	10629.64
193987013.68	14489.51
194987220.13	2319.92
195986876.60	3689.88
196986823.06	1779.94
197986689.53	3459.88
198986695.99	1359.95
199986522.45	1339.96
200986478.91	3589.88
201986485.37	1529.95
202986361.84	1369.95
203986348.30	3029.90
204986234.76	1549.95
205152599.18	9329.69
205986081.23	4169.86
206986047.69	2569.91
207985964.15	1419.95
208985970.61	1379.95
209985807.08	2989.90
210985813.54	1329.96
211985760.00	1339.96
212985726.46	2979.90
213985552.92	2269.92
214985619.38	1559.95
215985535.85	1399.95
215986945.80	12309.59
216985402.31	1629.95
217985328.77	3269.89
218985295.23	1629.95
219985221.70	2199.93
220985078.16	1719.94
221985094.62	1399.95
222984961.08	1359.95
223984947.54	2659.91
224984954.00	3549.88
225984880.47	2419.92
226984796.93	2569.91
227984703.39	2519.92
228984559.86	3279.89
229984536.32	3179.89
230984412.78	2959.90
231984389.24	9939.67
232984575.70	5329.82
233984242.17	2549.91
234984258.63	2679.91
