# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
27590663,1000000000,1
2608664,1000000000,1
2609525,1000000000,1
2437350,1000000000,1
2561263,1000000000,1
2240464,1000000000,1
2435929,1000000000,1
2617964,1000000000,1
2315866,1000000000,1
2725059,1000000000,1
2649535,1000000000,1
2381087,1000000000,1
2416020,1000000000,1
2268514,1000000000,1
2466160,1000000000,1
2624426,1000000000,1
2399819,1000000000,1
2465850,1000000000,1
2347687,1000000000,1
2510602,1000000000,1
2627096,1000000000,1
2334007,1000000000,1
2347657,1000000000,1
2333877,1000000000,1
2285006,1000000000,1
2362917,1000000000,1
2328157,1000000000,1
2619504,1000000000,1
2700216,1000000000,1
2305776,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
17259166,800000000,1
2250904,800000000,1
2521821,800000000,1
2166133,800000000,1
2371797,800000000,1
2226754,800000000,1
2280626,800000000,1
2260425,800000000,1
3060257,800000000,1
2356417,800000000,1
2107650,800000000,1
2904342,800000000,1
2211493,800000000,1
2199533,800000000,1
2183183,800000000,1
2314787,800000000,1
2525932,800000000,1
2352608,800000000,1
2439610,800000000,1
2306085,800000000,1
2194442,800000000,1
2332097,800000000,1
2142592,800000000,1
2261595,800000000,1
2117801,800000000,1
2221972,800000000,1
2225343,800000000,1
2983635,800000000,1
2144202,800000000,1
2348457,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
22350712,600000000,1
2142450,600000000,1
1993957,600000000,1
2439819,600000000,1
2037258,600000000,1
2559652,600000000,1
2388767,600000000,1
2429680,600000000,1
2307796,600000000,1
2655945,600000000,1
2212274,600000000,1
2269025,600000000,1
2566403,600000000,1
2347946,600000000,1
2511971,600000000,1
2294966,600000000,1
2287726,600000000,1
2368847,600000000,1
2186492,600000000,1
2609234,600000000,1
2175183,600000000,1
2722309,600000000,1
2270005,600000000,1
2443509,600000000,1
2261624,600000000,1
2279525,600000000,1
2280504,600000000,1
2253715,600000000,1
2528113,600000000,1
2276096,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
18019647,400000000,1
2268885,400000000,1
2232434,400000000,1
2214163,400000000,1
2324596,400000000,1
2126960,400000000,1
2982346,400000000,1
2197933,400000000,1
2185303,400000000,1
2322176,400000000,1
2322807,400000000,1
2283535,400000000,1
2697297,400000000,1
2400189,400000000,1
2257444,400000000,1
2306395,400000000,1
2244025,400000000,1
2265415,400000000,1
2400018,400000000,1
2278905,400000000,1
2804939,400000000,1
2324356,400000000,1
