# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 38.818001 141.282724 458.176404 19.409000 7.777377 4.184136 -nan -nan -nan
1025 10 44.977684 198.109797 599.299136 19.409000 16.613589 15.394420 11.379471 0.005498 -nan
2049 10 88.085464 208.359269 912.123026 19.409000 3.474266 12.941268 12.930775 0.000966 3.788803
3073 10 66.366582 125.733525 701.493873 19.409000 4.203117 9.335978 14.794220 -0.001759 4.490105
4097 10 65.786612 195.599927 720.092915 19.409000 6.914088 15.421085 13.425288 -0.000424 4.435662
5121 10 81.355810 177.350866 845.906436 19.409000 3.594259 9.431527 13.537428 -0.000506 3.846755
6145 10 67.076546 119.533844 710.543407 19.409000 4.419772 6.241762 14.359256 -0.000987 3.755624
7169 10 70.116389 183.500550 745.051630 19.409000 4.876416 17.064297 13.472731 -0.000555 3.808147
8193 10 71.606312 206.139384 781.129772 19.409000 7.229628 7.676101 12.536036 -0.000163 3.956093
9217 10 74.756150 190.510189 791.529236 19.409000 4.885304 8.219394 12.270444 -0.000065 3.737235
10241 10 141.832696 256.816774 1430.226343 19.409000 1.322154 11.952452 12.109996 -0.000013 3.538341
11265 10 140.882745 262.586477 1432.736214 19.409000 2.656530 11.030298 11.909655 0.000045 3.382300
12289 10 95.505081 170.611214 998.568574 19.409000 4.835307 10.020372 12.408105 -0.000087 3.394183
13313 10 73.176231 190.470191 784.869579 19.409000 5.900807 13.397901 12.203822 -0.000037 3.279960
14337 10 83.955676 203.689510 883.734488 19.409000 4.908636 15.123329 12.026443 0.000003 3.175988
15361 10 76.246073 197.289840 840.396720 19.409000 8.659554 13.337905 11.883906 0.000032 3.077677
16385 10 80.765841 206.829348 861.115653 19.409000 5.939694 13.706767 11.727656 0.000063 2.995560
17409 10 79.965882 213.299015 859.335744 19.409000 6.630770 15.102220 11.541128 0.000097 2.934283
18433 10 103.154688 200.529673 1095.133601 19.409000 7.065192 12.003559 11.765698 0.000058 2.898594
19457 10 106.164533 200.749661 1119.322355 19.409000 6.408559 4.210801 11.970628 0.000025 2.862443
20481 10 107.204479 206.959342 1136.451473 19.409000 7.156298 0.739945 12.085604 0.000007 2.801232
21505 10 134.333082 238.377724 1403.957696 19.409000 6.736320 13.643438 12.139393 -0.000001 2.733819
22529 10 85.175613 217.748786 916.992775 19.409000 7.248516 11.329164 11.941097 0.000027 2.718179
23553 10 88.425446 222.928519 950.941027 19.409000 7.409618 12.151326 11.767440 0.000050 2.695842
24577 10 113.324164 231.498078 1193.778520 19.409000 6.726320 15.255542 11.758160 0.000051 2.636705
25601 10 117.633942 236.587816 1245.555854 19.409000 7.690715 15.781058 11.748212 0.000053 2.581336
26625 10 119.043869 248.657194 1248.145720 19.409000 6.411892 16.057705 11.665204 0.000062 2.539867
27649 10 100.384830 249.967127 1066.535073 19.409000 6.965197 16.772096 11.458076 0.000086 2.559410
28673 10 100.854806 258.146705 1072.424770 19.409000 7.097412 17.497598 11.236783 0.000110 2.591713
29697 10 137.162936 265.696317 1400.987849 19.409000 3.262054 18.093110 11.249420 0.000108 2.545281
30721 10 106.284526 289.155109 1127.781919 19.409000 7.215184 1.071032 10.913583 0.000142 2.693072
31745 10 109.074383 296.884710 1152.710635 19.409000 6.885201 20.032967 10.604446 0.000172 2.807085
32769 10 148.592347 320.723483 1595.217846 19.409000 12.143819 1.158803 10.445700 0.000187 2.803725
33793 10 113.494155 311.483959 1210.947636 19.409000 8.445121 1.198800 10.164881 0.000213 2.893292
34817 10 118.193913 317.593644 1257.345247 19.409000 8.378457 1.233242 9.925397 0.000234 2.946424
35841 10 115.814036 321.703432 1234.186439 19.409000 8.449565 1.233242 9.692995 0.000254 2.995084
36865 10 121.763729 331.522927 1302.592916 19.409000 9.439514 1.266573 9.482072 0.000272 3.028813
37889 10 117.133968 338.112587 1249.685641 19.409000 8.705107 1.314348 9.250587 0.000291 3.079869
38913 10 208.229276 359.481487 2155.189008 19.409000 8.099583 1.332124 9.429107 0.000277 3.094216
39937 10 123.203655 351.251911 1309.882541 19.409000 8.649555 1.366566 9.203966 0.000294 3.143791
40961 10 171.001193 356.581636 1746.400060 19.409000 4.043125 1.407674 9.232500 0.000292 3.104709
41985 10 125.083558 361.891363 1337.721107 19.409000 9.653947 1.438783 9.018870 0.000308 3.150583
43009 10 127.533432 376.460612 1360.489935 19.409000 9.461735 1.469892 8.784350 0.000324 3.214648
44033 10 129.673322 381.970329 1384.518697 19.409000 9.753942 1.519888 8.573620 0.000339 3.259398
45057 10 129.673322 380.830387 1375.809146 19.409000 8.786214 1.556552 8.405076 0.000351 3.275117
46081 10 141.072735 391.009863 1491.753175 19.409000 9.002870 1.598771 8.274279 0.000359 3.270705
47105 10 134.573069 399.469427 1444.015633 19.409000 10.920549 1.630991 8.105238 0.000370 3.290264
48129 10 188.600287 402.679262 1917.371255 19.409000 3.485376 1.664322 8.188865 0.000365 3.268305
49153 10 137.032943 410.368866 1453.605139 19.409000 9.252857 1.710985 8.025973 0.000375 3.287499
50177 10 138.062890 418.118467 1546.080377 19.409000 18.383498 1.740983 7.865145 0.000385 3.306528
51201 10 140.452767 427.927962 1491.673179 19.409000 9.682835 1.768758 7.703637 0.000395 3.327177
52225 10 187.680334 430.987804 1927.450736 19.409000 5.627488 1.800978 7.749869 0.000392 3.298294
53249 10 145.042530 434.517622 1534.160991 19.409000 9.303965 1.833198 7.623355 0.000399 3.300661
54273 10 194.269995 448.696892 1990.087510 19.409000 5.265284 1.875417 7.658854 0.000397 3.271574
55297 10 148.052375 449.656843 1571.999042 19.409000 10.163921 1.909859 7.524810 0.000405 3.281339
56321 10 150.212264 458.296398 1606.877246 19.409000 11.639401 1.953189 7.392010 0.000412 3.291384
57345 10 213.599000 468.655864 2175.157979 19.409000 4.351998 1.989853 7.480578 0.000407 3.279672
58369 10 211.439111 471.035742 2154.829026 19.409000 4.493102 2.029850 7.558875 0.000403 3.264887
59393 10 155.961968 475.725500 1645.095278 19.409000 9.497289 2.054293 7.428724 0.000410 3.277205
60417 10 246.287316 497.564375 2540.609159 19.409000 8.637333 2.106511 7.563584 0.000403 3.293438
61441 10 160.411739 490.664731 1693.802769 19.409000 9.965042 2.134287 7.426778 0.000410 3.311777
62465 10 161.721671 495.834465 1702.822305 19.409000 9.511732 2.173173 7.300400 0.000416 3.324051
63489 10 162.961607 507.133883 1717.151567 19.409000 9.726166 2.198727 7.162829 0.000422 3.344550
64513 10 180.060727 522.333100 1886.292856 19.409000 9.520621 2.247612 7.054894 0.000427 3.347260
65537 10 275.545809 1361.049906 3383.255762 19.409000 69.755296 123.139807 4.542313 0.000544 10.963322
66561 10 280.175571 1367.809558 3502.869602 19.409000 77.901544 120.593328 2.224250 0.000650 14.579965
67585 10 277.245722 1388.638485 3407.424518 19.409000 70.551922 124.260836 0.018275 0.000750 17.201224
68609 10 281.305513 1408.517461 3514.948980 19.409000 77.988206 124.474153 -2.057576 0.000842 19.212964
69633 10 285.835279 1454.195109 3431.293288 19.409000 63.660055 151.123299 7.054894 0.000427 3.347260
