#size	rtt
8	12.367229
8	9.339677
8	12.913269
8	32.859494
8	46.581183
8	16.879081
8	10.613823
8	33.840468
8	36.845680
8	33.424941
8	50.096515
8	11.960572
8	7.231306
8	18.763113
8	55.375698
8	4.767417
8	53.181659
8	4.558904
8	54.375271
8	8.481176
8	54.881053
8	22.264566
8	52.924261
8	22.638231
8	50.389425
8	5.871576
8	54.362796
8	22.433850
8	49.036553
8	42.968816
8	49.391993
8	22.613377
8	50.339529
8	22.820024
8	47.878815
8	22.604659
8	48.234256
8	4.769874
8	12.612354
8	8.685826
8	9.989197
8	9.693590
8	8.160728
8	11.556859
8	10.484836
8	9.307621
8	11.165945
8	13.981012
8	10.825185
8	9.838318
8	11.010390
8	11.496206
8	6.902646
8	12.118030
8	6.081129
8	11.220441
8	10.153428
8	11.250363
8	26.092661
8	13.516705
8	6.462665
8	27.249862
8	23.771397
8	48.868515
8	23.450775
8	50.491264
8	16.180828
8	49.789785
8	5.278492
8	54.072399
8	4.895896
8	22.354595
8	11.349061
8	49.641770
8	6.367599
8	49.338249
8	13.893032
8	15.882616
8	15.269535
8	55.398958
8	5.409163
8	48.537098
8	6.259033
8	54.242466
8	4.567189
8	53.400894
8	10.028850
8	26.688162
8	11.974762
8	28.525545
8	14.718024
8	24.391956
8	16.260919
8	53.270525
8	8.303350
8	55.064590
8	5.470877
8	49.583728
8	5.373083
8	14.384504
8	12.067955
8	10.885838
8	10.845507
8	11.019554
8	8.959564
8	11.028303
8	29.208391
8	8.104916
8	52.018006
8	12.677780
8	14.995455
8	5.815819
8	10.505331
8	10.772715
8	9.712170
8	10.744538
8	11.360594
8	11.606615
8	11.774598
8	9.400130
8	10.229340
8	14.237967
8	4.515140
8	50.600209
8	22.648499
8	53.390256
8	7.299501
8	52.057789
8	3.911001
8	50.179326
8	4.408494
8	52.864186
8	7.885112
8	27.427371
8	24.580638
8	49.007617
8	22.645894
8	53.826196
8	22.618158
8	50.269493
8	19.973755
8	17.785022
8	9.587265
8	11.493250
8	9.970731
8	23.205323
8	14.599144
8	11.741101
8	51.671721
8	46.212700
8	49.993619
8	23.786248
8	49.617893
8	42.357240
8	52.958945
8	22.583070
8	57.846043
8	20.388364
8	18.310679
8	7.619887
8	11.147589
8	11.461702
8	13.203822
8	6.557922
8	11.580350
8	11.491165
8	21.449904
8	10.367743
8	11.531201
8	6.692525
8	10.998535
8	12.215934
8	6.506987
8	25.231739
8	12.758929
8	49.647596
8	31.087923
8	53.038742
8	13.905795
8	48.380207
8	13.234536
8	18.956514
8	8.579874
8	53.890190
8	16.218832
8	28.950443
8	13.691063
8	53.524454
8	15.861216
8	50.175101
8	15.249912
8	48.847480
8	36.394503
8	51.335344
8	15.406748
8	50.349818
8	20.712641
8	53.750821
8	11.622428
8	51.115817
8	16.227139
8	47.759494
8	13.741130
8	15.625030
8	14.875057
8	11.107320
8	10.464802
8	11.527951
8	11.382225
8	26.249638
8	53.634248
8	8.460608
8	50.037652
8	15.877571
8	48.459736
8	13.813530
8	17.828841
8	19.076763
8	52.131052
8	15.797973
8	48.509721
8	12.997875
8	18.890671
8	9.196077
8	51.935149
8	20.183689
8	28.727250
8	10.663877
8	54.079742
8	15.359173
8	49.324830
8	15.529644
8	48.823718
8	29.346353
8	53.879260
8	12.824047
8	53.451760
8	14.987028
8	54.253020
8	15.223830
8	52.830220
8	15.963810
8	50.941572
8	15.244272
8	54.567985
8	13.083006
8	16.250405
8	10.031492
8	10.272623
8	8.603964
8	52.503740
8	15.781627
8	51.236225
8	13.597804
8	49.891620
8	11.283739
8	50.372459
8	12.926324
8	18.303940
8	9.478861
8	48.418302
8	5.539386
8	55.662000
8	5.244880
8	26.626776
8	12.577510
8	53.553085
8	6.125530
8	52.911879
8	5.574297
8	12.849563
8	6.241723
8	13.129013
8	8.798501
8	10.249551
8	10.590104
8	12.048895
8	10.284407
8	11.681890
8	10.004674
8	14.394477
8	5.785082
8	25.697389
8	10.307765
8	47.987674
8	5.087961
8	53.207156
8	5.814123
8	29.153126
8	12.849329
8	49.470274
8	11.746076
8	47.797185
8	16.656086
8	48.743873
8	5.928135
8	27.167597
8	10.403715
8	49.358907
8	16.956703
8	53.170657
8	9.616252
8	47.927241
8	4.762065
8	54.123505
8	5.070084
8	29.910471
8	4.252801
8	52.495470
8	4.337460
8	50.284487
8	4.712942
8	50.474648
8	6.306143
8	28.313623
8	15.195136
8	53.006259
8	5.438117
8	50.045824
8	4.806165
8	50.363717
8	10.877603
8	47.132633
8	4.800317
8	31.363470
8	10.655372
8	49.439578
8	15.782588
8	49.065616
8	15.782787
8	49.150572
8	5.306177
8	53.577010
8	6.067501
8	53.421689
8	5.155664
8	29.738286
8	13.460619
8	55.049589
8	5.325089
8	54.037707
8	8.776762
8	51.182463
8	6.116265
8	51.117860
8	5.995821
8	29.185123
8	11.014019
8	48.602654
8	5.423522
8	56.336848
8	6.455390
8	53.576620
8	5.393291
8	53.862135
8	5.723757
8	23.036334
8	6.975252
8	52.168981
8	8.690289
8	52.905286
8	8.209258
8	23.189139
