# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 9935.321192 9935.371286 89933.501402 4967.660596 -1046.634502 11.913422 -nan -nan -nan
1025 10 9935.170912 9934.820259 89931.136997 4967.660596 -1046.730236 13.342753 0.005609 -0.000043 -nan
2049 10 9935.661827 9935.140856 89930.696175 4967.660596 -1047.324677 18.787345 0.001330 -0.000031 0.010452
3073 10 9935.170912 9935.591696 89930.075018 4967.660596 -1046.848234 18.894210 -0.026838 0.000010 0.054966
4097 10 9935.050688 9935.361267 89930.175205 4967.660596 -1046.703520 19.091244 -0.030738 0.000014 0.045440
5121 10 9935.110800 9935.331211 89934.733698 4967.660596 -1046.263812 19.790325 -0.027576 0.000012 0.039766
6145 10 9934.940483 9935.371286 89931.718079 4967.660596 -1046.409639 15.883043 -0.028200 0.000012 0.035586
7169 10 9935.621752 9935.200968 89935.234631 4967.660596 -1046.775877 20.283466 -0.010672 0.000004 0.046147
8193 10 9935.401342 9935.170912 89930.946642 4967.660596 -1047.007419 21.061583 -0.003860 0.000001 0.044673
9217 10 9935.651808 9935.100782 89930.696175 4967.660596 -1047.313545 21.245259 0.005386 -0.000003 0.045569
10241 10 9935.311174 9934.589830 89930.836437 4967.660596 -1046.919478 22.542120 0.013262 -0.000005 0.045808
11265 10 9935.792070 9935.581678 89935.014220 4967.660596 -1046.989609 22.183675 0.010337 -0.000004 0.043877
12289 10 9934.850315 9934.329344 89930.616026 4967.660596 -1046.431903 23.366991 0.012017 -0.000005 0.041987
13313 10 9935.892256 9935.471472 89931.447575 4967.660596 -1047.497221 23.493894 0.011327 -0.000005 0.040228
14337 10 9935.631771 9935.241043 89931.197109 4967.660596 -1047.235622 23.559572 0.009958 -0.000004 0.038770
15361 10 9935.381304 9935.321192 89932.128844 4967.660596 -1046.853800 25.016732 0.004726 -0.000003 0.039219
16385 10 9935.130838 9935.050688 89932.319199 4967.660596 -1046.554353 30.226442 0.000766 -0.000003 0.038998
17409 10 9935.501528 9934.419512 89930.876511 4967.660596 -1047.126530 26.145503 0.007978 -0.000004 0.041485
18433 10 9935.441416 9934.780184 89930.636063 4967.660596 -1047.086456 26.886884 0.008927 -0.000004 0.040313
19457 10 9934.970539 9935.080744 89930.686157 4967.660596 -1046.557693 25.631211 0.001959 -0.000003 0.042822
20481 10 9935.461454 9934.289270 89930.545895 4967.660596 -1047.118738 25.573325 0.007994 -0.000004 0.044386
21505 10 9935.291136 9936.032518 89933.120692 4967.660596 -1046.643408 31.633509 -0.004354 -0.000002 0.053702
22529 10 9934.960520 9935.000595 89930.636063 4967.660596 -1046.552127 26.916940 -0.008444 -0.000001 0.053495
23553 10 9935.210987 9935.701902 89934.673586 4967.660596 -1046.381809 27.106182 -0.015525 -0.000000 0.055578
24577 10 9935.401342 9934.559774 89930.245335 4967.660596 -1047.085342 27.504703 -0.010843 -0.000001 0.055822
25601 10 9935.271099 9935.421379 89931.537743 4967.660596 -1046.797027 29.359270 -0.014614 -0.000001 0.055629
26625 10 9934.890390 9934.679998 89930.906567 4967.660596 -1046.444148 28.548871 -0.015122 -0.000001 0.054524
27649 10 9935.100782 9934.900408 89930.165186 4967.660596 -1046.760292 29.173368 -0.015653 -0.000000 0.053486
28673 10 9934.980558 9935.221006 89930.325485 4967.660596 -1046.608899 30.199725 -0.019170 -0.000000 0.053461
29697 10 9935.241043 9934.970539 89932.930338 4967.660596 -1046.608899 30.492493 -0.018723 -0.000000 0.052514
30721 10 9935.762014 9934.880371 89932.369292 4967.660596 -1047.250094 31.820524 -0.014383 -0.000001 0.053191
31745 10 9935.551622 9934.860334 89934.633511 4967.660596 -1046.764745 31.946314 -0.011922 -0.000001 0.052821
32769 10 9935.481491 9933.768299 89931.197109 4967.660596 -1047.068645 36.834313 -0.003586 -0.000002 0.057870
33793 10 9935.571659 9934.679998 89930.806381 4967.660596 -1047.212246 37.463263 -0.001413 -0.000002 0.057354
34817 10 9934.479624 9935.251062 89934.122559 4967.660596 -1045.630409 34.238363 -0.009313 -0.000001 0.061673
35841 10 9934.499662 9935.120819 89930.886530 4967.660596 -1046.012232 38.186833 -0.015375 -0.000001 0.063735
36865 10 9934.449568 9934.860334 89930.796362 4967.660596 -1045.966591 34.732617 -0.019524 -0.000000 0.064217
37889 10 9935.321192 9935.050688 89930.796362 4967.660596 -1046.935062 38.912631 -0.019487 -0.000000 0.063319
