#size	rtt
1	28.808621
1	19.746754
1	19.005375
1	18.409265
1	17.482540
1	25.342169
1	24.781125
1	17.818165
1	17.422428
1	17.908333
1	18.233939
1	17.682913
1	17.612782
1	18.183845
1	20.758638
1	24.245127
1	23.478701
1	18.504442
1	17.292186
1	17.993491
1	16.971589
1	18.399246
1	18.364181
1	18.324106
1	17.602764
1	23.769241
1	23.228234
1	17.717978
1	17.983472
1	18.599619
1	17.883286
1	19.826904
1	17.798127
1	18.334125
1	18.018538
1	26.143661
1	18.599619
1	18.584591
1	17.753044
1	18.243957
1	17.773081
1	17.993491
1	18.945263
1	18.985337
1	24.305239
1	22.762367
1	18.078650
1	18.233939
1	18.123734
1	17.888295
1	18.038575
1	18.619657
1	17.928370
1	17.883286
1	24.635854
1	23.854400
1	18.133752
1	18.424293
1	17.212037
1	17.888295
1	17.427438
1	18.629675
1	17.798127
1	18.284032
1	23.238253
1	23.523785
1	17.973454
1	17.687922
1	17.592745
1	18.955281
1	17.943398
1	18.304069
1	18.269004
1	18.309079
1	23.208197
1	23.248272
1	17.432447
1	18.253976
1	17.297195
1	18.008519
1	18.379209
1	18.649713
1	18.013528
1	17.547661
1	29.184320
1	17.667885
1	18.153789
1	17.828183
1	17.773081
1	17.652857
1	18.248967
1	18.103696
1	17.768072
1	19.591465
1	30.261325
1	18.669750
1	18.248967
1	17.808146
1	18.624666
1	18.314088
1	17.968444
1	18.564554
1	18.113715
1	23.453654
1	24.174997
1	18.574573
1	18.269004
1	17.938389
1	17.848221
1	17.753044
1	17.863249
1	17.497568
1	18.118724
1	24.084829
1	24.094847
1	18.659731
1	18.213901
1	18.083659
1	17.592745
1	18.669750
1	18.920216
1	19.085524
1	17.868258
1	24.144941
1	24.665910
1	18.494423
1	17.863249
1	17.682913
1	18.043584
1	19.095542
1	18.459358
1	17.998500
1	23.583896
1	24.505612
1	17.733006
1	18.183845
1	17.477531
1	17.868258
1	17.983472
1	17.748034
1	18.078650
1	18.329116
1	24.084829
1	24.230099
1	18.464368
1	18.594610
1	17.437456
1	17.923361
1	17.858239
1	18.484405
1	18.474386
1	18.744890
1	23.503747
1	24.360342
1	18.183845
1	17.978463
1	18.339134
1	18.564554
1	18.744890
1	18.659731
1	18.223920
1	17.838202
1	23.739186
1	24.535668
1	17.993491
1	18.178836
1	17.853230
1	17.853230
1	17.637829
1	18.008519
1	18.028556
1	17.823174
1	25.412300
1	24.415444
1	17.943398
1	18.028556
1	17.743025
1	17.968444
1	17.692932
1	17.682913
1	18.063622
1	24.575743
1	24.190025
1	18.389228
1	18.168817
1	18.248967
1	18.354162
1	18.289041
1	17.973454
1	17.853230
1	18.188855
1	24.721013
1	23.458663
1	17.908333
1	17.417419
1	17.778090
1	17.743025
1	19.210757
1	18.379209
1	18.228929
1	17.778090
1	24.315258
1	24.174997
1	18.574573
1	18.334125
1	17.687922
1	17.682913
1	18.324106
1	17.617792
1	17.873267
1	17.878277
1	23.508757
