#size	rtt
1	26.910146
1	19.195771
1	18.459398
1	18.564594
1	17.617830
1	17.487587
1	18.028596
1	17.702989
1	17.602802
1	23.779312
1	24.846300
1	17.843250
1	18.153829
1	18.183885
1	17.627849
1	18.329156
1	18.028596
1	17.557718
1	17.728035
1	25.627756
1	24.150003
1	18.349193
1	17.347326
1	17.863288
1	17.788148
1	17.482578
1	17.472559
1	18.324146
1	17.252149
1	29.740420
1	17.748073
1	17.667923
1	17.096859
1	17.963474
1	16.706131
1	17.908372
1	17.051775
1	17.888334
1	22.882641
1	24.891384
1	18.354202
1	17.958465
1	17.632858
1	18.193904
1	16.966617
1	17.447513
1	18.504482
1	19.150687
1	23.413630
1	23.989704
1	17.357345
1	18.419324
1	17.527662
1	18.138801
1	17.682951
1	18.254016
1	18.193904
1	17.948446
1	22.727352
1	24.345367
1	17.733045
1	18.208932
1	17.567737
1	18.364221
1	17.823213
1	17.061794
1	17.432485
1	17.998540
1	22.672249
1	23.203238
1	17.427475
1	17.637867
1	17.808185
1	17.557718
1	18.855136
1	18.294090
1	17.983512
1	18.218950
1	24.580805
1	23.839424
1	17.758091
1	17.928409
1	18.038614
1	17.758091
1	17.682951
1	17.377382
1	17.938428
1	18.925266
1	28.738553
1	18.454389
1	17.883325
1	18.369230
1	17.697979
1	17.928409
1	18.053642
1	17.622839
1	17.282205
1	19.942161
1	29.535037
1	18.324146
1	17.532671
1	18.589641
1	18.003549
1	18.314128
1	17.733045
1	18.299100
1	17.733045
1	23.699162
1	23.894526
1	17.848260
1	17.232111
1	18.138801
1	17.171999
1	18.554576
1	17.507625
1	17.697979
1	17.542690
1	24.781179
1	23.754265
1	18.088708
1	17.918390
1	17.697979
1	17.843250
1	18.123773
1	18.143810
1	18.594650
1	17.562727
1	23.463724
1	23.103052
1	17.888334
1	17.357345
1	17.968484
1	17.687961
1	18.223960
1	17.532671
1	17.903362
1	17.687961
1	22.932734
1	24.305292
1	17.357345
1	17.938428
1	18.524520
1	17.878316
1	18.218950
1	17.773119
1	18.299100
1	17.748073
1	29.474925
1	18.444370
1	18.549566
1	17.342317
1	18.274053
1	17.512634
1	18.118764
1	17.893344
1	17.973493
1	20.688552
1	29.394776
1	18.078689
1	18.474426
1	18.213941
1	18.118764
1	17.733045
1	17.718017
1	17.612821
1	17.838241
1	22.371689
1	23.619013
1	17.677942
1	17.833232
1	17.808185
1	18.850126
1	18.083698
1	17.697979
1	17.332298
1	18.254016
1	25.402336
1	24.340357
1	17.878316
1	17.567737
1	17.913381
1	17.928409
1	17.527662
1	17.858278
1	17.848260
1	18.218950
1	23.198229
1	23.213257
1	17.662914
1	18.559585
1	17.878316
1	18.053642
1	18.043624
1	17.667923
1	17.367363
1	18.098726
1	22.777445
1	23.649069
1	17.748073
1	18.279062
1	17.692970
1	17.953456
1	18.764968
1	17.662914
1	18.243997
1	18.113754
1	29.239487
1	18.359212
1	17.582765
1	18.178876
1	17.607811
1	18.173866
1	17.647886
1	17.863288
1	17.948446
1	20.508216
1	28.918889
1	17.592783
1	17.758091
1	17.948446
1	17.392410
1	18.389268
1	17.662914
1	17.702989
1	17.402429
1	23.098042
1	23.874489
1	17.873306
1	18.073680
1	17.883325
1	17.793157
1	17.662914
1	18.384258
1	17.878316
1	18.940294
1	25.707906
1	23.674116
1	18.384258
1	17.983512
1	18.334165
1	17.647886
1	17.823213
1	18.584632
1	19.095584
1	18.875173
1	23.874489
1	23.153145
1	17.758091
1	17.427475
1	17.813194
1	17.938428
1	17.713007
1	17.963474
1	17.627849
1	17.652895
1	23.879498
1	22.777445
1	17.803176
1	18.013568
1	18.359212
1	17.928409
1	18.133792
1	17.993530
1	17.652895
1	17.592783
1	24.635908
1	18.965341
1	18.369230
1	17.748073
1	17.632858
1	18.284072
1	17.943437
1	16.911514
1	17.507625
1	21.680401
1	29.960831
1	17.312261
1	18.299100
1	18.013568
1	18.228969
1	17.763101
1	18.329156
1	18.319137
1	18.314128
1	22.376698
1	23.583948
1	17.382391
1	18.264034
1	17.447513
1	17.963474
1	17.492597
1	17.918390
1	17.457531
1	18.404296
1	24.791197
1	23.468733
1	17.798166
1	18.619697
1	17.928409
1	17.983512
1	17.612821
1	18.259025
1	18.299100
1	18.419324
1	23.588957
1	23.764284
1	17.417457
1	18.228969
1	17.472559
1	17.998540
1	18.188894
1	18.269044
1	18.163848
1	18.048633
1	22.957781
1	23.223276
1	17.888334
1	18.208932
1	17.462541
1	17.823213
1	17.998540
1	18.489454
1	17.592783
1	18.063661
1	29.134291
1	18.719884
1	18.309118
1	18.399286
1	18.128782
1	18.259025
1	18.279062
1	17.853269
1	18.304109
1	24.851309
1	24.736095
1	17.753082
1	18.504482
1	18.133792
1	17.422466
1	17.923400
1	17.412447
1	18.003549
1	18.178876
1	22.992846
1	23.178192
1	18.334165
1	17.452522
1	18.163848
1	17.753082
1	17.783138
1	17.687961
1	18.404296
1	18.158838
1	24.019760
1	23.573929
1	17.888334
1	17.733045
1	18.073680
1	17.592783
1	18.694837
1	18.394277
1	17.723026
1	17.753082
1	24.355385
1	23.248322
1	18.519510
1	17.918390
1	18.599660
1	17.342317
1	18.529529
1	17.512634
1	18.769977
1	17.953456
1	25.146860
1	23.143126
1	17.908372
1	17.923400
1	18.133792
1	17.452522
1	18.524520
1	17.562727
1	17.948446
1	18.314128
1	29.635224
1	17.768110
1	17.617830
1	17.702989
1	18.865154
1	17.572746
1	17.813194
1	17.322279
1	17.833232
1	18.800033
1	24.160021
1	19.220817
1	18.128782
1	17.637867
1	17.477569
1	17.477569
1	19.331023
1	17.452522
1	18.404296
1	22.822529
1	23.664097
1	17.252149
1	18.118764
1	17.687961
1	18.474426
1	17.853269
1	19.175733
1	17.723026
1	18.083698
1	22.807501
1	23.929592
1	18.810052
1	18.193904
1	17.502615
1	18.729902
1	17.723026
1	18.173866
1	17.227102
1	18.038614
1	23.233294
1	19.556443
1	17.567737
1	17.868297
1	17.482578
1	18.314128
1	17.848260
1	17.607811
1	17.617830
1	17.838241
1	23.974676
1	22.882641
1	17.953456
1	17.452522
1	18.053642
1	18.599660
1	18.048633
