# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
14607976,1000000000,1
777464,1000000000,1
139183,1000000000,1
304775,1000000000,1
133972,1000000000,1
133191,1000000000,1
216843,1000000000,1
219634,1000000000,1
132071,1000000000,1
214715,1000000000,1
178804,1000000000,1
134792,1000000000,1
146482,1000000000,1
135082,1000000000,1
212473,1000000000,1
229424,1000000000,1
136693,1000000000,1
133902,1000000000,1
131131,1000000000,1
216244,1000000000,1
134913,1000000000,1
129431,1000000000,1
133413,1000000000,1
131851,1000000000,1
129962,1000000000,1
159483,1000000000,1
136791,1000000000,1
218193,1000000000,1
134592,1000000000,1
132892,1000000000,1
# Hoverboard test (1048576 1 800000000)
# time(ns),sleep_time(ns),repetitions
14766449,800000000,1
166012,800000000,1
521259,800000000,1
131601,800000000,1
131502,800000000,1
130942,800000000,1
287104,800000000,1
125413,800000000,1
128923,800000000,1
128303,800000000,1
169792,800000000,1
128121,800000000,1
181362,800000000,1
130881,800000000,1
281874,800000000,1
133263,800000000,1
132282,800000000,1
130132,800000000,1
132922,800000000,1
125012,800000000,1
135161,800000000,1
126682,800000000,1
130141,800000000,1
124242,800000000,1
132682,800000000,1
196953,800000000,1
133021,800000000,1
124422,800000000,1
132873,800000000,1
126133,800000000,1
# Hoverboard test (1048576 1 600000000)
# time(ns),sleep_time(ns),repetitions
11426254,600000000,1
164653,600000000,1
228505,600000000,1
283355,600000000,1
132612,600000000,1
130072,600000000,1
186693,600000000,1
337926,600000000,1
134572,600000000,1
215913,600000000,1
167003,600000000,1
129903,600000000,1
218374,600000000,1
131592,600000000,1
183602,600000000,1
124542,600000000,1
131122,600000000,1
123031,600000000,1
180043,600000000,1
132682,600000000,1
129942,600000000,1
126002,600000000,1
131891,600000000,1
132902,600000000,1
128271,600000000,1
242045,600000000,1
132592,600000000,1
176062,600000000,1
131653,600000000,1
128981,600000000,1
# Hoverboard test (1048576 1 400000000)
# time(ns),sleep_time(ns),repetitions
11283302,400000000,1
170673,400000000,1
394887,400000000,1
130163,400000000,1
124661,400000000,1
127183,400000000,1
125682,400000000,1
125342,400000000,1
279366,400000000,1
127433,400000000,1
152032,400000000,1
125592,400000000,1
135282,400000000,1
126872,400000000,1
129291,400000000,1
121921,400000000,1
205484,400000000,1
129132,400000000,1
125542,400000000,1
132192,400000000,1
212804,400000000,1
128493,400000000,1
123091,400000000,1
128492,400000000,1
125252,400000000,1
154552,400000000,1
209793,400000000,1
126981,400000000,1
128962,400000000,1
121412,400000000,1
# Hoverboard test (1048576 1 200000000)
# time(ns),sleep_time(ns),repetitions
11598998,200000000,1
166804,200000000,1
117262,200000000,1
132662,200000000,1
133912,200000000,1
392576,200000000,1
133103,200000000,1
129873,200000000,1
130321,200000000,1
131402,200000000,1
146693,200000000,1
132701,200000000,1
136402,200000000,1
130221,200000000,1
129552,200000000,1
275285,200000000,1
