# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: tcn528.local.snellius.surf.nl
# Release : 4.18.0-372.80.1.el8_6.x86_64
# Version : #1 SMP Fri Nov 3 14:30:16 EDT 2023
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 19.998804 
# Number of iterations (recorded+unrecorded): 1849057953 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	11229.33
999960.22	3489.79
1999860.45	2509.85
2999780.67	2249.87
3999640.90	3909.77
4999541.13	1949.88
5999391.36	1979.88
6999461.57	2949.82
7999361.80	2259.86
8999212.03	2219.87
9999192.25	3179.81
10999012.48	1939.88
11999022.70	1879.89
12998992.92	1949.88
13998873.15	1829.89
14998793.37	1969.88
15998683.60	1859.89
16998613.82	2029.88
17998574.05	2139.87
18968056.09	16868.99
18998484.27	5949.64
19998324.50	4939.70
20998374.72	4649.72
21998214.95	4619.72
22998085.17	2899.83
23998095.39	6249.63
24997975.62	3189.81
25997805.85	4079.76
26997876.07	2279.86
27997766.29	4159.75
28997726.52	2109.87
29997586.74	2099.87
30997456.97	9079.46
31997647.18	2799.83
32997417.41	2099.87
33997277.64	2339.86
34997217.87	2979.82
35997168.09	1879.89
36996978.32	2149.87
37996898.55	1939.88
38996928.76	3649.78
39996729.00	26058.44
40023927.37	10579.37
40996729.22	3549.79
41996579.44	2269.86
42996539.67	2289.86
43996429.89	1989.88
44996350.12	2989.82
45996310.34	2929.82
46996190.57	2269.86
47996220.79	2399.86
48996071.01	2959.82
49996001.24	2829.83
50995961.46	1929.88
51995821.69	2059.88
52995811.91	2129.87
53340801.29	359.98
53342061.21	409.98
53343341.14	279.98
53344611.06	319.98
53995712.14	4759.72
54995532.37	7799.53
55995732.58	2349.86
56995412.81	3359.80
57995423.03	2689.84
58995223.27	5079.70
59995173.49	2219.87
60995153.71	2079.88
61994993.94	1999.88
62994924.16	7369.56
63995254.36	2999.82
64994734.61	1839.89
65994654.84	1879.89
66994625.06	1999.88
67994555.29	2109.87
68994425.51	1999.88
69994355.74	1849.89
70994295.96	3929.77
71601909.64	25618.47
71994236.18	7439.56
72994206.41	4629.72
73994076.63	2819.83
74994056.86	2219.87
75993887.09	1959.88
76993917.30	6739.60
77375254.51	20898.75
77993797.53	3689.78
78993667.76	3879.77
79993557.99	1969.88
80993598.20	4119.75
81993518.43	2349.86
82993418.65	2039.88
83993218.89	2209.87
84993199.11	4339.74
85993059.33	2699.84
86992979.56	2209.87
87992949.78	2029.88
88992880.01	4189.75
89992850.23	2269.86
90992720.46	2139.87
91930494.40	8519.49
91992630.68	5309.68
92992560.90	3879.77
93992541.13	3759.78
94992501.35	2069.88
95992311.58	3589.79
96992221.80	4459.73
97992132.03	2509.85
98992152.25	2219.87
99991972.48	1959.88
100992022.70	4229.75
101991892.92	2179.87
102991833.15	2039.88
103991793.37	2199.87
104991593.60	4189.75
105991613.82	3149.81
106991434.05	4329.74
107991354.28	2609.84
108991404.49	2689.84
109991264.72	3179.81
110991094.95	2109.87
111991135.17	1949.88
112991015.40	1859.89
113990965.62	2259.86
114990825.85	9229.45
115991006.06	2779.83
116990756.29	3839.77
117990586.52	3929.77
118990686.74	4039.76
119990416.97	3369.80
120990437.19	3349.80
121990267.42	2189.87
122990217.64	1889.89
123990197.87	2749.84
124990008.10	3199.81
125990018.32	1919.89
126989868.55	2329.86
127989798.77	1869.89
128989758.99	2199.87
129989719.21	3079.82
130989609.44	2259.86
131989469.67	2339.86
132989409.89	2899.83
133989290.12	2959.82
134989220.34	2049.88
135989190.57	3479.79
136989150.79	2209.87
137221826.88	509.97
137223156.80	309.98
137224396.73	379.98
137225666.65	429.97
137682939.31	22168.67
137988961.02	5759.66
138988911.24	9339.44
139989131.45	4109.75
140988761.69	2009.88
141988701.92	2379.86
142988672.14	6669.60
143988562.36	2319.86
144988422.59	2169.87
145988352.82	2029.88
146988313.04	8619.48
147988563.24	2649.84
148988183.49	1879.89
149988153.71	2029.88
150987943.94	4719.72
151987974.16	2389.86
152987804.39	3179.81
153987764.61	3729.78
154987694.84	3719.78
155924038.86	21398.72
155963566.50	4559.73
155987585.06	4789.71
156987605.28	4119.75
157987395.51	2279.86
158239900.42	21768.70
158987405.73	2979.82
159987325.96	2269.86
160987196.19	5619.66
161987196.41	2539.85
162987036.63	2159.87
163986956.86	1899.89
164986927.08	4149.75
165986807.31	1949.88
166986677.54	2189.87
167986627.76	1819.89
168986537.98	1869.89
169986498.21	1969.88
