#size	rtt
8	2.503745
8	3.583708
8	5.254300
8	5.478467
8	3.016751
8	2.139069
8	2.833762
8	4.991418
8	3.887325
8	3.510017
8	3.006437
8	3.161028
8	2.803870
8	2.361331
8	3.165061
8	2.298052
8	3.503671
8	2.081534
8	3.400231
8	1.974373
8	4.758375
8	2.714205
8	2.657477
8	10.159538
8	2.049260
8	2.447005
8	3.116401
8	3.455402
8	2.767516
8	2.280029
8	2.854504
8	2.106806
8	2.881398
8	2.084016
8	4.032721
8	4.088601
8	2.554441
8	3.539658
8	2.108787
8	3.097605
8	2.147348
8	2.796628
8	2.023629
8	3.034254
8	1.963864
8	3.037632
8	2.384280
8	3.012799
8	3.467289
8	2.985691
8	2.216088
8	4.819654
8	2.058681
8	2.993098
8	2.686830
8	3.095928
8	2.578308
8	3.665113
8	4.458347
8	1.357399
8	3.131555
8	3.114900
8	2.742130
8	4.008301
8	1.898650
8	4.451329
8	2.221019
8	2.890217
8	2.167247
8	3.057221
8	1.993346
8	2.969092
8	2.289079
8	2.735020
8	2.252459
8	3.047895
8	2.537845
8	2.868798
8	2.033608
8	3.691857
8	2.288015
8	3.072404
8	2.039231
8	2.608265
8	2.291043
8	2.735218
8	2.529551
8	2.067125
8	3.546767
8	3.419334
8	2.912226
8	3.272796
8	2.352729
8	3.393597
8	3.261039
8	2.535047
8	2.357426
8	2.591280
8	2.237571
8	2.771906
8	2.564883
8	2.675848
8	3.920176
8	2.862951
8	2.319099
8	3.875130
8	3.257987
8	4.604614
8	2.444322
8	2.304197
8	2.786487
8	2.085649
8	2.950403
8	2.207395
8	2.919538
8	3.567185
8	3.122526
8	2.431636
8	2.895330
8	5.184888
8	4.584959
8	3.865766
8	2.827186
8	3.851543
8	2.108605
8	2.903413
8	2.059397
8	2.624623
8	2.386854
8	2.590561
8	2.377224
8	3.178464
8	5.243693
8	2.509260
8	2.467281
8	3.853221
8	3.140558
8	2.115615
8	2.910684
8	3.631307
8	2.206150
8	2.631163
8	2.109854
8	2.697981
8	2.365729
8	2.569460
8	2.513288
8	2.549337
8	2.504356
8	2.009475
8	7.616088
8	2.151505
8	3.539195
8	3.112109
8	2.829525
8	3.253718
8	2.039233
8	2.934947
8	2.226784
8	2.536769
8	2.746828
8	2.829523
8	2.143198
8	4.248945
8	2.257294
8	2.487503
8	2.075085
8	2.582476
8	2.469304
8	2.303645
8	2.599816
8	2.365475
8	2.521526
8	2.472387
8	3.214635
8	2.565116
8	3.236447
8	2.523210
8	2.086030
8	2.288527
8	2.478609
8	2.056263
8	2.744625
8	2.076811
8	3.290538
8	3.731632
8	2.500703
8	2.871810
8	2.115186
8	2.325468
8	2.283650
8	2.581281
8	2.110026
8	2.538049
8	1.914604
8	2.508428
8	1.953186
8	2.602742
8	2.013776
8	2.729694
8	2.009892
8	2.604136
8	2.367117
8	2.378866
8	2.350731
8	2.029718
8	3.804865
8	2.169805
8	2.658055
8	1.971759
8	2.466075
8	2.499557
8	2.022104
8	2.511173
8	2.212747
8	2.586854
8	2.871891
8	3.766677
8	2.278013
8	2.704677
8	2.289847
8	2.364911
8	2.687412
8	2.124859
8	2.542374
8	1.970894
8	2.439027
8	2.057293
8	2.457556
8	1.968425
8	2.598239
8	2.656472
8	2.710014
8	2.294341
8	2.653417
8	2.449678
8	2.422981
8	2.112688
8	2.652096
8	2.192612
8	2.391727
8	2.069110
8	3.349805
8	2.281837
8	2.811151
8	2.444872
8	3.170252
8	2.259357
8	3.915726
8	6.258468
8	3.863139
8	1.563056
8	2.913102
8	2.260666
8	2.098432
8	2.173841
8	2.673174
8	2.414183
8	2.609084
8	2.350863
8	2.568015
8	3.384561
8	2.337922
8	2.078067
8	2.666558
8	2.330745
8	2.715379
8	1.818847
8	2.433635
8	2.236695
8	2.198036
8	2.544798
8	2.115051
8	2.483866
8	7.423778
8	2.437766
8	3.487683
8	2.955071
8	2.936216
8	2.333734
8	2.816905
8	2.971373
8	2.661490
8	3.590299
8	2.367812
8	2.576577
8	2.477785
8	2.158994
8	5.631975
8	2.858574
8	3.004294
8	2.353052
8	2.589580
8	2.308768
8	2.532103
8	2.171623
8	2.191192
8	1.950269
8	2.165125
8	2.133494
8	2.199876
8	1.983279
8	2.485489
8	2.222334
8	2.130557
8	2.657767
8	2.428332
8	2.444598
8	2.392279
8	2.423224
8	2.154126
8	2.207584
8	2.681792
8	3.962990
8	2.550483
8	2.561636
8	3.013520
8	2.715970
8	2.020816
8	3.664528
8	2.744367
8	2.727293
8	2.237307
8	2.699067
8	1.934771
8	2.199990
8	2.012407
8	2.417230
8	2.032425
8	2.188638
8	2.790115
8	2.388184
8	2.373015
8	2.765705
8	2.596059
8	2.436919
8	2.316017
8	2.296089
8	2.444353
8	2.443199
8	2.435130
8	2.490123
8	2.308023
8	2.104398
8	3.318023
8	2.647371
8	2.570249
8	2.962507
8	2.457783
8	2.354610
8	2.215469
8	2.381499
8	2.388909
8	2.167952
8	2.341953
8	2.417713
8	2.253655
8	2.316653
8	3.013076
8	2.268216
8	2.121286
8	2.105183
8	1.965753
8	2.663055
8	2.527975
8	2.684927
8	2.385146
8	2.131116
8	2.120602
8	2.433136
8	2.183827
8	2.231954
8	2.232011
8	2.013184
8	2.643890
8	3.351336
8	5.821539
8	4.764760
8	2.318364
8	3.000355
8	2.093395
8	1.978956
8	2.091134
8	2.018256
8	2.484652
8	2.402376
8	2.119062
8	2.314041
8	2.279623
8	2.103676
8	5.900833
8	2.495799
8	2.263088
8	2.388721
8	2.244846
8	2.203381
8	2.013233
8	1.951023
8	3.134113
8	2.622279
8	2.175460
8	2.341300
8	2.623631
8	2.508952
8	2.342710
8	2.490750
8	2.098593
8	2.151394
8	2.828785
8	3.451432
8	2.534939
8	2.834710
8	2.098507
8	2.219597
8	2.393441
8	1.942462
8	2.044433
8	1.977803
8	2.429766
8	1.850919
8	3.167585
8	2.445252
8	2.210202
8	2.060284
8	2.036726
8	1.978138
8	2.011156
8	1.949885
8	2.280106
8	2.585625
8	2.000226
8	2.508612
8	2.653262
8	2.637002
8	2.064010
8	2.644260
8	2.651921
8	2.673350
8	2.299971
8	2.279629
8	3.065292
8	4.344254
8	2.111346
8	3.763544
8	2.081694
8	2.321892
8	2.926448
8	2.740795
8	2.242019
8	2.498474
8	2.185532
8	2.028641
8	2.202600
8	2.110643
8	2.235754
8	2.037356
8	2.247476
8	4.851709
8	1.933021
8	2.469076
8	2.763930
8	2.746359
8	3.126406
8	2.804627
8	2.072967
8	2.572329
8	2.228423
8	2.827253
8	2.036551
8	2.483429
8	2.083482
8	2.541664
8	2.804675
8	3.974367
8	5.197663
8	2.329036
8	2.038466
8	2.106736
8	1.983803
8	2.089808
8	2.031252
8	2.169417
8	2.243551
8	1.987488
8	2.107599
8	1.943847
8	2.880972
8	2.054729
8	2.750034
8	2.717773
8	2.893445
8	2.178598
8	2.631077
8	2.070251
8	2.217317
8	2.249536
8	2.310962
8	2.793549
8	2.088827
8	2.652008
8	2.832854
8	2.197836
8	2.181637
8	2.347326
8	3.714294
8	5.266301
8	1.853467
8	3.296992
8	2.192897
8	2.237092
8	2.047313
8	2.235195
8	1.935228
8	2.016787
8	3.501557
8	1.974742
8	3.078956
8	3.113624
8	2.781589
8	1.948307
8	2.770599
8	2.065369
8	2.462249
8	2.057210
8	2.273905
8	1.944803
8	2.819182
8	2.261236
8	3.554542
8	1.955942
8	2.190170
8	6.748032
8	2.843870
8	2.096218
8	2.647427
8	1.844901
