#size	rtt
1	1.968577
1	1.843349
1	1.763204
1	1.883422
1	1.698085
1	1.853368
1	2.549633
1	1.718122
1	1.688067
1	1.703095
1	1.703095
1	1.698085
1	1.788249
1	1.703095
1	1.943531
1	1.733149
1	1.688067
1	1.813295
1	1.668031
1	1.693076
1	1.728140
1	1.688067
1	1.913477
1	1.703095
1	1.718122
1	1.768213
1	1.768213
1	1.673040
1	1.678049
1	1.718122
1	1.878413
1	3.456280
1	1.743167
1	1.693076
1	1.768213
1	1.753186
1	1.668031
1	1.768213
1	1.838340
1	1.683058
1	1.688067
1	1.703095
1	1.733149
1	1.733149
1	1.708104
1	1.753186
1	1.923495
1	1.703095
1	1.783240
1	1.818304
1	1.748176
1	1.733149
1	1.743167
1	1.688067
1	1.838340
1	1.703095
1	1.748176
1	1.763204
1	1.693076
1	1.763204
1	1.748176
1	1.718122
1	2.529596
1	3.260925
1	1.723131
1	1.768213
1	1.718122
1	1.698085
1	1.748176
1	1.698085
1	1.888431
1	1.698085
1	1.738158
1	1.753186
1	1.748176
1	1.808286
1	1.733149
1	1.748176
1	2.068759
1	1.733149
1	1.733149
1	1.738158
1	1.728140
1	1.673040
1	1.723131
1	1.668031
1	1.873404
1	1.743167
1	1.783240
1	1.758195
1	1.738158
1	1.703095
1	1.698085
1	1.733149
1	1.903459
1	1.718122
1	1.688067
1	1.718122
1	2.464478
1	1.703095
1	1.738158
1	1.698085
1	1.833331
1	1.728140
1	1.773222
1	1.748176
1	1.683058
1	1.823313
1	1.708104
1	1.748176
1	1.868395
1	1.698085
1	1.858377
1	1.678049
1	1.688067
1	1.743167
1	1.748176
1	1.683058
1	1.863386
1	1.718122
1	1.678049
1	1.708104
1	1.688067
1	1.723131
1	1.703095
1	1.673040
1	2.349269
1	2.529596
1	1.798268
1	1.718122
1	1.868395
1	1.683058
1	1.713113
1	1.733149
1	1.983604
1	1.753186
1	1.683058
1	1.683058
1	1.703095
1	1.713113
1	1.898450
1	1.693076
1	1.873404
1	1.678049
1	1.753186
1	1.693076
1	1.698085
1	1.728140
1	1.678049
1	1.778231
1	2.068759
1	1.833331
1	1.783240
1	1.798268
1	1.788249
1	1.788249
1	1.783240
1	1.783240
1	1.943531
1	1.808286
1	1.793258
1	1.703095
1	1.713113
1	1.708104
1	1.783240
1	1.688067
1	1.863386
1	1.788249
1	1.868395
1	1.758195
1	1.788249
1	1.808286
1	1.683058
1	1.783240
1	1.828322
1	1.788249
1	1.828322
1	1.683058
1	1.708104
1	1.893440
1	1.808286
1	1.778231
1	1.948541
1	1.793258
1	1.828322
1	1.688067
1	1.798268
1	1.818304
1	1.788249
1	1.778231
1	2.419396
1	1.763204
1	1.828322
1	1.713113
1	1.688067
1	1.798268
1	1.803277
1	1.828322
1	1.963568
1	1.793258
1	1.683058
1	1.818304
1	1.793258
1	1.718122
1	1.788249
1	1.713113
1	1.898450
1	1.828322
1	1.808286
1	1.803277
1	1.798268
1	1.708104
1	1.683058
1	1.713113
1	1.838340
1	1.808286
1	1.788249
1	1.798268
1	1.788249
1	1.698085
1	1.838340
1	1.808286
1	1.963568
1	1.798268
1	1.783240
1	1.773222
1	1.688067
1	1.783240
1	1.658013
1	1.678049
1	1.828322
1	1.713113
1	1.783240
1	1.688067
1	1.813295
1	1.793258
1	1.693076
1	1.688067
1	1.863386
1	1.928504
1	1.703095
1	1.713113
1	1.673040
1	1.703095
1	1.823313
1	1.758195
1	1.823313
1	1.683058
1	1.798268
1	1.833331
1	1.853368
1	1.788249
1	1.693076
1	1.838340
1	2.439433
1	1.693076
1	1.713113
1	1.743167
1	1.733149
1	1.803277
1	1.708104
1	1.783240
1	1.823313
1	1.818304
1	1.683058
1	1.798268
1	1.793258
1	1.798268
1	1.828322
1	1.698085
1	1.863386
1	1.798268
1	1.793258
1	1.788249
1	1.783240
1	1.798268
1	1.798268
1	1.673040
1	2.018668
1	1.798268
1	1.813295
1	1.698085
1	1.693076
1	1.803277
1	1.713113
1	1.793258
1	1.858377
1	1.823313
1	1.658013
1	1.683058
1	1.798268
1	1.803277
1	1.798268
1	1.708104
1	1.863386
1	1.798268
1	1.698085
1	1.698085
1	1.793258
1	1.803277
1	1.778231
1	1.698085
1	1.943531
1	1.873404
1	1.788249
1	1.823313
1	1.803277
1	1.833331
1	1.693076
1	1.683058
1	1.868395
1	1.833331
1	1.783240
1	1.668031
1	1.788249
1	1.793258
1	1.823313
1	1.788249
1	2.444442
1	1.753186
1	1.698085
1	1.728140
1	1.723131
1	1.718122
1	1.708104
1	1.698085
1	1.828322
1	1.748176
1	1.753186
1	1.723131
1	1.698085
1	1.723131
1	1.758195
1	1.753186
1	1.878413
1	1.883422
1	1.783240
1	1.853368
1	1.763204
1	1.683058
1	1.723131
1	1.813295
1	1.903459
1	1.788249
1	1.733149
1	1.723131
1	1.703095
1	1.738158
1	1.723131
1	1.748176
1	1.898450
1	1.813295
1	1.713113
1	1.693076
1	1.703095
1	1.698085
1	1.788249
1	1.818304
1	1.838340
1	1.708104
1	1.798268
1	1.668031
1	1.908468
1	1.678049
1	1.813295
1	1.728140
1	1.833331
1	1.698085
1	1.668031
1	1.683058
1	1.683058
1	1.788249
1	1.693076
1	1.708104
1	1.843349
1	1.693076
1	1.698085
1	1.793258
1	1.688067
1	1.718122
1	1.808286
1	1.788249
1	2.339250
1	1.753186
1	1.748176
1	1.818304
1	1.758195
1	1.688067
1	1.698085
1	1.793258
1	1.858377
1	1.738158
1	1.708104
1	1.683058
1	1.778231
1	1.703095
1	1.708104
1	1.733149
1	1.903459
1	1.698085
1	1.728140
1	1.693076
1	1.713113
1	1.713113
1	1.728140
1	1.673040
1	1.893440
1	1.743167
1	1.728140
1	1.738158
1	1.753186
1	1.683058
1	1.733149
1	1.858377
1	1.853368
