#size	rtt
1	4.162563
1	1.693076
1	1.733149
1	1.763204
1	1.582876
1	1.572858
1	1.698085
1	1.587885
1	1.713113
1	1.637976
1	1.758194
1	1.612931
1	1.818304
1	1.868395
1	1.918486
1	1.673040
1	1.607921
1	1.567849
1	1.592894
1	1.607921
1	1.552821
1	1.542803
1	1.592894
1	1.597903
1	1.617940
1	1.562840
1	1.577867
1	1.683058
1	1.557830
1	1.668031
1	1.723131
1	1.602912
1	1.542803
1	1.567849
1	1.577867
1	1.542803
1	1.537794
1	1.542803
1	1.567849
1	1.622949
1	1.547812
1	1.542803
1	1.612931
1	1.678049
1	1.658012
1	1.678049
1	1.647994
1	1.562840
1	1.582876
1	1.567849
1	1.562840
1	1.582876
1	1.557830
1	1.718122
1	1.617940
1	4.428045
1	1.627958
1	1.627958
1	1.597903
1	1.572858
1	1.572858
1	1.632967
1	1.693076
1	1.587885
1	1.572858
1	1.597903
1	1.602912
1	1.587885
1	1.602912
1	1.572858
1	1.562840
1	1.577867
1	1.567849
1	1.567849
1	1.562840
1	1.592894
1	1.597903
1	1.622949
1	1.637976
1	1.567849
1	1.567849
1	1.577867
1	1.557830
1	1.602912
1	1.572858
1	1.552821
1	1.612931
1	1.567849
1	1.567849
1	1.597903
1	1.597903
1	1.562840
1	1.572858
1	1.622949
1	1.668031
1	1.612931
1	1.572858
1	1.607921
1	1.587885
1	1.572858
1	1.602912
1	1.572858
1	1.572858
1	1.562840
1	1.587885
1	1.567849
1	1.557830
1	1.582876
1	1.567849
1	1.617940
1	1.673040
1	1.592894
1	1.788249
1	1.587885
1	1.567849
1	1.567849
1	1.577867
1	1.567849
1	1.622949
1	1.708103
1	1.572858
1	1.698085
1	1.562840
1	1.572858
1	1.562840
1	1.637976
1	1.637976
1	1.698085
1	1.592894
1	1.607921
1	1.572858
1	1.567849
1	1.572858
1	1.612931
1	1.587885
1	1.577867
1	1.572858
1	1.597903
1	1.587885
1	1.577867
1	1.567849
1	3.546444
1	1.642985
1	1.577867
1	1.582876
1	1.587885
1	1.592894
1	1.587885
1	1.602912
1	1.622949
1	1.557830
1	1.572858
1	1.597903
1	1.567849
1	1.572858
1	1.562840
1	1.637976
1	1.642985
1	1.668031
1	1.582876
1	1.567849
1	1.582876
1	1.658012
1	1.562840
1	1.592894
1	1.567849
1	1.557830
1	1.567849
1	1.582876
1	1.567849
1	1.562840
1	1.602912
1	1.572858
1	1.673040
1	1.663022
1	1.572858
1	1.567849
1	1.577867
1	1.597903
1	1.597903
1	1.562840
1	1.577867
1	1.602912
1	1.567849
1	1.567849
1	1.597903
1	1.582876
1	1.587885
1	4.413018
1	1.768213
1	1.668031
1	1.602912
1	1.577867
1	1.582876
1	1.567849
1	1.552821
1	1.602912
1	1.577867
1	1.567849
1	1.617940
1	1.587885
1	1.622949
1	1.587885
1	1.587885
1	1.567849
1	1.668031
1	1.642985
1	1.602912
1	2.614751
1	1.577867
1	1.587885
1	1.562840
1	1.562840
1	1.567849
1	1.582876
1	1.617940
1	1.562840
1	1.562840
1	1.683058
1	1.567849
1	1.572858
1	1.637976
1	1.653003
1	1.607921
1	1.567849
1	1.562840
1	1.562840
1	1.587885
1	1.567849
1	1.597903
1	1.607921
1	1.572858
1	1.577867
1	1.607921
1	1.562840
1	1.572858
1	1.567849
1	1.642985
1	1.637976
1	1.592894
1	1.612931
1	1.562840
1	1.572858
1	1.597903
1	1.597903
1	1.577867
1	1.562840
1	1.572858
1	1.562840
1	1.572858
1	1.602912
1	1.577867
1	1.587885
1	1.627958
1	2.264114
1	1.693076
1	1.647994
1	1.647994
1	1.627958
1	1.572858
1	1.572858
1	3.841980
1	1.612931
1	1.602912
1	1.637976
1	1.587885
1	1.577867
1	1.572858
1	1.572858
1	1.647994
1	1.658012
1	1.602912
1	1.577867
1	1.612931
1	1.602912
1	1.577867
1	1.622949
1	1.587885
1	1.572858
1	1.572858
1	1.582876
1	1.587885
1	1.552821
1	1.582876
1	1.562840
1	1.658012
1	1.647994
1	1.582876
1	1.607921
1	1.602912
1	1.577867
1	1.572858
1	1.572858
1	1.592894
1	1.587885
1	1.572858
1	1.567849
1	1.602912
1	1.587885
1	1.577867
1	1.607921
1	1.637976
1	1.678049
1	1.577867
1	1.577867
1	1.572858
1	1.567849
1	1.567849
1	1.597903
1	1.577867
1	1.607921
1	1.577867
1	1.567849
1	1.567849
1	1.577867
1	1.597903
1	1.577867
1	1.673040
1	1.683058
1	1.582876
1	1.627958
1	1.577867
1	1.577867
1	1.577867
1	1.572858
1	1.567849
1	1.577867
1	1.557830
1	1.582876
1	1.567849
1	1.577867
1	1.572858
1	1.612931
1	1.668031
1	1.647994
1	1.552821
1	1.582876
1	1.572858
1	1.582876
1	1.582876
1	1.587885
1	1.582876
1	1.607921
1	1.582876
1	1.617940
1	1.597903
1	1.622949
1	1.597903
1	1.572858
1	1.647994
1	1.818304
1	1.592894
1	1.567849
1	1.587885
1	1.577867
1	1.562840
1	1.602912
1	1.587885
1	1.572858
1	1.567849
1	2.414387
1	1.607921
1	1.793258
1	1.572858
1	1.597903
1	1.748176
1	1.642985
1	1.577867
1	1.572858
1	1.557830
1	1.577867
1	1.587885
1	1.567849
1	1.562840
1	1.592894
1	2.269123
1	1.587885
1	1.577867
1	1.552821
1	1.587885
1	1.572858
1	1.632967
1	1.698085
1	1.597903
1	1.592894
