#size	rtt
4	1.770085
4	2.153801
4	1.476153
4	2.570345
4	1.460401
4	4.740257
4	3.157282
4	5.071545
4	3.432122
4	2.020760
4	19.023859
4	3.618911
4	0.991043
4	2.972444
4	1.286165
4	2.685980
4	2.245924
4	3.169398
4	1.366645
4	2.632934
4	1.336593
4	3.031435
4	1.331734
4	2.999957
4	14.071647
4	26.133002
4	1.757003
4	3.139622
4	2.932067
4	2.529408
4	1.452310
4	2.378864
4	1.327461
4	1.862498
4	2.186624
4	1.810907
4	1.808729
4	2.031513
4	8.426632
4	14.448833
4	1.822995
4	2.471065
4	1.330749
4	2.294957
4	1.823277
4	1.938502
4	1.937764
4	1.612048
4	1.931292
4	1.505578
4	1.924817
4	1.469105
4	2.018336
4	1.927853
4	1.419010
4	2.366081
4	1.989112
4	17.156346
4	1.884292
4	8.187564
4	1.314485
4	2.966120
4	1.254632
4	3.214622
4	1.299771
4	1.749814
4	2.489832
4	6.941475
4	1.420047
4	2.315213
4	1.930153
4	2.034357
4	2.033006
4	1.727285
4	2.014783
4	1.685809
4	1.950055
4	1.315690
4	2.438552
4	1.425822
4	2.190663
4	20.120418
4	25.992061
4	1.701085
4	2.859097
4	1.431245
4	2.847612
4	1.821360
4	2.303456
4	4.943601
4	1.986567
4	2.348869
4	2.426679
4	1.382446
4	2.386651
4	8.318701
4	13.665888
4	1.397100
4	2.873091
4	2.407946
4	1.147331
4	3.551397
4	2.237399
4	2.059992
4	1.767572
4	2.448489
4	1.812710
4	1.899375
4	1.922850
4	1.520591
4	2.429787
4	1.488085
4	2.626723
4	1.338237
4	3.106795
4	1.485978
4	3.320279
4	1.183533
4	2.833823
4	1.793633
4	1.917022
4	11.583395
4	1.713870
4	2.249945
4	27.612221
4	0.897112
4	2.762603
4	1.224265
4	3.126105
4	1.589387
4	2.164622
4	1.959503
4	1.858161
4	1.597434
4	2.071669
4	1.409822
4	2.235185
4	1.264973
4	14.487629
4	19.832173
4	1.720151
4	2.711478
4	1.660297
4	2.415019
4	1.500451
4	2.383514
4	1.240610
4	2.962005
4	1.845710
4	2.135573
4	1.375882
4	2.889057
4	1.800042
4	8.911021
4	1.836142
4	2.171050
4	2.601231
4	1.561373
4	2.078829
4	1.457245
4	3.292278
4	2.430422
4	3.330763
4	1.486805
4	2.554325
4	1.456948
4	2.852831
4	24.988206
4	3.801294
4	1.573284
4	2.884856
4	1.537367
4	2.313410
4	1.537508
4	1.841962
4	1.482653
4	1.720493
4	1.769752
4	1.929001
4	1.708276
4	1.867979
4	9.471803
4	14.135486
4	1.860536
4	2.699527
4	7.585659
4	1.868414
4	2.707170
4	1.893555
4	2.105722
4	1.298736
4	2.764208
4	1.538861
4	2.907716
4	1.808984
4	2.736239
4	5.070411
4	1.204861
4	2.259063
4	1.839335
4	1.817604
4	1.796866
4	1.541146
4	1.635404
4	2.484614
4	1.374789
4	2.608135
4	1.259937
4	3.396605
4	1.840040
4	18.737630
4	24.488416
4	1.322063
4	3.287904
4	1.250264
4	3.351415
4	1.829691
4	5.954008
4	1.745690
4	2.278437
4	2.735765
4	1.265935
4	2.461204
4	1.441064
4	6.730947
4	12.468536
4	1.256287
4	3.052490
4	1.367714
4	3.270993
4	1.386561
4	3.064517
4	1.496695
4	2.738053
4	1.501836
4	2.231602
4	1.926948
4	1.600161
4	1.477120
4	24.361066
4	2.991833
4	2.987089
4	2.121385
4	1.332487
4	2.269901
4	1.202637
4	2.688404
4	1.283094
4	2.563044
4	14.997594
4	1.717983
4	2.284427
4	2.893045
4	1.573206
4	1.538281
4	1.861459
4	1.723409
4	1.793492
4	2.189043
4	1.828631
4	1.832585
4	1.398801
4	2.016101
4	1.838912
4	1.579649
4	1.903893
4	1.423185
4	20.054708
4	24.170647
4	1.249375
4	2.870139
4	2.249418
4	1.849548
4	1.947959
4	1.524711
4	1.449786
4	1.680762
4	1.395042
4	2.104263
4	1.285078
4	2.557764
4	4.994654
4	9.555093
4	1.406512
4	3.649740
4	1.225508
4	2.563309
4	1.435634
4	2.731824
4	1.331108
4	2.695351
4	1.331168
4	3.173842
4	1.261069
4	2.727386
4	1.321206
4	23.430672
4	27.811857
4	1.545383
4	2.253744
4	2.076505
4	2.002280
4	1.776666
4	1.945808
4	1.866801
4	2.024324
4	1.351977
4	2.682808
4	1.377116
4	2.991315
4	7.434058
4	12.439406
4	1.648129
4	6.385252
4	1.867515
4	2.511799
4	2.462617
4	1.867729
4	2.069596
4	1.857870
4	1.638147
4	1.808015
4	1.463108
4	1.815927
4	1.433251
4	2.994346
4	1.430265
4	2.972864
4	1.383461
4	3.071373
4	1.466656
4	2.899901
4	1.903789
4	2.198450
4	1.903930
4	1.856993
4	1.604091
4	1.640523
4	1.754223
4	16.974903
4	22.302362
4	1.794155
4	2.951764
4	1.432367
4	2.850289
4	4.074717
4	2.034772
4	2.773011
4	1.415517
4	3.076490
4	1.455097
4	2.600038
4	1.636883
4	4.828196
4	9.417537
4	1.515443
4	1.946411
4	1.485586
4	2.079931
4	1.585719
4	2.513429
4	1.326143
4	2.926924
4	1.845985
4	2.375467
4	1.412525
4	2.463993
4	1.440696
4	22.325801
4	26.711931
4	1.711485
4	2.325325
4	1.761623
4	2.108859
4	1.311801
4	2.812343
4	2.745112
4	9.517677
4	1.757064
4	2.034240
4	2.972123
4	1.348376
4	14.319019
4	19.135500
4	2.018093
4	3.189737
4	1.501317
4	2.328302
4	1.752770
4	2.176831
4	1.697915
4	2.435337
4	1.328082
4	2.503847
4	1.489077
4	3.137332
4	1.846648
4	4.595791
4	1.705447
4	2.229422
4	1.518641
4	2.667919
4	1.676825
4	2.546441
4	1.485026
4	2.344976
4	1.473210
4	2.843469
4	1.626327
4	6.492346
4	1.774332
4	23.379843
4	28.733477
4	1.819573
4	1.744619
4	1.369715
4	2.146735
4	1.304860
4	2.550233
4	1.494166
4	2.928733
4	1.712356
4	2.892250
4	1.425277
4	2.695764
4	10.313166
4	14.609736
4	2.071947
4	3.067781
4	1.763480
4	3.176286
4	1.463376
4	2.454842
4	1.591561
4	2.388368
4	1.791101
4	2.011909
4	1.447929
4	2.905381
4	1.891377
4	3.903817
4	7.015036
4	1.961245
4	2.061556
4	2.446708
4	1.455106
4	1.766896
4	1.458628
4	1.847032
4	1.402132
4	2.276365
4	1.257283
4	2.294886
4	1.357418
4	21.583961
4	26.241574
4	1.898538
4	2.040187
4	2.150435
4	1.752815
4	2.318945
4	1.832952
4	1.807495
4	1.868090
4	1.651024
4	1.443261
4	1.484558
4	1.863796
4	5.967405
4	11.821860
4	1.865885
4	1.990833
4	1.918529
4	6.715104
4	2.297477
4	2.297752
4	2.518973
4	1.439118
4	1.720559
4	1.880537
4	2.109028
4	1.413744
4	3.972432
4	4.051696
4	1.304626
4	2.670270
4	1.441773
4	2.638794
4	1.704940
4	3.112288
4	1.643135
4	2.815825
4	1.716322
4	2.519361
4	1.954498
4	1.972905
4	2.332693
4	19.083077
4	21.864766
4	1.450630
4	3.234128
4	1.925695
4	2.452685
4	1.463909
4	2.340426
4	10.847052
4	1.899145
4	1.998789
4	3.001229
4	1.494004
4	2.896504
4	16.181169
4	21.124169
4	2.040699
4	2.523389
4	2.251792
4	1.876889
4	1.351996
4	1.975447
4	1.475319
4	2.318950
4	1.438508
4	2.452465
4	1.566687
4	2.645974
4	9.174352
4	13.249006
4	1.728058
4	2.458020
4	1.906260
4	2.599924
4	1.427981
4	1.758029
4	1.428122
4	1.508187
4	1.403265
4	1.478330
4	5.342636
4	2.070769
4	3.754697
4	12.124926
4	3.198034
4	1.812681
4	2.936563
4	1.065928
4	2.790073
4	1.899092
4	1.923640
4	1.889181
4	1.507185
4	1.899322
4	1.384427
4	2.234924
4	1.570251
4	2.623428
4	2.398416
4	3.131906
4	1.791649
4	2.450465
4	1.659872
4	2.978940
4	1.820106
4	1.692530
4	1.760251
4	1.490340
4	1.925301
4	1.481022
4	2.503794
4	14.806525
4	22.265523
4	2.592542
4	2.815716
4	2.760777
4	2.214243
4	2.146014
