# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.356258 5.500256 34.253870 1.678129 0.076810 0.224669 -nan -nan -nan
1025 10 5.169639 9.327392 52.858561 1.678129 0.129130 0.437178 0.238003 0.000219 -nan
2049 10 6.121414 10.349298 62.586700 1.678129 0.152507 0.492783 0.274102 0.000113 0.088165
3073 10 6.662423 12.302940 68.267293 1.678129 0.182563 0.572898 0.273061 0.000115 0.062374
4097 10 7.804553 14.016135 79.929037 1.678129 0.209279 0.635171 0.283536 0.000104 0.054394
5121 10 8.155206 15.088134 83.676024 1.678129 0.235996 0.684130 0.292617 0.000098 0.049892
6145 10 8.425711 15.809479 86.641554 1.678129 0.264938 0.727527 0.305599 0.000090 0.050566
7169 10 8.846495 16.771272 91.180016 1.678129 0.301674 0.778708 0.317452 0.000084 0.051206
8193 10 9.317373 17.672953 96.089170 1.678129 0.323937 0.814303 0.329894 0.000079 0.053063
9217 10 10.459503 21.019193 108.452222 1.678129 0.428577 1.240568 0.313287 0.000085 0.059410
10241 10 10.409410 21.590258 108.301942 1.678129 0.467538 1.281756 0.305583 0.000088 0.058129
11265 10 10.579727 22.562070 110.075249 1.678129 0.475331 1.329612 0.300742 0.000089 0.056049
12289 10 10.740026 23.513844 112.089003 1.678129 0.520971 1.390825 0.297926 0.000090 0.053775
13313 10 10.990493 24.806254 114.753973 1.678129 0.538782 1.523273 0.293281 0.000091 0.052468
14337 10 11.180848 25.938365 116.928026 1.678129 0.568838 1.555544 0.288771 0.000092 0.051403
15361 10 11.571577 26.940233 121.155910 1.678129 0.604460 1.587803 0.288231 0.000092 0.049548
16385 10 11.932249 27.942101 125.123307 1.678129 0.644535 1.675720 0.290101 0.000092 0.048066
17409 10 13.004248 31.037874 136.534585 1.678129 0.721345 1.955057 0.279251 0.000094 0.053236
18433 10 13.044323 31.057911 137.406210 1.678129 0.773665 2.049670 0.279791 0.000094 0.051663
19457 10 13.214640 32.540676 139.500115 1.678129 0.817079 2.264495 0.275928 0.000094 0.051114
20481 10 13.445070 33.292077 142.044860 1.678129 0.843796 2.239993 0.276092 0.000094 0.049753
21505 10 13.605369 34.153684 143.928372 1.678129 0.874965 2.219948 0.277692 0.000094 0.048668
22529 10 13.865855 35.075402 146.833789 1.678129 0.908360 2.339039 0.280708 0.000094 0.048149
23553 10 14.056209 35.957046 148.997824 1.678129 0.937303 2.360178 0.284538 0.000093 0.048140
24577 10 14.196471 36.618279 150.791168 1.678129 0.980718 2.431410 0.290306 0.000092 0.049618
25601 10 14.907797 38.541866 158.645814 1.678129 1.063093 2.691843 0.292295 0.000092 0.048883
26625 10 15.118190 39.593827 161.060316 1.678129 1.097602 2.800918 0.293996 0.000092 0.048132
27649 10 15.258451 40.896256 162.873698 1.678129 1.143243 2.931146 0.293170 0.000092 0.047256
28673 10 15.448806 41.667694 165.278181 1.678129 1.198902 2.974548 0.294319 0.000092 0.046491
29697 10 15.789441 42.589413 168.784719 1.678129 1.210034 3.033525 0.297067 0.000092 0.046359
30721 10 16.320431 43.851767 174.605573 1.678129 1.266807 3.123659 0.300130 0.000091 0.046455
31745 10 16.610973 44.923766 177.691327 1.678129 1.286844 3.167056 0.303120 0.000091 0.046555
32769 10 16.540842 45.234345 177.290580 1.678129 1.320240 3.208245 0.308492 0.000091 0.048652
33793 10 16.961627 47.047726 182.400107 1.678129 1.420426 3.271670 0.309778 0.000090 0.048051
