#size	rtt
1	2.384384
1	1.773261
1	1.823353
1	1.748215
1	1.723168
1	1.673076
1	1.668067
1	1.698122
1	1.658049
1	1.668067
1	1.648030
1	1.763242
1	1.638012
1	1.863426
1	1.893482
1	1.678086
1	1.668067
1	1.678086
1	1.663058
1	1.643021
1	1.653040
1	1.648030
1	1.658049
1	1.663058
1	1.663058
1	1.698122
1	3.536503
1	1.843390
1	1.663058
1	1.713150
1	1.768251
1	1.718159
1	1.683095
1	1.668067
1	1.698122
1	1.708141
1	1.648030
1	1.648030
1	1.658049
1	1.653040
1	1.658049
1	1.653040
1	1.728178
1	3.100701
1	1.668067
1	1.723168
1	1.738196
1	1.668067
1	1.658049
1	1.668067
1	1.653040
1	1.693113
1	1.748215
1	1.663058
1	1.653040
1	1.663058
1	1.658049
1	1.723168
1	1.673076
1	1.668067
1	1.648030
1	1.703132
1	1.713150
1	1.738196
1	1.668067
1	1.718159
1	1.663058
1	1.653040
1	1.698122
1	1.653040
1	1.648030
1	1.678086
1	1.673076
1	1.753224
1	1.663058
1	1.643021
1	1.688104
1	1.693113
1	1.828362
1	1.663058
1	1.663058
1	1.633003
1	1.648030
1	1.658049
1	1.663058
1	1.643021
1	1.658049
1	1.708141
1	1.653040
1	1.658049
1	1.658049
1	1.648030
1	1.663058
1	1.718159
1	1.723168
1	1.673076
1	1.668067
1	1.648030
1	1.668067
1	1.703132
1	1.663058
1	1.733187
1	1.728178
1	1.863426
1	1.648030
1	1.668067
1	1.673076
1	1.668067
1	1.683095
1	1.743205
1	1.713150
1	1.673076
1	1.693113
1	1.768251
1	1.673076
1	1.708141
1	1.663058
1	1.708141
1	1.783279
1	1.648030
1	1.668067
1	1.763242
1	1.663058
1	1.683095
1	1.703132
1	2.374366
1	1.728178
1	1.668067
1	1.653040
1	1.668067
1	1.668067
1	1.653040
1	1.658049
1	1.658049
1	1.663058
1	1.648030
1	1.703132
1	1.668067
1	1.718159
1	1.663058
1	1.668067
1	1.733187
1	1.703132
1	1.673076
1	1.708141
1	1.693113
1	1.683095
1	1.693113
1	1.683095
1	1.688104
1	1.708141
1	1.683095
1	1.668067
1	1.713150
1	1.678086
1	1.658049
1	1.653040
1	1.718159
1	1.718159
1	1.663058
1	1.653040
1	1.693113
1	1.683095
1	1.698122
1	1.663058
1	1.658049
1	1.718159
1	1.658049
1	1.688104
1	1.693113
1	1.653040
1	1.653040
1	1.653040
1	1.793297
1	1.718159
1	1.668067
1	1.668067
1	1.653040
1	1.788288
1	1.663058
1	1.713150
1	1.663058
1	1.648030
1	1.678086
1	1.668067
1	1.703132
1	1.658049
1	1.673076
1	1.673076
1	1.678086
1	1.713150
1	1.663058
1	1.653040
1	1.788288
1	1.673076
1	1.653040
1	1.658049
1	1.663058
1	1.683095
1	1.658049
1	1.713150
1	1.663058
1	1.658049
1	1.663058
1	1.658049
1	1.693113
1	1.708141
1	1.658049
1	1.828362
1	1.663058
1	1.648030
1	1.648030
1	1.663058
1	1.673076
1	1.703132
1	1.653040
1	1.653040
1	1.673076
1	1.703132
1	1.658049
1	1.658049
1	1.708141
1	1.703132
1	1.663058
1	1.663058
1	1.698122
1	1.653040
1	1.698122
1	1.728178
1	1.663058
1	1.653040
1	1.658049
1	1.643021
1	1.648030
1	1.658049
1	1.643021
1	1.658049
1	1.703132
1	1.843390
1	1.653040
1	1.643021
1	1.673076
1	1.673076
1	1.803316
1	1.658049
1	1.678086
1	1.663058
1	1.648030
1	1.693113
1	1.648030
1	1.653040
1	1.653040
1	1.653040
1	2.239117
1	2.128915
1	1.723168
1	1.688104
1	1.693113
1	1.708141
1	1.723168
1	1.658049
1	1.658049
1	1.653040
1	1.663058
1	1.658049
1	1.668067
1	1.658049
1	1.698122
1	1.788288
1	1.698122
1	1.698122
1	1.668067
1	1.658049
1	3.321107
1	1.703132
1	1.653040
1	1.648030
1	1.648030
1	1.708141
1	1.663058
1	1.703132
1	1.648030
1	1.703132
1	1.828362
1	1.658049
1	1.738196
1	1.728178
1	1.713150
1	2.714992
1	1.653040
1	1.668067
1	1.663058
1	1.668067
1	1.658049
