timestamp, temperature_gpu, power_draw_w, power_limit_w, utilization_gpu, utilization_memory, memory_used_mib, memory_free_mib, clocks_throttle_reasons_active, clocks_current_sm_mhz, clocks_applications_graphics_mhz, clocks_current_memory_mhz, clocks_max_memory_mhz, pstate
1723967627134111210, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627141154631, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627143636324, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627146102568, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627148472841, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627150911375, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627153434628, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627155907061, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627158371375, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627160850258, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627163315701, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627165789185, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627168245558, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627170726131, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627173195105, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627175680098, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627178153821, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627180627075, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627183107818, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627185575511, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627188155694, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627190632558, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627193100331, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627195579434, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627198053418, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627200521431, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627202981674, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627205456058, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627210910623, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627213383126, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627215852540, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627218332763, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627220809346, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627223281730, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627225748003, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627230284881, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627232765454, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627235225548, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627237694701, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627240169034, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627242646288, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627245125901, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627248057613, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627250504966, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627252984070, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627255460933, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627257939886, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627260410120, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627262895333, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627265364456, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627268090269, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627270576112, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627273049656, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627275519949, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627277989652, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627280454956, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
1723967627282924449, 33, 89, 700, 0, 0, 2250, 98234, 0, 1590, 1590, 1593, 1593, 0
